"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","month","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1280197","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Actinostemon","angustifolius","Actinostemon angustifolius","(Müll.Arg.) Pax","E. Jablonski","P. Clausen","742","1840","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1598331' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280197","NY01280197_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1280188","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Actinostemon","angustifolius","Actinostemon angustifolius","(Müll.Arg.) Pax",NA,"L. Riedel","s.n.",NA,"South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1597879' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280188","NY01280188_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1280198","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Actinostemon","angustifolius","Actinostemon angustifolius","(Müll.Arg.) Pax","E. Jablonski","P. Clausen","742","1840","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1598332' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280198","NY01280198_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","503698","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Actinostemon","communis","Actinostemon communis","(Müll.Arg.) Pax","L. J. Gillespie","J. R. Pirani","3426","1994","South America","Brazil","Espírito Santo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=481440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503698","NY00503698_01","12","06","Marilândia","Rodovia Marilandia-Rio Bananal; ca. 1 km N de Marilandia. Junto a Ceramica Floresta","-40.5417","-19.4131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","503697","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Actinostemon","communis","Actinostemon communis","(Müll.Arg.) Pax","G. L. Webster","G. L. Webster","25216","1984","South America","Brazil","São Paulo","sheet","pollen sample taken by E. Moreno, Nov. 7, 1994 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=481439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503697","NY00503697_01","08","10","Campinas","Reserva Florestal Santa Genebra","-47.12","-22.83","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","503696","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Actinostemon","communis","Actinostemon communis","(Müll.Arg.) Pax","G. L. Webster","G. L. Webster","25378","1984","South America","Brazil","São Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=481438' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503696","NY00503696_01","10","08","Campinas","Reserva Florestal Santa Genebra","-47.12","-22.83","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","503699","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Actinostemon","communis","Actinostemon communis grandifolius","Müll.Arg.","M. Kuhlmann","F. C. Hoehne","312","1917","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503699","NY00503699_01","10",NA,"Rio de Janeiro","Morro de Sao Joao","-43.2075","-22.9031",NA,NA,"grandifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","503699","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Actinostemon","communis","Actinostemon communis grandifolius","Müll.Arg.","M. Kuhlmann","F. C. Hoehne","312","1917","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503699","NY00503699_01","10",NA,"Rio de Janeiro","Morro de Sao Joao","-43.2075","-22.9031",NA,NA,"grandifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","503742","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Actinostemon","estrellensis","Actinostemon estrellensis","(Müll.Arg.) Pax",NA,"F. R. Martins","12384","1977","South America","Brazil","São Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503742","NY00503742_01","09","06","Santa Rita do Passa Quatro","Sta. Rita do Passa Quatro, Pq. Estadual de Vassununga","-47.47","-21.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","503743","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Actinostemon","gardneri","Actinostemon gardneri","(Müll.Arg.) Pax","D. C. Daly; D. Witzeman","S. C. de Sant'Ana","609","1996","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368436' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503743","NY00503743_01","07","25","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Coletas feitas na Picada da Bandeira","-39.08","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
