"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","phylum","order","scientificNameAuthorship","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","county","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","sex"
"1","2020-09-23 10:43:20-03","E","E","277705","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","ramiflora","Pouteria ramiflora","Harley, R.M.","21931","1980","04","20","E. Tropical South America","BR","Bahia","Chapadão Ocidental da Bahia; 30 km N from Correntina on the Inha?mas road.","-44.616667","-13.166667","-44.616667","-13.166667","herbarium specimen of unspecif","BGBASE:327237","<a href=http://data.rbge.org.uk/herb/E00277705 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:20-03","E","E","15520","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","ramiflora","Pouteria ramiflora","Sanaiotti, Tanya M.","180","1993","10","20","E. Tropical South America","BR","Amazonas","Transamazônica km 150 direction to Humaitá-Apui;","-61.8","-8.4","-61.800000","-8.400000","herbarium specimen of unspecif","BGBASE:22885","<a href=http://data.rbge.org.uk/herb/E00015520 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00015520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:20-03","E","E","277688","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","ramiflora","Pouteria ramiflora","Ratter, J.A.; Ramos, J. & Souza, R.",NA,"1967","09","06","E. Tropical South America","BR","Mato Grosso","7 km SW of Xavantina","-52.333333","-14.733333","-52.333333","-14.733333","herbarium specimen of unspecif","BGBASE:327217","<a href=http://data.rbge.org.uk/herb/E00277688 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:20-03","E","E","277684","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","ramiflora","Pouteria ramiflora","Ratter, J.A.; Bridgewater, S.; Cardoso, E.; de Lima, V. & Passon, L.",NA,"1905","06","15","E. Tropical South America","BR","Maranhao","Near Pedra Caída on the Carolina-Estreito road","-47.45","-7.033333","-47.450000","-7.033333","herbarium specimen of unspecif","BGBASE:327221","<a href=http://data.rbge.org.uk/herb/E00277684 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:20-03","E","E","277700","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","ramiflora","Pouteria ramiflora","Ratter, J.A.; De Santos, R.R.; Souza, R.; De Castro, R.A. & Andrelinho",NA,"1968","06","25","E. Tropical South America","BR","Mato Grosso","8 km of the Base Camp of the Expedition (Base Camp 12°54'S-51°52'W, c. 270 km N of Xavantina)",NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:327242","<a href=http://data.rbge.org.uk/herb/E00277700 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:20-03","E","E","277699","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","ramiflora","Pouteria ramiflora","R.M. Harley, R. Souza & A. Ferreira","10751","1968","10","22","E. Tropical South America","BR","Mato Grosso","(R3 North) c. 2 km NE from Base Camp. (Base Camp: 12°49'S - 51°46'W).",NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:327230","<a href=http://data.rbge.org.uk/herb/E00277699 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:20-03","E","E","277691","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","ramiflora","Pouteria ramiflora","Ratter, J.A.; Da Fonsêca, S.F.; Fonsêca Filho, J.",NA,"1976","06","08","E. Tropical South America","BR","Distrito Federál","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km. SSW of Brasília TV tower.",NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:327229","<a href=http://data.rbge.org.uk/herb/E00277691 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277691",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:43:26-03","E","E","305618","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","ramiflora","Pouteria ramiflora","Sakuragui,C.M., Harley,R.M., Sano,P.T., Roque,N. & Souza,V.C.","14891","1994","03","05","E. Tropical South America","BR",NA,NA,NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:313972","<a href=http://data.rbge.org.uk/herb/E00305618 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00305618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:43:20-03","E","E","277701","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","ramiflora","Pouteria ramiflora","Ratter, J.A.; Da Fonsêca, S.G.; Filho, J. Fonsêca; Ribeiro, J.F. & Silva, J.C.S.",NA,"1976","10","21","E. Tropical South America","BR","Distrito Federál","Fazenda Agua Limpia (University of Brasília field station), near Vargem Bonita, c. 18km SSw of Brasília TV tower",NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:327241","<a href=http://data.rbge.org.uk/herb/E00277701 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:43:20-03","E","E","277707","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","ramiflora","Pouteria ramiflora","Ratter, J.A. & Ramos, J.",NA,"1967","09","05","E. Tropical South America","BR","Mato Grosso","7 km SW of Xavantina","-52.333333","-14.733333","-52.333333","-14.733333","herbarium specimen of unspecif","BGBASE:327235","<a href=http://data.rbge.org.uk/herb/E00277707 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277707",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
