"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01081110","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.","A. C. Brade","Altamiro","4","1946","02","06","South America","Brazil","Rio de Janeiro","Distrito Federal - caminho para o Pico da Tijuca","-43.296022","-22.95134","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219163' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081110","NY01081110_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02098928","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.","R. Goldenberg","R. Goldenberg","1243","2009","01","19","South America","Brazil","Espírito Santo","Arredores da Reserva Biológica de Duas Bocas. Estrada para Viana. Boqueirão do Santilho.","-40.5222","-20.2422","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500239' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098928","NY02098928_01","Santa Leopoldina","340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02098840","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.","M. Reginato","F. A. Michelangeli","1613","2011","02","08","South America","Brazil","Espírito Santo","Reserva Santa Lucia, Ridge (Bonita) trail, near the river trail","-40.52829","-19.97523","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568329' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098840","NY02098840_01","Santa Teresa","660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1015422","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.",NA,"R. Goldenberg","917","2007","07","12","South America","Brazil","Espírito Santo","Alto de Santo Antonio. Terreno do Bozza.","-40.5911","-19.9086","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105614' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015422","NY01015422_01","Santa Teresa","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01081109","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.",NA,"G. Gardner","5454","1841",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219158' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081109","NY01081109_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2480355","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.",NA,"A. M. Amorim","7338","2008","05","04","South America","Brazil","Espírito Santo","Reserva Biológica Duas Bocas. Localidade de Alegre, trilha do Pau-Oco. Floresta Ombrófila Densa Montana.","-40.5194","-20.2914","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2705362' target='other'> <mi>dwc_moreinfo</mi></a>","NY02480355","NY02480355_01","Cariacica","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","03082292","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.",NA,"M. G. Bovini","1865","2000","06","05","South America","Brazil","Rio de Janeiro","Distrito de Frade, trilha em direção ao Pico.","-41.7868995666504","-22.3708000183105","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3313368' target='other'> <mi>dwc_moreinfo</mi></a>","NY03082292","NY03082292_01","Macaé","1050","1050","47209","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01081108","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora oblongifolia","Cogn.",NA,"P. von Luetzelburg","140","1911",NA,NA,"South America","Brazil","Rio de Janeiro","Corcovado","-43.212076","-22.951842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219151' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081108","NY01081108_01",NA,NA,NA,NA,NA,"oblongifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2480354","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.",NA,"R. Goldenberg","1216","2008","07","22","South America","Brazil","Espírito Santo","Reserva Biológica Duas Bocas. Localidade de Alegre, trilha do Pau-Oco. Floresta Ombrófila Densa Montana.","-40.525","-20.2678","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2705342' target='other'> <mi>dwc_moreinfo</mi></a>","NY02480354","NY02480354_01","Cariacica","525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01874816","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.","M. Reginato","M. Reginato","1331","2012","02","15","South America","Brazil","Rio de Janeiro","P.N. do Itatiaia. Ultimo Adeus","-44.607312","-22.459068","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085142' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874816","NY01874816_01","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
