"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:34:11-03","UNESC","CRI","3885","PreservedSpecimen","Plantae","Solanaceae","Acnistus","breviflorus","Acnistus breviflorus","Sendtn.","J. A. Jarenkow","J. A. Jarenkow","965","1988","10","11","Brasil","Rio Grande do Sul","Paim Filho","-51.758889","-27.709444","51º45'32''W","27º42'34''S","CRI007564","CRI007564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:13-03","UNESC","CRI","10604","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.","Santos, R.","Santos, R.; Citadini-Zanette & Klein A. S.",NA,"2001","08","14","Brasil","Santa Catarina","Praia Grande","-49.950278","-29.198611","49º57'1''W","29º11'55''S","CRI013708","CRI013708","2001","08","14","Aparados, Trilha do faxinalzinho","Habito: Arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:13-03","UNESC","CRI","11545","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.","A. L. de Gasper","M. Verdi; B. Grosch & G. Klemz","940","2008","12","11","Brasil","Santa Catarina","Capão Alto","-50.760833","-28.17","50º45'39''W","28º10'12''S","CRI007601","CRI007601",NA,NA,NA,"Fazenda Pessegueirinho.","Ecótono Floresta Ombrófila Mista e Floresta Estacional Decidual","762","762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:13-03","UNESC","CRI","8187","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.","A.L. Gaspar","A.L. Gaspar; S. Dreveck e F. E. Carneiro","2041","2009","01","24","Brasil","Santa Catarina","Ipumirim","-52.134444","-27.075278","52º8'4''W","27º4'31''S","CRI007602","CRI007602","2009","01","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:27-03","E","E","89535","PreservedSpecimen","Plantae","Solanaceae","Acnistus","breviflorus","Acnistus breviflorus",NA,NA,"Morel, I.","3489","1947","07","20","AR","Prov. de Formosa",NA,NA,NA,NA,NA,"E00089535",NA,NA,NA,NA,"Pilcomayo, sur de Riacho Negroa a 3 km.","<a href=http://data.rbge.org.uk/herb/E00089535 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:109260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:27-03","E","E","89534","PreservedSpecimen","Plantae","Solanaceae","Acnistus","breviflorus","Acnistus breviflorus",NA,NA,"Morel, I.","3993","1947","10","21","AR","Prov. de Formosa",NA,NA,NA,NA,NA,"E00089534",NA,NA,NA,NA,"Pilcomayo, N.O. a 3 km del km 110, route 11.","<a href=http://data.rbge.org.uk/herb/E00089534 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:109261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:27-03","E","E","89533","PreservedSpecimen","Plantae","Solanaceae","Acnistus","breviflorus","Acnistus breviflorus",NA,NA,"Luna, M.J.","16","1947","01","02","AR","Prov. de Santiago Del Estero",NA,NA,NA,NA,NA,"E00089533",NA,NA,NA,NA,"Pellegrini, El Tigre.","<a href=http://data.rbge.org.uk/herb/E00089533 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:109262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 15:08:00-03","NY","NYBG","138532","PreservedSpecimen","Plantae","Solanaceae","Acnistus","breviflorus","Acnistus breviflorus pubescens","Hassl.",NA,"E. Hassler","12301","1913","09",NA,"Paraguay",NA,NA,NA,NA,NA,NA,"NY00138532","NY00138532_01",NA,NA,NA,"Paraguaria Centralis: Cordillera de Altos","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=25450' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales","pubescens","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 17:53:00-03","NY","NYBG","669272","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora",NA,NA,"J. R. Stehmann","1357","1994","01","22","Brazil","Rio Grande do Sul","Encruzilhada do Sul","-52.5217","-30.5442",NA,NA,"NY00669272","NY00669272_01",NA,NA,NA,"Estrada para Amaral Ferrador.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720137' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 17:53:00-03","NY","NYBG","669277","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora",NA,"A. T. Hunziker","L. Riedel","1469","1833",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY00669277","NY00669277_01",NA,NA,NA,"Pr. Mugi Gbr.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720112' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
