"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","previousCatalogNumber","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:34:09-03","UNESC","CRI","2936","PreservedSpecimen","Plantae","Sapindaceae","Matayba","elaeagnoides","Matayba elaeagnoides","Radlk.","R. Reitz","1979","L. B. Smith; R. M. Klein","13.011","1964","11","08","Brasil","Santa Catarina","Catanduvas","-51.661944","-27.071111","51º39'43''W","27º4'16''S","CRI009911","CRI009911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:09-03","UNESC","CRI","2937","PreservedSpecimen","Plantae","Sapindaceae","Matayba","elaeagnoides","Matayba elaeagnoides","Radlk.",NA,"1979","R. M. Klein","4.248","1963","10","29","Brasil","Santa Catarina","Campos Novos","-51.225278","-27.402222","51º13'31''W","27º24'8''S","CRI009914","CRI009914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:11-03","UNESC","CRI","563","PreservedSpecimen","Plantae","Sapindaceae","Matayba","elaeagnoides","Matayba elaeagnoides","Radlk.","Robson dos Santos",NA,"R. dos Santos; E. Nose e N. Zin",NA,NA,NA,NA,"Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","CRI009922","CRI009922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:11-03","UNESC","CRI","5070","PreservedSpecimen","Plantae","Sapindaceae","Matayba","elaeagnoides","Matayba elaeagnoides","Radlk.","Marcos Sobral",NA,"Vanilde Citadini-Zanette; Valdemar P. Boff","2223","1996","11","04","Brasil","Santa Catarina","Lauro Muller","-49.396944","-28.393333","49º23'49''W","28º23'36''S","CRI009928","CRI009928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:09-03","UNESC","CRI","11433","PreservedSpecimen","Plantae","Sapindaceae","Matayba","elaeagnoides","Matayba elaeagnoides","Radlk.","W.S.Mancinelli",NA,"M.K. Caddah; C. Snak, R. Goldenberg & E. Smidt","654","2009","09","18","Brasil","Paraná","Piraquara","-48.980556","-25.513889","48º58'50''W","25º30'50''S","CRI009921","CRI009921","Morro do Canal.","908","908","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:09-03","UNESC","CRI","2898","PreservedSpecimen","Plantae","Sapindaceae","Matayba","elaeagnoides","Matayba elaeagnoides","Radlk.","R. Reitz","1979","R. M. Klein","3.188","1962","12","05","Brasil","Santa Catarina","Lages","-50.326389","-27.816389","50º19'35''W","27º48'59''S","CRI009907","CRI009907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:11-03","UNESC","CRI","6646","PreservedSpecimen","Plantae","Sapindaceae","Matayba","elaeagnoides","Matayba elaeagnoides","Radlk.","R. Reitz","1979","Reitz; Klein","11.471","1962","01","04","Brasil","Santa Catarina","Itaiópolis","-49.906667","-26.336944","49º54'24''W","26º20'13''S","CRI009917","CRI009917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:11-03","UNESC","CRI","7508","PreservedSpecimen","Plantae","Sapindaceae","Matayba","elaeagnoides","Matayba elaeagnoides","Radlk.","Jader Lima Pereira","2005","Cristiane Krug",NA,"2005","11","09","Brasil","Santa Catarina","Porto União","-51.078611","-26.238611","51º4'43''W","26º14'19''S","CRI009929","CRI009929",NA,"750","750",NA,"11","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:26:06-03","UNESC","CRI","2896","PreservedSpecimen","Plantae","Sapindaceae","Matayba","elaeagnoides","Matayba elaeagnoides","Radlk.","R. Reitz",NA,"R. Reitz; R. M. Klein",NA,"1964","01","03","Brasil","Santa Catarina","Guaraciaba","-53.518333","-26.599722","53º31'6''W","26º35'59''S","CRI009932","CRI009932",NA,"700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:09-03","UNESC","CRI","2895","PreservedSpecimen","Plantae","Sapindaceae","Matayba","elaeagnoides","Matayba elaeagnoides","Radlk.","R. Reitz","1979","R. M. Klein","3.281","1962","12","06","Brasil","Santa Catarina","Curitibanos","-50.584722","-27.283056","50º35'5''W","27º16'59''S","CRI009926","CRI009926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:26:06-03","UNESC","CRI","1067","PreservedSpecimen","Plantae","Sapindaceae","Matayba","elaeagnoides","Matayba elaeagnoides","Radlk.","Marcos Sobral",NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1345","1991","10","24","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI009915","CRI009915","Rio Novo.","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:34:09-03","UNESC","CRI","2908","PreservedSpecimen","Plantae","Sapindaceae","Matayba","elaeagnoides","Matayba elaeagnoides","Radlk.","R. Reitz","1980","R. M. Klein","3.853","1962","12","12","Brasil","Santa Catarina","Mafra","-49.805556","-26.111944","49º48'20''W","26º6'43''S","CRI009918","CRI009918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:34:09-03","UNESC","CRI","2827","PreservedSpecimen","Plantae","Sapindaceae","Matayba","elaeagnoides","Matayba elaeagnoides","Radlk.","R. reitz","1984","R. reitz",NA,"1984","05","18","Brasil","Santa Catarina","Florianópolis","-48.518611","-27.598611","48º31'7''W","27º35'55''S","CRI006204","CRI006204",NA,"17","17",NA,"05","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:26:06-03","UNESC","CRI","11554","PreservedSpecimen","Plantae","Sapindaceae","Matayba","elaeagnoides","Matayba elaeagnoides","Radlk.","A. Stival-Santos","2009","A. Stival-Santos; A.L. de Gasper","1290","2009","10","25","Brasil","Santa Catarina","Indaial","-49.179722","-27.116111","49º10'47''W","27º6'58''S","CRI009923","CRI009923","Faxinal do Bepe, Parque Nacional da Serra do Itajaí.","780","780","Floresta Ombrófila Densa Habitat: pastagem Habito: arbórea","10","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:34:09-03","UNESC","CRI","2935","PreservedSpecimen","Plantae","Sapindaceae","Matayba","elaeagnoides","Matayba elaeagnoides","Radlk.","R. Reitz","1979","L. B. Smith; R. M. Klein","13.231","1964","11","13","Brasil","Santa Catarina","São Miguel Do Oeste","-53.516667","-26.724444","53º31'0''W","26º43'28''S","CRI009912","CRI009912",NA,"661","661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:34:09-03","UNESC","CRI","2938","PreservedSpecimen","Plantae","Sapindaceae","Matayba","elaeagnoides","Matayba elaeagnoides","Radlk.","R. Reitz","1979","L. B. Smith; R. M. Klein","13.290","1964","11","15","Brasil","Santa Catarina","Abelardo Luz","-52.328333","-26.564722","52º19'42''W","26º33'53''S","CRI009913","CRI009913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:34:11-03","UNESC","CRI","6280","PreservedSpecimen","Plantae","Sapindaceae","Matayba","elaeagnoides","Matayba elaeagnoides","Radlk.","Vanilde Citadini-Zanette",NA,"R dos Santos; Z. P. Topanotti","296","1997","09","12","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI009908","CRI009908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
