"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","class","relatedCatalogItem","monthIdentified","dayIdentified","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1066171","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","G. Davidse","S. A. Mori","10173","1978","06","07","South America","Brazil","Bahia","Itacaré","Cerca de 1 km ao S de Itacare, beira-mar. Folha SD-24 (14-39c)","-38.995183","-14.2890182","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598451' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066171","NY01066171_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 00:09:00-03","NY","NYBG","01066503","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Luziola","bahiensis","Luziola bahiensis",NA,"J. Martínez y Pérez","J. R. Swallen","8787","1946","03","18","South America","Brazil","Paraná",NA,"Ponta Grossa, Estação Experimental",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1203006' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1066173","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","Determiner unspecified","G. Davidse","11258","1976","03","14","South America","Brazil","Paraná",NA,"2 km E of Cascavel along Highway BR-277 to Curitiba.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272365' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066173","NY01066173_01","670","670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1066175","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","P. O'Connor","J. A. Ratter","R196","1967","07","28","South America","Brazil","Mato Grosso",NA,"1.5 km S. of Xavantina","-52.33","-14.73","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272367' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066175","NY01066175_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1066180","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","T. de S. Filgueiras","F. d. C. Silva","375","1981",NA,NA,"South America","Brazil","Distrito Federal","Brasília","Entre o Guará e Setor de Industria","-47.9294","-15.7797","sheet","Collector is F. Chagas e Silva <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272372' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066180","NY01066180_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1066169","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","Determiner unspecified","G. Davidse","11505","1976","03","29","South America","Brazil","Minas Gerais",NA,"Ca. 22 km S of Padre Paraíso along Highway BR-116.","-41.48439","-17.2729889","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275145' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066169","NY01066169_01","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1066170","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","Determiner unspecified","R. M. Harley","15304","1974","01","19","South America","Brazil","Bahia",NA,"Serra do Rio de Contas. 10km N of town of Rio de Contas on road to Mato Grosso.","-41.83","-13.47","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275146' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066170","NY01066170_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1066179","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","G. Davidse","H. S. Irwin","27743","1970","03","17","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Ca. 23 km E. of Diamantina","-43.5028","-18.162","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272371' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066179","NY01066179_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1066172","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","Determiner unspecified","G. Davidse","10567","1976","02","25","South America","Brazil","Minas Gerais",NA,"8 km NE of Cambui.","-46.058189","-22.61045","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272364' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066172","NY01066172_01","910","910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1066174","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","J. R. Swallen","G. Eiten","1971","1960","04","22","South America","Brazil","São Paulo","Moji-Guaçu","Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 3.7 km. NNW of Padua Sales. (About 27 km. NW of city of Moji-Mirim.)","-47.142","-22.242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272366' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066174","NY01066174_01","575","625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-30 01:04:00-03","NY","NYBG","1066168","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Luziola","bahiensis","Luziola bahiensis",NA,"Determiner unspecified","L. B. Smith","15691","1971","12","06","South America","Brazil","Santa Catarina","Agua Doce","8 km south of turn to the south in road east of Palmas","-51.5558","-26.9981","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275144' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066168","NY01066168_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-30 01:04:00-03","NY","NYBG","1066167","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Luziola","bahiensis","Luziola bahiensis",NA,"J. R. Swallen","L. B. Smith","9186","1956","12","24","South America","Brazil","Santa Catarina","Mun. Joaçaba","campos of Palmas, 77 km west of Caçador.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275143' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066167","NY01066167_01","1000","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1066178","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","P. O'Connor","A. Chase","11032","1930","02","26","South America","Brazil","Mato Grosso do Sul","Aquidauana",NA,"-55.7869","-20.4711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272370' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066178","NY01066178_01","181","181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-30 01:03:00-03","NY","NYBG","1066177","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Luziola","bahiensis","Luziola bahiensis",NA,"J. Martínez y Pérez","J. R. Swallen","8787","1946","03","18","South America","Brazil","Paraná",NA,"Ponta Grossa, Estação Experimental",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272369' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066177","NY01066177_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1066176","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","J. R. Swallen","R. M. Klein","3856","1962","12","12","South America","Brazil","Santa Catarina","Mafra","Campo Novo","-49.8053","-26.1117","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272368' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066176","NY01066176_01","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","381304","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Luziola","pusilla","Luziola pusilla","S.Moore",NA,"S. L. M. Moore","760","1891",NA,NA,"South America","Brazil","Mato Grosso",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00381304","NY00381304_01",NA,NA,"type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-02-08 11:09:51-03","UNESP-IBB","BOTU","16002","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.",NA,"Janssen, A.","515","1980","08","15",NA,"Brasil","Amazonas","Humaitá","Lago temporária, 500 m ao sul da BR 230 km 4.","-63.166667","-7.516667",NA,NA,"BOTU016002",NA,NA,NA,NA,"63º10'w","07°31's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-10-18 16:27:08-02","UNEMAT","TANG","725","S","Plantae",NA,NA,"Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud) Hitchc.",NA,"Pott, VJ","s.n.","2008","04","25",NA,"Brasil","Mato Grosso","Tangará da Serra",NA,"-57.4858016967773","-14.6194000244141",NA,", herbáceo","TANG000000725",NA,NA,NA,NA,NA,NA,"175746","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:53:35-03","EAO","IAN","112034","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.",NA,"Ekman, EL","H11207","1929","01","18","Southern America","Dominican Republic",NA,NA,"Villa Altagracia, Río Jaina.",NA,NA,NA,NA,"IAN112034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:53:35-03","EAO","IAN","52525","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","Black, GA","Widgren","46811","1845",NA,NA,"Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"IAN052525",NA,NA,NA,NA,NA,NA,NA,NA,"1950",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-30 12:53:35-03","EAO","IAN","66903","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.",NA,"Kuhlmann, M","s.n.","1912","08",NA,"Southern America","Brasil","Roraima",NA,"Rio Branco.","-59.254167","0.737222",NA,NA,"IAN066903",NA,NA,NA,NA,"-59.254167","0.737222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:53:35-03","EAO","IAN","17151","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","Swallen, JR","Pires, JM; Black, GA","205","1945","09","19","Southern America","Brasil","Pará","Belém","Brejo do Utinga.","-48.5043983459473","-1.4558299779892",NA,NA,"IAN017151","IAN017151 IAN017151_e",NA,NA,NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-30 12:53:35-03","EAO","IAN","65274","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Luziola","pusilla","Luziola pusilla","S.Moore",NA,"Moore, RH","760","1891","02",NA,"Southern America","Brasil","Mato Grosso",NA,NA,NA,NA,NA,"JUDZIEWICZ (2000:70) citou: T-Protol.: Brazil, Parker 760 [HT: K].","IAN065274",NA,NA,NA,"isotipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-26 18:09:15-03","CPAN-UFMS","COR","15937","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","Guglieri, A.","Guglieri, A.","1610","2007","12","16",NA,"Brasil","Mato Grosso do Sul","Corguinho","Córrego Boa Sorte; margem de córrego junto à área de cerrado","-54.832222","-19.8275",NA,"Erva; dominante no estrato herbáceo Habito: Erva",NA,NA,"312","312",NA,"54º49'56''W","19º49'39''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-02 16:29:10-03","CPAN-UFMS","COR","6075","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","Pott, V. J.","Equipe de Cabeceira",NA,"1999","09","01",NA,"Brasil","Mato Grosso do Sul","Alcinópolis","Fazenda Morro Alto; córrego Água Limpa","-53.466389","-18.2625",NA,"Erva Habitat: Aquático (vereda) Habito: Erva",NA,NA,NA,NA,NA,"53º27'59''W","18º15'45''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-26 18:09:15-03","CPAN-UFMS","COR","7775","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","A. Guglieri","A.S.Machado, L.M.Rivero, M.F.Silva","34","2001","04","28",NA,"Brasil","Mato Grosso do Sul","Corumbá","Distrito de Albuquerque, Baia do Tamengo. aquático; ;.","-57.6533012390137","-19.0091991424561",NA,"Com Flor: amarela; Importância Econômicaforrageira",NA,NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-10-09 11:28:59-03","UFBA","ALCB","005401","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","Swallen, JR","Pires, JM; Black, GA","205","1945",NA,NA,"Southern America","Brasil","Pará","Belém",NA,"-48.5","-1.45",NA,NA,"ALCB019036","ALCB019036",NA,NA,NA,"-48.5","-1.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-02-08 10:18:12-03","NBC","NL-BOTANY","L.1289462","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.",NA,"Klein RM",NA,"1962","12","12","Southern America","Brazil",NA,NA,"Santa Catarina. Campo Novo, Mafra.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1289462 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1289462","NL-L1289462",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"29","2020-02-08 10:18:12-03","NBC","NL-BOTANY","U.1508010","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","Judziewicz EJ","Hoock JML",NA,"1957","02","09","Southern America","French Guiana",NA,NA,"Crique Passoura, Région littorale",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1508010 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1508010","NL-U1508010",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0063207",NA,NA,NA,NA,NA
"30","2020-02-08 10:18:12-03","NBC","NL-BOTANY","U.1508011","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.","Renvoize SA","Swallen JR",NA,"1946","03","18","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1508011 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1508011","NL-U1508011",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0020243",NA,NA,NA,NA,NA
"31","2020-02-08 10:18:12-03","NBC","NL-BOTANY","U.1508015","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.",NA,"Harley RM; et al.",NA,"1974","01","19","Southern America","Brazil",NA,NA,"Estado de Bahia. Serra do Rio de Contas. 10km N. of town of Rio de Contas on road to Mato Grosso.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1508015 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1508015","NL-U1508015",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"32","2020-02-08 10:18:12-03","NBC","NL-BOTANY","U.1508016","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.",NA,"Davidse G; Ramamoorthy TP; Vital DM",NA,"1976","03","29","Southern America","Brazil",NA,NA,"Minas Gerais: Ca. 22 km S of Padre Paraiso along Highway BR-116.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1508016 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1508016","NL-U1508016",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"33","2020-02-08 10:18:12-03","NBC","NL-BOTANY","U.1508017","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Luziola","bahiensis","Luziola bahiensis","(Steud.) Hitchc.",NA,"Harley RM",NA,"1977","03","27","Southern America","Brazil",NA,NA,"Estado da Bahia. Serra do Rio de Contas. About 2 km N. of the Vila do Rio de Contas in flood plain of Rio Brumado with riverine and chiefly weedy vegetation.","-41.833333","-13.566667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1508017 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1508017","NL-U1508017",NA,NA,NA,"-41.833333","-13.566667",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
