"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00884538","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Bactris","hatschbachii","Bactris hatschbachii","Noblick","A. J. Henderson","P. Fiaschi","1054","2002","09","12","South America","Brazil","Bahia","Una","Estação Experimental Lemos Maia.","-39.0961","-15.19","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961180' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884538","NY00884538_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00884540","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Bactris","hatschbachii","Bactris hatschbachii","Noblick","A. J. Henderson","P. Fiaschi","2158","2004","03","28","South America","Brazil","Bahia","Valença","Estrada de Valença para Guaibim, ca. 2 km, entrada à esquerda, 8 km, ramal vicinal à esquerda, ca. 1 km. RPPN Água Branca.","-39.0903","-13.3289","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884540","NY00884540_01 NY00884540_02 NY00884540_03 NY00884540_04 NY00884540_05 NY00884540_06","220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00568151","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Bactris","hatschbachii","Bactris hatschbachii","Noblick","A. J. Henderson","H. Q. B. Fernandes","3220","1997","07","24","South America","Brazil","São Paulo","Pariquera-Açu","Estaçao Experimental do Instituto Agronômico; proximo a antiga sede.","-47.88","-24.58","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=111219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568151","NY00568151_01","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00568152","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Bactris","hatschbachii","Bactris hatschbachii","Noblick","A. J. Henderson","R. Pardini","77","1992","07","06","South America","Brazil","São Paulo","Sete Barras","Fazenda Intervales, Saibadela, trilha do Araça.","-47.9197","-24.38","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=111218' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568152","NY00568152_01 NY00568152_02 NY00568152_03 NY00568152_04 NY00568152_05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00568150","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Bactris","hatschbachii","Bactris hatschbachii","Noblick",NA,"H. Q. B. Fernandes","3223","1997","07","24","South America","Brazil","São Paulo","Cananéia","Ilha de Cananéia. Estrada vicinal da Aroeira (Barranco Alto).","-47.92","-24.97","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=111220' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568150","NY00568150_01","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00884536","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Bactris","hatschbachii","Bactris hatschbachii","Noblick","A. J. Henderson","P. Fiaschi","2161","2004","03","28","South America","Brazil","Bahia","Valença","Estrada de Valença para Guaibim, ca. 2 km, entrada à esquerda, 8 km, ramal vicinal à esquerda, ca. 1 km. RPPN Água Branca.","-39.0903","-13.3289","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961176' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884536","NY00884536_01","220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00884539","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Bactris","hatschbachii","Bactris hatschbachii","Noblick","A. J. Henderson","P. Fiaschi","1054","2002","09","12","South America","Brazil","Bahia","Una","Estação Experimental Lemos Maia.","-39.0961","-15.19","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961184' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884539","NY00884539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00884537","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Bactris","hatschbachii","Bactris hatschbachii","Noblick","A. J. Henderson","P. Fiaschi","2161","2004","03","28","South America","Brazil","Bahia","Valença","Estrada de Valença para Guaibim, ca. 2 km, entrada à esquerda, 8 km, ramal vicinal à esquerda, ca. 1 km. RPPN Água Branca.","-39.0903","-13.3289","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961179' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884537","NY00884537_01","220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:00:30-03","ESALQ","ESA","28695","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecaceae","Bactris","hatschbachii","Bactris hatschbachii",NA,"Lorenzi, H.","Ivanauskas, N.M.","307.0","1995","08","24",NA,"Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,"ESA028695","ESA028695_1 ESA028695_2",NA,NA,"2014","01","03","17990","auto",NA,NA,NA,NA,NA
"10","2015-07-02 14:00:36-03","JBP","HPL","1542","S","Plantae",NA,NA,"Arecaceae","Bactris","hatschbachi","Bactris hatschbachi",NA,"H. Lorenzi","H. Lorenzi","4765","2004","03","24",NA,"Brasil","PR","Antonina","Na estrada próximo ao porto, em morro.","-48.7119","-25.4286",NA,NA,NA,NA,NA,NA,"2004","03","24","38300","auto",NA,NA,NA,NA,NA
