"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","occurrenceRemarks","barcode","phylum","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","continentOcean","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","class","order","preparationType","infraspecificEpithet","individualCount","typeStatus","relatedCatalogItem"
"1","2020-06-29 11:31:42-03","UFRJ","RFA","12641","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","M. Peron","1988","07","12","P. Occhioni","5030","1972","06","27","Brasil","Minas Gerais","Minas Gerais","Estrada da Represa, Serra do Cipó","Subarbusto, prostrado; flor esverdeada","RFA46843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-12 15:31:46-03","UFABC","HUFABC","001922","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","O. T. Aguiar","2018","08","31","Keller V.C.; Sérgio Tadeu Meirelles","83","2017","09","08","Brasil","São Paulo","Franco da Rocha","Parque Estadual do Juquery, Próximo à torre de observação do setor B","Arbusto, flores brancas","HUFABC001922","Angiospermas","-46.701828","-23.345083","-46.701828","-23.345083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:21:42-03","UFBA","ALCB","135068","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Stadnik, A","2019","06","28","Alunos de Botânica BIOC05; Roque, N","60","2018","11","17","Brasil","Bahia","Rio de Contas","Brumadinho, Trilha para o Vale do Queiroz.","ca. 1,10 m. Folhas levemente discolores. Sépalas verdes. Frutos imaturos verdes.","ALCB061794","Dicotyledon","-39.886667","-13.283333","-39.886667","-13.283333","Southern America","1444","1444","ALCB061794",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:21:42-03","UFBA","ALCB","31728","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Stadnik, A","2015","07",NA,"Guedes, ML","5458","1997","11","08","Brasil","Bahia","Palmeiras","Chapada Diamantina","Ca. 1 m de altura. Folhas crassas, levemente discolores. Flores alvas. Fruto imaturo verde. Frequente.; Solo areno-argiloso.","ALCB060740","Dicotyledon","-41.466667","-12.433333","-41.466667","-12.433333","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:21:42-03","UFBA","ALCB","64515","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Stadnik, A","2015","05",NA,"Guedes, ML; Alunos de Botânica III","10792","2003","10","24","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina","Folhas coriáceas, discolores. Frutos imaturos verdes.","ALCB060739","Dicotyledon","-41.15","-11.55","-41.15","-11.55","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:21:42-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Barroso, GM","1996","01",NA,"Guedes, ML; Paraguassu, A; Argôlo, AS; Santos, ES; Hudson, A; Silva, MP da; Andrade, F","PCD2031","1995","06","29","Brasil","Bahia","Palmeiras","Chapada Diamantina, Morro do Pai Inácio, Caminho para o Cercado","Afloramentos rochosos de arenito.",NA,"Dicotyledon","-41.466667","-12.45","-41.466667","-12.45","Southern America","870","870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:21:42-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Barroso, GM","1996","01",NA,"Guedes, ML; Orlandi, RP; Stradmann, MTS; Poveda, A","PCD488","1994","08","29","Brasil","Bahia","Palmeiras","Chapada Diamantina, Morro do Pai Inácio","1,20 m.; Vegetação rupícola em degraus rochosos. Afloramento rochoso de arenito.","ALCB060742","Dicotyledon","-41.466667","-12.45","-41.466667","-12.45","Southern America","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:21:42-03","UFBA","ALCB","122628","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Stadnik, A",NA,NA,NA,"Roque, N; Sano, PT","4792","2016","07","05","Brasil","São Paulo","Franco da Rocha","Parque Estadual do Juquery, Trilha do Ovo do Pato. Setor C.","Ca. 20 cm de alt. Folhas con colores. Botões verdes.","ALCB022218","Dicotyledon","-46.704722","-23.363056","-46.704722","-23.363056","Southern America","945","945","ALCB022218",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:21:42-03","UFBA","ALCB","124727","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Peron, M","1988","05",NA,"Kawasaki, ML; Silva, MR; Cavalcanti, TB; Zappi, DC; Pirani, JR","CFCR8253","1985","09","02","Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral, subida da serra.","ca. 60 cm alt. Flores brancas.","ALCB060741","Dicotyledon","-44.1721992492676","-17.7574996948242",NA,NA,"Southern America","900","900",NA,"37503","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:07:35-03","NBC","NL-BOTANY","U.1451722","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg",NA,NA,NA,NA,"Oldenburger FHF; Mecenas VV",NA,"1975","10","23","Brazil",NA,NA,"D.F. Brasilia, University Campus. Cerrado.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1451722 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1451722",NA,NA,NA,NA,NA,"Southern America",NA,NA,"NL-U1451722",NA,NA,"Magnoliopsidae","Myrtales",NA,NA,NA,NA,NA
