"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:43:11-03","E","E","296323","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","giganteus","Pilocarpus giganteus","syntype","Riedel, Ludwig","470","E. Tropical South America","BR","Brasilia","herbarium specimen of unspecif","BGBASE:311649","<a href=http://data.rbge.org.uk/herb/E00296323 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00296323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","382376","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","giganteus","Pilocarpus giganteus",NA,"J. A. Kallunki","698","South America","Brazil","Patch of disturbed forest on Fazenda Santo Antonio, on dirt road turning ± S at 18 km from bridge at W edge of Linhares on road to Bananal.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=496390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382376","Magnoliophyta","Sapindales","Engl.","1995","04","19","Espírito Santo","Linhares","-40.0722","-19.3911","NY00382376_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","402536","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","giganteus","Pilocarpus giganteus",NA,"L. Riedel",NA,"South America","Brazil","Mandioc. Iter Brasiliense 1824-29.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=496389' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402536","Magnoliophyta","Sapindales","Engl.","1824",NA,NA,"Rio de Janeiro","Petrópolis","-43.1783","-22.505","NY00402536_01","L. A. Skorupa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","382377","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","giganteus","Pilocarpus giganteus",NA,"S. A. Mori","9300","South America","Brazil","Rodovia BA-265. a 23 km de Una. Regiao de Mata Higrófila Sul Baiana.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=496391' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382377","Magnoliophyta","Sapindales","Engl.","1978","02","26","Bahia","Una","-39.2915806","-15.2416449","NY00382377_01",NA,"50","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","382367","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","giganteus","Pilocarpus giganteus",NA,"D. A. Folli","3352","South America","Brazil","Reserva Florestal de Linhares. Estrada Bomba d'Agua. Km 2,5. Localizaçao final da estrada.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=458273' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382367","Magnoliophyta","Sapindales","Engl.","1999","02","12","Espírito Santo","Linhares","-40.0719","-19.3911","NY00382367_01","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2013-09-13 13:19:52-03","EBDA","BAH","8465","S","Plantae","Rutaceae","Pilocarpus","giganteus","Pilocarpus giganteus",NA,"G.C. Pereira Pinto","380/83",NA,"Brasil","Reserva Florestal do Instituto Baiana do Fumo (IBF).",NA,NA,"Arvoreta erecta, indivisa com 1 a 3m de altura; folhas longas, unifolioladas; inflorescência em espiga, flores alvas pequenas; fruto cápsula.",NA,NA,NA,"Engl.","1983","11","12","Bahia","Cruz das Almas","-39.1019","-12.67",NA,"G.C. Pereira Pinto",NA,NA,"1988","08","14660","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:24:10-03","UFBA","ALCB","129582","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","giganteus","Pilocarpus giganteus",NA,"Dias, P; Udulutsch, RG","337","Southern America","Brasil","Reserva Natural da Companhia Vale do Rio Doce. Estrada Bomba d'água, ca 40 m antes do final da estrada, no local onde as onças tomam sol, lado esquerdo.",NA,NA,"ca 1,5 m de altura. Folhas discolores, face adaxial verde escura e bastante lustrosa e face abaxial verde clara, glândulas claramente visíveis. Flores com cálice esverdeado, corola verde-amarelada, disco nactarífero verde-amarelada e","ALCB047179","Dicotyledon",NA,"Engl.","2007","02","14","Espírito Santo","Linhares","-29.885556","-19.111389","ALCB047179","Dias, P","45","45","2007","02",NA,NA,"-29.885556","-19.111389",NA,NA,NA,NA,NA
"8","2020-02-08 10:31:30-03","NBC","NL-BOTANY","U.1582273","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","giganteus","Pilocarpus giganteus",NA,"Sucre Benjamin D",NA,"Southern America","Brazil","Brasil, !",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1582273 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1582273",NA,"Sapindales","Engl.","1973","09","01",NA,NA,NA,NA,"NL-U1582273",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"9","2020-02-08 10:31:30-03","NBC","NL-BOTANY","U.1582274","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","giganteus","Pilocarpus giganteus",NA,"Duarte AP",NA,"Southern America","Brazil","Guanabara, Rio de Janeiro, Serraria de Gramito Itankanji.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1582274 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1582274",NA,"Sapindales","Engl.","1961","07","11",NA,NA,NA,NA,"NL-U1582274",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"10","2020-11-04 11:19:05-03","ESALQ","ESA","11350","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","giganteus","Pilocarpus giganteus",NA,"Souza, V.C.","543.0",NA,"Brasil",NA,NA,NA,NA,"ESA011350","Magnoliophyta",NA,"Engl.","1989","04","01","São Paulo","Peruíbe","-46.9900016784668","-24.3199996948242",NA,"Dias, P",NA,NA,NA,NA,"21922","auto",NA,NA,NA,NA,NA,NA,NA
