"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:25:09-03","UNESC","CRI","10247","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","cuneata","Lamanonia cuneata","(Cambess.) Kuntze","M. G. Caxambu","2008","12","18","M. G. Caxambu; E.L. Siqueira","2433","2008","12","08","Brasil","Paraná","Turvo","Propriedade da familia Rickli.","-51.550278","-25.039967","51º33'1''W","25º2'398''S","1037","1037","Floresta Ombrófila Mista Montana Habitat: orla da floresta Habito: árvore","CRI006591","CRI006591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","533078","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","cuneata","Lamanonia cuneata","(Cambess.) Kuntze","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","50825","1986","11","28","Brazil","Paraná","Palmeira","Rod. Br-277, rio dos Papagaios.","-50.0064","-25.4294",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383303' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533078","NY00533078_01","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00533086","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","cuneata","Lamanonia cuneata","(Cambess.) Kuntze",NA,NA,NA,NA,"H. S. Irwin","11439","1966","01","07","Brazil","Distrito Federal","Brasília","Rio Torto, near Sobradinho.","-47.9294","-15.7797",NA,NA,"975","975","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533086","NY00533086_01","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","533079","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","cuneata","Lamanonia cuneata","(Cambess.) Kuntze","O. A. Guimarães",NA,NA,NA,"A. C. Cervi","2210","1983","10","28","Brazil","Paraná","Ponta Grossa","Rio dos Papagaios, Ponta Grossa; beira do rio.","-49.891776","-25.299294",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533079","NY00533079_01","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","533082","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","cuneata","Lamanonia cuneata","(Cambess.) Kuntze","G. G. Hatschbach",NA,NA,NA,"L. R. Landrum","2564","1977","11","16","Brazil","Paraná",NA,"Limit between Mun. Ponta Grossa and Mun. Palmeira, gorge of the Rio Tibagi at point where BR 376 highway crosses.","-49.83","-25.33",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383302' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533082","NY00533082_01","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","533080","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","cuneata","Lamanonia cuneata","(Cambess.) Kuntze","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","40230","1977","11","16","Brazil","Paraná","Palmeira","Rod. do Café, rio Tibagi.","-49.891776","-25.299294",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383300' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533080","NY00533080_01","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","533081","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","cuneata","Lamanonia cuneata","(Cambess.) Kuntze","G. G. Hatschbach",NA,NA,NA,"L. R. Landrum","2564","1977","11","16","Brazil","Paraná",NA,"Limit between Mun. Ponta Grossa and Mun. Palmeira, gorge of the Rio Tibagi at point where BR 376 highway crosses.","-49.83","-25.33",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383301' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533081","NY00533081_01","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 12:06:00-03","NY","NYBG","00533084","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","cuneata","Lamanonia cuneata",NA,"L. B. Smith",NA,NA,NA,"N. Santos","5697","1964","12","06","Brazil","Minas Gerais",NA,"Poços de Caldas, Veo da Noiva.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383299' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533084","NY00533084_01","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","533077","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","cuneata","Lamanonia cuneata","(Cambess.) Kuntze",NA,NA,NA,NA,"P. K. H. Dusén","10889","1910","11","29","Brazil","Paraná",NA,"Rio Caracara, ad flumen",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533077","NY00533077_01","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00533085","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","cuneata","Lamanonia cuneata","(Cambess.) Kuntze",NA,NA,NA,NA,"H. S. Irwin","9847","1965","11","03","Brazil","Goiás","Cristalina","Serra dos Cristais. Creek border, ca. 5 km. S. of Cristalina.","-48","-17",NA,NA,"1175","1175","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383305' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533085","NY00533085_01","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
