"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","continentOcean","preparationType","previousCatalogNumber","phylum","order","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:25:27-03","UNESC","CRI","13820","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera","(Jacq.) Kunth","Rafael Almeida Pelegrini","2018","05","11","Alexandre Medeiros","1008","2018","05","11","Brasil","Santa Catarina","Balneário Camboriú","Barra APA Costa Brava","-48.595556","-27.006111","48º35'44''W","27º0'22''S","Fruto vermelho Habitat: Terrestre Habito: Arbóreo","CRI012431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:11-03","E","E","197435","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera",NA,NA,NA,NA,NA,"Triana, J.J.",NA,NA,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00197435 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00197435","W. Tropical South America","herbarium specimen of unspecif","BGBASE:203413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-12-15 15:02:00-02","NY","NYBG","01157747","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera",NA,"W. R. Anderson",NA,NA,NA,"B. C. Bennett","4536","1990","08","12","Ecuador","Napo",NA,"Near Jatun Sacha Biological Field Station","-77.6","-1.07",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626688' target='other'> <mi>dwc_moreinfo</mi></a>","NY01157747","South America","sheet",NA,"Magnoliophyta","Malpighiales","400","400",NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 17:24:00-03","NY","NYBG","583307","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera",NA,"W. R. Anderson",NA,NA,NA,"D. C. Daly","9594","1997","10","16","Brazil","Acre","Rio Branco","Fazenda Catuaba (University reserve), near km 22 of BR-364 (Rio Branco - Porto Velho).","-67.62","-10.07",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691982' target='other'> <mi>dwc_moreinfo</mi></a>","NY00583307","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 19:27:00-03","NY","NYBG","02360873","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera",NA,NA,NA,NA,NA,"L. Weiss","s.n.","1907",NA,NA,"Brazil","Amazonas",NA,"Upper Rio Negro.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2543763' target='other'> <mi>dwc_moreinfo</mi></a>","NY02360873","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,"NY02360873_01 NY02360873_02",NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 19:27:00-03","NY","NYBG","2360874","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera",NA,NA,NA,NA,NA,"A. C. G. Silveira","7","1973","07",NA,"Brazil","Amazonas","Manaus","Coletado na rua Leonardo Malcher, entre as ruas Major Gabriel e Joaquim Nabuco","-60.0250015258789","-3.10193991661072",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2543765' target='other'> <mi>dwc_moreinfo</mi></a>","NY02360874","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,"NY02360874_01","138090","auto",NA,NA,NA,NA,NA
"7","2016-09-30 19:27:00-03","NY","NYBG","02360878","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera",NA,NA,NA,NA,NA,"L. Morhy","16","1973","01","18","Brazil","Distrito Federal","Brasilia","Cultivated on campus of Universidade de Brasília.","-47.9296989440918","-15.7797002792358",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2543770' target='other'> <mi>dwc_moreinfo</mi></a>","NY02360878","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,"NY02360878_01","70570","auto",NA,NA,NA,NA,NA
"8","2016-09-30 19:27:00-03","NY","NYBG","2360876","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera",NA,NA,NA,NA,NA,"W. A. Archer","7655","1942","10","10","Brazil","Para","Belém","In garden near the I.A.N,","-48.5043983459473","-1.4558299779892",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2543767' target='other'> <mi>dwc_moreinfo</mi></a>","NY02360876","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,"NY02360876_01","48462","auto",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","476071","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera","(Jacq.) Kunth","W. R. Anderson",NA,NA,NA,"S. C. de Sant'Ana","665","1998","08","18","Brazil","Bahia","Itabuna","Planta coletada na área urbana da cidade, na Av. Fernando Cordier. Planta ornamental","-39.2803","-14.7858",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476071","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,"NY00476071_01",NA,NA,NA,NA,NA,NA,NA
"10","2017-03-09 15:33:00-03","NY","NYBG","493298","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera",NA,"W. R. Anderson",NA,NA,NA,"N. P. Smith","22","2000","09","23","French Guiana",NA,NA,"Vicinity of Les Eaux Claires, ca. 6 km. NNW of Saül. Disturbed area around homestead.","-53.22","3.65",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493298","South America","sheet",NA,"Magnoliophyta","Malpighiales","171","171",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","702938","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera","(Jacq.) Kunth","W. R. Anderson",NA,NA,NA,"A. R. S. de Oliveira","82","1994","01","31","Brazil","Acre","Xapuri","Reserva Extrativista Chico Mendes, Seringal Sibéria, colocaçao Confusao","-68.5042","-10.6519",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691983' target='other'> <mi>dwc_moreinfo</mi></a>","NY00702938","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,"NY00702938_01",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","755856","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera","(Jacq.) Kunth","W. R. Anderson",NA,NA,NA,"C. A. Cid Ferreira","3068","1980","10","27","Brazil","Acre","Rio Branco","Estrada para Porto do Acre Km 13, ramal a esquerda, a 4Km da estrada Colonia cinco Mil.","-67.7557755","-9.8462363",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691980' target='other'> <mi>dwc_moreinfo</mi></a>","NY00755856","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,"NY00755856_01",NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 16:16:00-03","NY","NYBG","41719","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera",NA,"W. R. Anderson",NA,NA,NA,"M. Rios","369","1991","05","19","Ecuador","Napo",NA,"District Ahuano","-77.58","-1.1",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00041719","South America","sheet",NA,"Magnoliophyta","Malpighiales","310","310",NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-30 19:27:00-03","NY","NYBG","02360880","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera",NA,NA,NA,NA,NA,"M. F. da Silva","P20144","1973","12","27","Brazil","Amazonas","Manaus","Rua Major Gabriel","-60.0250015258789","-3.10193991661072",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2543772' target='other'> <mi>dwc_moreinfo</mi></a>","NY02360880","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,"NY02360880_01","138090","auto",NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","2360875","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera","(Jacq.) Kunth",NA,NA,NA,NA,"B. A. Krukoff","9120","1936","10","26","Brazil","Amazonas","São Paulo de Olivença","Basin of Rio Solimoes, basin of creek Belém","-68.8724975585938","-3.37832999229431",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2543766' target='other'> <mi>dwc_moreinfo</mi></a>","NY02360875","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,"NY02360875_01","362329","auto",NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","02360879","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera","(Jacq.) Kunth",NA,NA,NA,NA,"S. A. Mori","13034","1979","11","28","Brazil","Bahia","Porto Seguro","Cidade histórica de Porto Seguro.","-39.0647010803223","-16.4496994018555",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2543771' target='other'> <mi>dwc_moreinfo</mi></a>","NY02360879","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,"NY02360879_01","68835","auto",NA,NA,NA,NA,NA
"17","2016-09-30 19:27:00-03","NY","NYBG","2360877","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera",NA,NA,NA,NA,NA,"W. A. Archer","7655","1942","10","10","Brazil","Para","Belém","In garden near the I.A.N,","-48.5043983459473","-1.4558299779892",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2543768' target='other'> <mi>dwc_moreinfo</mi></a>","NY02360877","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,"NY02360877_01","48462","auto",NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","196821","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera","(Jacq.) Kunth","M. N. Alexiades",NA,NA,NA,"M. N. Alexiades","1290","1996","12","24","Peru","Madre de Dios","Tambopata","Rio Heath, ca. 10km upriver from mouth. Capelleti, Comunidad Nativa Sonene","-68.63","-12.5",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00196821","South America","sheet",NA,"Magnoliophyta","Malpighiales","180","180",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-06-29 11:31:09-03","UFRJ","RFA","9437","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera","(Jacq.) Kunth","W.R. Anderson","1976",NA,NA,"P. Occhioni","3870","1970","03",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Cultivado. Horto da Faculdade de Farmacia, Serra dos Órgãos","-43.2075004577637","-22.9027996063232",NA,NA,"Arbusto copado; flor e frutos amarelos","RFA44651",NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"20","2020-11-24 17:10:47-03","UTFPR","DVPR","5444","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera","(Jacq.) Kunth","Estevan, DA","2018",NA,NA,"Menetrier, JV","38","2018","02","03","Brasil","Paraná","Francisco Beltrão",NA,"-53.032337","-26.071995","-53.032337","-26.071995","Arvoreta, ca. 3 metros com flores amarelas, Fruto vermelho/ laranja.","DVPR005444",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-19 15:44:18-03","UNEB","HUNEB","9725","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera","H. B. K.","E.P. Queiroz","2004","06",NA,"Queiroz, E.P.","377HRB49221","2004","02","12","Brasil","Bahia","Salvador","Jardim Botânico de Salvador - JBSSA","-12.9375","-12.926944","12W56'15''","12S55'37''","Remanescente de Mata Atlântica.","HUNEB0009725",NA,NA,NA,"Angiospermae","Florideophycidae",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"22","2021-03-30 12:43:24-03","EAO","IAN","191475","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera","(Jacq.) Kunth",NA,NA,NA,NA,"Cruz, ED","711","2013","02","07","Brasil","Pará","Paragominas","Parque ecológico de Paragominas","-47.358056","-2.979694","-47.358056","-2.979694","AT=3m","IAN191475","Southern America",NA,NA,"Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-30 12:43:24-03","EAO","IAN","199945","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera","(Jacq.) Kunth",NA,NA,NA,NA,"Xavier-Júnior, SR","374","2019","09","11","Brasil","Pará","Santarém","Flona do Tapajós km 67.","-54.958139","-2.856611","-54.958139","-2.856611","Árvore de 6m de altura, fruto vermelho.","IAN199945","Southern America",NA,NA,"Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-30 12:43:24-03","EAO","IAN","82863","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera","(Jacq.) Kunth",NA,NA,NA,NA,"Ducke, A","125","1954","03","25","Brasil","Ceará","Fortaleza","Cultivada no subúrbio e talvés subespontânea.","-38.543098449707","-3.71722006797791",NA,NA,"Arvorezinha, flor amarela, fruto, segundo informações, vermelho, comestível.","IAN082863","Southern America",NA,NA,"Dicotiledônea",NA,NA,NA,NA,"19924","auto",NA,NA,NA,NA,NA
"25","2021-03-30 12:43:24-03","EAO","IAN","195840","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera","(Jacq.) Kunth",NA,NA,NA,NA,"Silva, KC","17","2017","07","21","Brasil","Pará","Belém",NA,"-48.5043983459473","-1.4558299779892",NA,NA,"Arbusto de 5 m de altura; Flores amarelas pequenas com botões florais verdes.","IAN195840","Southern America",NA,NA,"Dicotiledônea",NA,NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA
"26","2021-03-30 12:43:24-03","EAO","IAN","175006a","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","glandulifera","Bunchosia glandulifera","(Jacq.) Kunth","Nascimento, MP do","2007","04","11","Andrade, ACS","162","1996","09","27","Brasil","Pará","Belém","Embrapa Amazônia Oriental, bosque Ipeca, árvore 290.","-48.5043983459473","-1.4558299779892",NA,NA,"Arbusto de aprox. 3m de altura; flores amarelas; frutos alaranjados, quando maduros.","IAN175006a","Southern America",NA,NA,"Dicotiledônea",NA,NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA
