"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","continentOcean","country","locality","relatedCatalogItem","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","phylum","infraspecificEpithet","recordNumber","fieldNumber","decimalLongitude","decimalLatitude","minimumElevationInMeters","individualCount","county"
"1","2020-02-08 09:35:54-03","NBC","NL-BOTANY","L 0037128","PreservedSpecimen","Plantae","Magnoliopsidae","Laurales","Lauraceae","Nectandra","japurensis","Nectandra japurensis","Nees & Mart.","Rohwer JG","syntype","Martius CFP von","Southern America","Brazil","BrazilieRio Negro","90975278","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200037128 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0037128","NL-L0037128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:35:54-03","NBC","NL-BOTANY","U 0288390","PreservedSpecimen","Plantae","Magnoliopsidae","Laurales","Lauraceae","Nectandra","japurensis","Nectandra japurensis","Nees & Mart.",NA,NA,"Ellenberg H","Southern America","Peru","island Pucallpa","Uw8680","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200288390 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0288390",NA,"1957","07","20","Loreto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:35:54-03","NBC","NL-BOTANY","U.1406529","PreservedSpecimen","Plantae","Magnoliopsidae","Laurales","Lauraceae","Nectandra","japurensis","Nectandra japurensis","Nees & Mart.",NA,NA,"Ellenberg H","Southern America","Peru","island Pucallpa","U 0018042","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1406529 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1406529","NL-U1406529","1957","07","20","Loreto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:38:20-02","BGBM","B","B 10 0185059","S","Plantae",NA,NA,"Lauraceae","Nectandra","japurensis","Nectandra japurensis","Nees",NA,NA,"?","Middle and South America","Brazil",NA,NA,"Nees misit 1832 <a href=http://herbarium.bgbm.org/object/B100185059 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185059","B100185059 B100185059_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:38:20-02","BGBM","B","B 10 0185058","S","Plantae",NA,NA,"Lauraceae","Nectandra","japurensis","Nectandra japurensis","Nees",NA,"syntype","C. F. P. Martius","Middle and South America","Brazil","In sylvis japurensibus, ad Maripi, pr. Rio Negro.",NA,"<a href=http://herbarium.bgbm.org/object/B100185058 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185058","B100185058 B100185058_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2014-10-14 15:56:43-03","BS","M","M-0147292","S","Plantae","Magnoliopsida","Laurales","Lauraceae","Nectandra","japurensis","Nectandra japurensis","Nees & Mart.",NA,"SYNTYPE","Martius, C.F.P. von",NA,"Brasil","Habitat in sylvis Japurensibus, ad Maripi, S. Joh. Princ. et Provinciae R. Negro",NA,NA,"M0147292",NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA
"7","2014-10-14 15:56:43-03","BS","M","M-0147293","S","Plantae","Magnoliopsida","Laurales","Lauraceae","Nectandra","japurensis","Nectandra japurensis","Nees & Mart.",NA,"SYNTYPE","Martius, C.F.P. von",NA,"Brasil","Habitat in Provinciae Paraensis",NA,NA,"M0147293",NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA
"8","2011-03-11 14:50:00-03","MO","MOBOT","1841911","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Gymnobalanus","punctata","Gymnobalanus punctata elongata","Meisn.",NA,NA,"José A. Pavón","South America","Peru",NA,NA,NA,NA,NA,"1778",NA,NA,NA,NA,"elongata","Pavón 472",NA,NA,NA,NA,NA,NA
"9","2014-04-04 05:41:00-03","MO","MOBOT","51254","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","japurensis","Nectandra japurensis","Nees & C. Mart.","J.G. Rohwer (HEID)",NA,"Rodolfo Vásquez|Nestor Jaramillo","South America","Peru","Contamana (quebrada Maquia). Bosque secundario inundable (tahuampa).",NA,NA,NA,NA,"1981","4","8","Ucayali",NA,NA,"Vásquez Martínez 1672","391","-75.08333","-7.33333","200.00000000","7",NA
"10","2016-09-20 09:12:00-03","MO","MOBOT","50902","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","japurensis","Nectandra japurensis","Nees & C. Mart.",NA,NA,"H. van der Werff|et al.","South America","Peru","around Villa Rica. In coffee-plantations.",NA,NA,NA,NA,"1986","2","26","Pasco",NA,NA,"van der Werff 8286","86-3",NA,NA,"1400.00000000","14","Oxapampa"
