"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","coordinatePrecision","geoFlag","barcode","imagecode"
"1","2020-12-11 11:44:24-03","UFMG","BHCB","111801","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Constantia","cristinae","Constantia cristinae","F.E.L.Miranda","Mota, NFO; et al.","902","2007","09","02","Southern America","Brasil","Minas Gerais","São Gonçalo do Rio Preto","P.E. do Rio Preto, Chapada do Couto.","-43.346528","-18.193417","-43.346528","-18.193417","1416","1416","Erva patente em afloramentos rochosos altos de campos rupestres da chapada. Flores rosas com parte do labelo amarelo. Caminho para o Morro do Alecrim, perto das Vellozia auricullata. Planta prensada e armazenada com álcool.",NA,NA,NA,NA
"2","2020-12-11 11:44:24-03","UFMG","BHCB","86782","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Constantia","cristinae","Constantia cristinae","F.E.L.Miranda","Viana, PL; et al.","1191","2003","10","30","Southern America","Brasil","Minas Gerais","São Gonçalo do Rio Preto","P.E. do Rio Preto.","-43.3908004760742","-18.0041999816895",NA,NA,"1400","1400","Rupícola em rochas quartzíticas.","26697","auto",NA,NA
"3","2020-12-11 11:44:24-03","UFMG","BHCB","92485","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Constantia","cristinae","Constantia cristinae","F.E.L.Miranda","Mota, RC da","2606","2002","09","02","Southern America","Brasil","Minas Gerais","Serro","São Gonçalo, Serra do Raio","-43.3793983459473","-18.604700088501",NA,NA,NA,NA,"erva rupestre; calosidade do labelo amarela e restante do mesmo róseo, demais pétalas e sépalas róseas.; Planta coletada em afloramento rupestre","37754","auto","BHCB001125","BHCB001125"
