"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","relationshipType","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:41:32-03","E","E","83896","PreservedSpecimen","Plantae","Melastomataceae","Leandra","aurea","Leandra aurea","Munhoz, C. & Rodrigues, N.","321","1996","01","09","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92790","<a href=http://data.rbge.org.uk/herb/E00083896 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:32-03","E","E","84486","PreservedSpecimen","Plantae","Melastomataceae","Leandra","lacunosa","Leandra lacunosa","Munhoz, C.","241","1995","04","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93670","<a href=http://data.rbge.org.uk/herb/E00084486 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:32-03","E","E","83913","PreservedSpecimen","Plantae","Melastomataceae","Leandra","lacunosa","Leandra lacunosa","Munhoz, C., Alvarenga, D. & Silva, S.R.","311","1995","11","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92795","<a href=http://data.rbge.org.uk/herb/E00083913 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:32-03","E","E","84286","PreservedSpecimen","Plantae","Melastomataceae","Leandra","lacunosa","Leandra lacunosa","Munhoz, C. & Silva, S.R.","286","1995","08","04","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93292","<a href=http://data.rbge.org.uk/herb/E00084286 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02098830","PreservedSpecimen","Plantae","Melastomataceae","Leandra","aurea","Leandra aurea","M. K. Caddah","401","2009","03","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305513' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098830","Magnoliophyta","Myrtales","(Cham.) Cogn.","M. K. Caddah","Minas Gerais","Sacramento","Parque Nacional da Serra da Canastra, guarita de Sacramento, cerrado","-47.4397","-19.8656","NY02098830_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","478202","PreservedSpecimen","Plantae","Melastomataceae","Leandra","aurea","Leandra aurea","M. Kuhlmann","s.n.","1939","08","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337838' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478202","Magnoliophyta","Myrtales","(Cham.) Cogn.","S. A. C. Chiea","Paraná","Balsa Nova","Serra de Sao Luiz","-49.6356","-25.5842","NY00478202_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2423356","PreservedSpecimen","Plantae","Melastomataceae","Leandra","aurea","Leandra aurea","E. M. Saddi","566","2011","11","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2695718' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423356","Magnoliophyta","Myrtales","(Cham.) Cogn.",NA,"Minas Gerais",NA,"Itatiaiuçu. Parcela P7 dos estudos para o EIA do Complexo Serra Azul.","-44.465","-20.2336","NY02423356_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2862129","PreservedSpecimen","Plantae","Melastomataceae","Leandra","aurea","Leandra aurea","M. M. Vasconcellos","15","2016","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3006451' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862129","Magnoliophyta","Myrtales","(Cham.) Cogn.","F. A. Michelangeli","Minas Gerais","Itamonte","Parque Estadual Serra do Papagaio, Rd. Itamonte-Alagoa, 20 km from Itamonte","-44.72931","-22.22331","NY02862129_01","1777","1777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","03166893","PreservedSpecimen","Plantae","Melastomataceae","Leandra","aurea","Leandra aurea","O. Buchtien","591","1906","11","16","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3432193' target='other'> <mi>dwc_moreinfo</mi></a>","NY03166893","Magnoliophyta","Myrtales","(Cham.) Cogn.",NA,"La Paz",NA,"Sirupaya voc. de Yanacachi",NA,NA,NA,"2200","2200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01874733","PreservedSpecimen","Plantae","Melastomataceae","Leandra","aurea","Leandra aurea","L. J.-C. Kollmann","9810","2007","05","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704241' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874733","Magnoliophyta","Myrtales","(Cham.) Cogn.","M. Reginato; F. A. Michelangeli","Espírito Santo","Afonso Cláudio","Pedra 3 Pontões.","-41.0297","-20.0733","NY01874733_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
