"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","year","month","day","phylum","order","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:39:33-03","E","E","514163","PreservedSpecimen","Plantae","Gramineae","Echinochloa","colona","Echinochloa colona","Stuckert, Teodoro Juan Vicente","Temperate South America","AR","Provincia de Córdoba","Bei Córdoba.","400","400","herbarium specimen of unspecif","BGBASE:535255","<a href=http://data.rbge.org.uk/herb/E00514163 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:33-03","E","E","514165","PreservedSpecimen","Plantae","Gramineae","Echinochloa","colonum","Echinochloa colonum","Stuckert, Teodoro Juan Vicente","Temperate South America","AR",NA,"Auf feuchtem Sandboden des Flussufers bei Estancia San Teodoro","400","400","herbarium specimen of unspecif","BGBASE:535298","<a href=http://data.rbge.org.uk/herb/E00514165 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514165","185","1901","03","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","630277","PreservedSpecimen","Plantae","Poaceae","Echinochloa","colona","Echinochloa colona","T. S. Ibarrola","South America","Argentina","Corrientes","Dep. Monte Caseros. Monte Caseros",NA,NA,"sheet",NA,"[Collection date 2/?/1945] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=330483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630277","2288","1945",NA,NA,"Magnoliophyta","Poales","(L.) Link","A. E. Burkart",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","630272","PreservedSpecimen","Plantae","Poaceae","Echinochloa","colona","Echinochloa colona","S. A. Mori","South America","Brazil","Bahia","Area do CEPEC (Centro de Pesq. do Cacau), km 22 rodovia Ilhéus/Itabuna - BR 415","50","50","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=330477' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630272","9255","1978","02","12","Magnoliophyta","Poales","(L.) Link","G. Davidse","Ilhéus","-39.2273659","-14.771874","NY00630272_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","630274","PreservedSpecimen","Plantae","Poaceae","Echinochloa","colona","Echinochloa colona","T. S. d. Silva","South America","Brazil","São Paulo","Sao Paulo, Cananeía, comum nas ruas da cidade de Cananeía",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=330486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630274","239","1976","03","15","Magnoliophyta","Poales","(L.) Link",NA,"Cananéia","-47.9197","-25.0103","NY00630274_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00862280","PreservedSpecimen","Plantae","Poaceae","Echinochloa","colona","Echinochloa colona","K. Mizoguchi","South America","Brazil","Mato Grosso do Sul","Fazenda De Caranba, Estrada Maracaju 35 km. N from Dourados","650","700","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862280","588","1978","03","11","Magnoliophyta","Poales","(L.) Link","M. H. Nee","Dourados","-54.8056","-22.2211","NY00862280_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02636940","PreservedSpecimen","Plantae","Poaceae","Echinochloa","colona","Echinochloa colona","P. da C. Gadelha Neto","South America","Brazil","Paraíba","Jardim Botânico: Área de uso público","16","16","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3392159' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636940","3846","2014","09","26","Magnoliophyta","Poales","(L.) Link",NA,"João Pessoa","-34.86","-7.135278","NY02636940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","630273","PreservedSpecimen","Plantae","Poaceae","Echinochloa","colona","Echinochloa colona","S. A. Mori","South America","Brazil","Bahia","Area do CEPEC (Centro de Pesq. do Cacau), km 22 rodovia Ilhéus/Itabuna - BR 415","50","50","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=330478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630273","9253","1978","02","12","Magnoliophyta","Poales","(L.) Link","G. Davidse","Ilhéus","-39.2273659","-14.771874","NY00630273_01 NY00630273_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 20:58:00-03","NY","NYBG","00862256","PreservedSpecimen","Plantae","Poaceae","Echinochloa","colona","Echinochloa colona","A. F. M. Glaziou","South America","Brazil",NA,"Brésil.",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940730' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862256","9342","1878","04","27","Magnoliophyta","Poales",NA,NA,NA,NA,NA,"NY00862256_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","630270","PreservedSpecimen","Plantae","Poaceae","Echinochloa","colona","Echinochloa colona","R. M. Harley","South America","Brazil","Bahia","49km. N. of Senhor do Bonfim on the BA 130 highway to Juazeiro","500","500","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=330485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630270","16361","1974","02","26","Magnoliophyta","Poales","(L.) Link",NA,NA,"-40.22","-10.08","NY00630270_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
