"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","typeStatus","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","626257","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","G. T. Prance","L. B. Smith","14398","1965","01","06","South America","Brazil","Santa Catarina","Sao Joaquim","By Rio Pelotas, Passo da Cadeia, 32km southwest of Sao Joaquim.","-50.08","-28.48","850","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=265653' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626257","NY00626257_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:21:26-03","NBC","NL-BOTANY","L.1650942","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer",NA,"Smith LB; Reitz R",NA,"1965","01","06","Southern America","Brazil",NA,NA,"Santa Catarina. Mun. São Joaquim: Forest, by Rio Pelotas, Passo da Cadeia, 32 km southwest of São Joaquim.","-50.083333","-28.483333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1650942 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1650942","NL-L1650942","Magnoliopsidae","-50.083333","-28.483333",NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:32:00-03","IAP","PACA-AGP","102663","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","L. Cappelatti","L. Cappelatti","144","2007","01","06",NA,"Brasil","RS","São Francisco de Paula","Parque Municipal da Ronda.","-50.55","-29.433333",NA,NA,NA,"Habitat: mata","PACA102663",NA,"Magnoliatae","50°33'W","29°26'S","2007","01","12",NA,NA,NA,NA
"4","2019-08-27 13:32:00-03","IAP","PACA-AGP","114630","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","L. Cappelatti","L. Cappelatti","36","2007","01","06",NA,"Brasil","RS","São Francisco de Paula","Parque Nacional da Ronda.","-50.545578","-29.448672",NA,NA,NA,"Habitat: florestal","PACA114630",NA,"Magnoliatae","50°32'44.08W","29°26'55.22S","2007","03","06",NA,NA,NA,NA
"5","2019-08-27 13:32:00-03","IAP","PACA-AGP","49423","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","H. Sleumer","Rambo, B.",NA,"1950","12","18",NA,"Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,NA,NA,"ISOTYPUS. Habitat: ad rivum in araucarieto Fenofase: flor","PACA049423","PACA049423","Magnoliatae",NA,NA,"1954","09","11","Isotipo","76715","auto",NA
"6","2019-10-18 16:50:12-03","IAP","PACA-AGP","49423.1","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Rambo e Sleumer","Rambo, B.",NA,"1950","12","18",NA,"Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,NA,NA,"Habitat: Ad rivum in araucariaceae","PACA049423-1",NA,"Magnoliatae",NA,NA,NA,NA,NA,NA,"76715","auto",NA
"7","2019-08-27 13:32:00-03","IAP","PACA-AGP","50741","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Emrich-Rambo","Reitz, R.","2689","1948","12","21",NA,"Brasil","SC","Bom Retiro","Campo dos Padres","-49.489200592041","-27.7971992492676","1700","1700",NA,"Altura 6m Habitat: In silva Fenofase: flor","PACA050741",NA,"Magnoliatae",NA,NA,"1950","09","11",NA,"35974","auto",NA
"8","2019-08-27 13:32:00-03","IAP","PACA-AGP","84892","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","B. Rambo","Rambo, B.","5132","1950","12","19",NA,"Brasil","RS","São Francisco de Paula","Taimbé","-50.5835990905762","-29.4480991363525","1000","1000",NA,"Habitat: Arbor","PACA084892",NA,"Magnoliatae",NA,NA,NA,NA,NA,NA,"76715","auto",NA
"9","2019-08-27 13:32:00-03","IAP","PACA-AGP","49359","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","H. Sleumer","Rambo, B.",NA,"1950","12","18",NA,"Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,NA,NA,"Habitat: In araucarieto humido Fenofase: fruto antiquo","PACA049359",NA,"Magnoliatae",NA,NA,"1954","09","11",NA,"76715","auto",NA
"10","2019-08-27 13:32:00-03","IAP","PACA-AGP","50746","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Emrich-Rambo","Reitz, R.","2689","1948","12","20",NA,"Brasil","SC","Bom Retiro","Campo dos Padres","-49.489200592041","-27.7971992492676","1700","1700",NA,"Árvore, alt. 6m. Habitat: In silva Fenofase: flor","PACA050746",NA,"Magnoliatae",NA,NA,"1954","09","11",NA,"35974","auto",NA
"11","2021-03-10 14:35:16-03","UFSC","CTBS","291","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Scipioni, M.C.","Santos, Vanderlei dos (Guga)","8","2012","10","08",NA,"Brasil","Santa Catarina","Curitibanos","Estrada Geral Curitibanos/São Cristóvão, Rodovia Municipal Ulysses Gaboardi","-50.52665","-27.283111",NA,NA,NA,NA,NA,NA,NA,"50°31'35.94W","27°16'59.20S",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-04 13:19:40-03","UDESC","LUSC","8360","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Felitto, G.","Felitto, G.; Bianchin, J.E.; Dutra, M.",NA,"2013","12","01",NA,"Brasil","Santa Catarina","São Joaquim","Rio Pelotas.","-49.9317016601562","-28.2938995361328",NA,NA,NA,NA,"LUSC007516","LUSC007516",NA,NA,NA,"2014","11","28",NA,"48290","auto",NA
"13","2020-10-14 10:05:40-03","FURB","FURB","34799","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Sobral, M","Korte, A.","6259","2010","11","24",NA,"Brasil","Santa Catarina","Garuva","Estrada Bonita (Serra do Quiriri).","-48.9605556","-26.1002778","800","800",NA,"Voucher estéril IFFSC 1066 (Fitossociologia) Habitat: Floresta Ombrófila Densa; Estágio Primário Habito: arbórea;","FURB03250","FURB03250",NA,"-48.9605556","-26.1002778","2010",NA,NA,NA,NA,NA,NA
"14","2020-10-14 10:05:40-03","FURB","FURB","58567","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Kassner-Filho, A.","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Althoff, L.F.","2641","2018","03","11",NA,"Brasil","Santa Catarina","Orleans","Pedra Furada.","-49.4791667","-28.1338889",NA,NA,NA,"fruto imaturo Habitat: paredão rochoso Habito: árvore","FURB58567","FURB58567",NA,"-49.4791667","-28.1338889","2018","03","11",NA,NA,NA,NA
"15","2020-10-14 10:05:40-03","FURB","FURB","41680","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Falkenberg, DB","Falkenberg, D.B.","7956","1996","06","18",NA,"Brasil","Santa Catarina","Urubici","morro da igreja, no interior da área cercada pelo CINDACTA.","-49.5917015075684","-28.0149993896484","1780","1780",NA,"folhas coriáceas, planta bastante rara na região, crescendo geralmente em encosta íngremes e pedregosas; com cheiro muito forte nos ramos cortados; 10 cm de DAP Habitat: beira de matinha nebular em encosta declivosa, solo rochoso e ras","FURB40322","FURB40322",NA,NA,NA,"1997",NA,NA,NA,"30102","auto",NA
"16","2021-03-16 17:54:43-03","UCS","HUCS","43768","PreservedSpecimen","Plantae","Angiospermae","Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","David, F.","Barbosa, E.","4191","2014","09","25",NA,"Brasil","Rio Grande do Sul","São José dos Ausentes","Campo Novo - Rio Pelotas","-50.018611","-28.4525","1131","1131",NA,"Arvoreta, 4m, frutos maduros.; Beira do Rio",NA,NA,NA,"-50.018611","-28.4525","2014","11","27",NA,NA,NA,NA
"17","2021-03-16 17:54:43-03","UCS","HUCS","48432","PreservedSpecimen","Plantae","Angiospermae","Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer",NA,"Sobral, M.","8124","1996","08",NA,NA,"Brasil","Rio Grande do Sul","Vacaria","Encanados","-50.9338989257812","-28.5121994018555",NA,NA,NA,"Região de mata ombrófila mista, coletas realizadas em arredores dos aflorementos rochosos à margem do rio Pelotas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"63451","auto",NA
"18","2019-12-26 15:11:32-03","UFSM","SMDB","19307","S","Plantae",NA,NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Felitto, G","Felitto, G; Bianchin, JE; Dutra, M","783","2013","12","01",NA,"Brasil","Santa Catarina","São Joaquim","Rio Pelotas","-50.075","-28.478611",NA,NA,NA,"Árvore, 8m; flores alvas-amarelas. Vegetação Reófila","SMDB019307",NA,NA,"-50.075","-28.478611","2014","04",NA,NA,NA,NA,NA
"19","2020-12-21 16:42:07-03","MBM","MBM","389233","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Felitto, G.","Felitto, G.; Bianchin, J.E.; Dutra, M.; Bianchin, J.E.; Dutra, M.","783","2013","12","01","Southern America","Brazil","Santa Catarina","São Joaquim","Rio Pelotas","-50.075047","-28.478539","855","855",NA,"Árvore, 8m; flores alvas-amarelas.; Vegetação Reófita.","MBM389233","MBM389233",NA,"-50.075047","-28.478539","2014","04",NA,NA,NA,NA,NA
"20","2020-12-21 16:42:07-03","MBM","MBM","238784","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer",NA,"Sobral, M.; et al.; et al.","8124",NA,NA,NA,"Southern America","Brazil","Rio Grande do Sul","Vacaria","Rio Pelotas, Encanados","-50.9338989257812","-28.5121994018555",NA,NA,NA,NA,"MBM238784","MBM238784",NA,NA,NA,NA,NA,NA,NA,"63451","auto",NA
