"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","typeStatus","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00857369","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore","R. M. Harley","G. G. Hatschbach","62806","1995","05","15","South America","Brazil","Mato Grosso","Jaciara","Rod. BR-163, km 319.","-54.9681","-15.9656","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939033' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857369","NY00857369_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00857370","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore","R. M. Harley","R. M. Harley","20405","1978","01","30","South America","Brazil","Mato Grosso","Santo Antônio do Leverger","São Vicente, ca. 90km SE of Cuiabá.","-56.0767","-15.8658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857370","NY00857370_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:32:46-03","EAO","IAN","160557","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore","Harley, R","Carreira, LMM","568","1983","03","20","Southern America","Brasil","Mato Grosso","Chapada dos Guimarães","Buriti. Terra firme; solo argiloso.","-55.749698638916","-15.460599899292",NA,NA,"IAN160557",NA,NA,NA,"2016","08","19","107042","auto",NA,NA,NA,NA,NA
"4","2020-11-19 10:24:00-03","CPAP","CPAP","16817","PreserverdSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore","R. M. Harley","Hatschbach, G.","63618","1995","10","20",NA,"Brasil","MT","Chapa dos Guimarães","Arredores da área urbana da Chapada os Guimarães",NA,NA,NA,"Erva ereta, odorífera. FLOR: capítulos alvos. Flor com maculas punctiformes vinosas. AMBIENTE: Campo limpo.",NA,NA,NA,NA,"1996",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-19 10:24:00-03","CPAP","CPAP","16793","PreserverdSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore","R. M. Harley","Hatschbach, G.","62806","1995","05","15",NA,"Brasil","MT","Jaciara","Rodovia BR-163, km 319","-54.9682998657227","-15.9652996063232",NA,"Erva ereta. FLOR: alva com maculas vinosas. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Campo cerrado. SUBSTRATO: . RELEVO: .",NA,NA,NA,NA,"1996",NA,NA,"41566","auto",NA,NA,NA,NA,NA
"6","2020-12-21 16:30:15-03","MBM","MBM","28428","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S. Moore","Harley, R.M.","Hatschbach, G.; Koczicki, C.; Koczicki, C.","33235","1973","11","15","Southern America","Brazil","Mato Grosso","Alto Garças","BR-364","-53.5280990600586","-16.9438991546631",NA,NA,"MBM028428","MBM028428",NA,NA,NA,NA,NA,"58359","auto",NA,NA,NA,NA,NA
"7","2020-12-21 16:30:15-03","MBM","MBM","33043","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S. Moore","Harley, R.M.","Hatschbach, G.; Anderson, W.; Gates, B.; Anderson, W.; Gates, B.","36167","1975","02","14","Southern America","Brazil","Mato Grosso","Alto Garças","BR-364, Fazenda Garça Branca","-53.5280990600586","-16.9438991546631",NA,NA,"MBM033043","MBM033043",NA,NA,NA,NA,NA,"58359","auto",NA,NA,NA,NA,NA
"8","2020-12-21 16:30:15-03","MBM","MBM","186076","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S. Moore","Harley, R.M.","Hatschbach, G.; Pott, A.; Barboza, E.; Pott, A.; Barboza, E.","63618",NA,NA,NA,"Southern America","Brazil","Mato Grosso","Chapada dos Guimarães","Chapada dos Guimarães, arredores","-55.749698638916","-15.460599899292",NA,NA,"MBM186076","MBM186076",NA,NA,NA,NA,NA,"107042","auto",NA,NA,NA,NA,NA
"9","2020-12-21 16:30:15-03","MBM","MBM","25400","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S. Moore","Harley, R.M.","Hatschbach, G.","32051","1973","05","17","Southern America","Brazil","Mato Grosso","Cuiabá","São José da Serra","-56.0966987609863","-15.5960998535156",NA,NA,"MBM025400","MBM025400",NA,NA,NA,NA,NA,"74875","auto",NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","2905849","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S. Moore","R.M. Harley, XII/","Gert G. Hatschbach","Hatschbach 34147","1974","2","13","South America","Brazil",NA,NA,"Mato Grosso. Rondonopolis. Serra da Petrolina. Campo cerrado da borda da chapada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
