"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1185440","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dicymbe","heteroxylon","Dicymbe heteroxylon","Ducke","isotype","W. A. Ducke","1497","1940","05","27","South America","Brazil","Amazonas","São Paulo de Olivença","-68.9350837","-3.4711744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1398259' target='other'> <mi>dwc_moreinfo</mi></a>","NY01185440","NY01185440_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4340","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dicymbe","heteroxylon","Dicymbe heteroxylon","Ducke","isotype","W. A. Ducke","1497","1940","05","27","South America","Brazil","Amazonas",NA,"-68.8724975585938","-3.37832999229431","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=351433' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004340","NY00004340_01","São Paulo de Olivença","362329","auto",NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:40:56-03","EAO","IAN","57205","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Detarioideae","Dicymbe","heteroxylon","Dicymbe heteroxylon","Ducke",NA,"sc","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN057205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:40:56-03","EAO","IAN","11203","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Detarioideae","Dicymbe","heteroxylon","Dicymbe heteroxylon","Ducke","isotipo","Ducke, A","1497","1940","05","27","Southern America","Brasil","Amazonas","Mata das terras altas, em solo de silica coberto de humus.","-68.8724975585938","-3.37832999229431",NA,"Árvore muito grande.","IAN011203","IAN011203 IAN011203_e","São Paulo de Olivença","362329","auto",NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:40:56-03","EAO","IAN","12858","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Detarioideae","Dicymbe","heteroxylon","Dicymbe heteroxylon","Ducke","isotipo","Ducke, A","1497","1940","05","27","Southern America","Brasil","Amazonas","Mata das terras altas, em solo de silica coberto de humus.","-68.8724975585938","-3.37832999229431",NA,"Árvore muito grande.","IAN012858","IAN012858 IAN012858_e","São Paulo de Olivença","362329","auto",NA,NA,NA,NA,NA,NA
"6","2013-04-01 09:16:41-03","IPT","BCTW","7859","S","Plantae","Magnoliophyta",NA,NA,"Dicymbe","heteroxylon","Dicymbe heteroxylon","Ducke",NA,NA,NA,NA,NA,NA,NA,"Brasil",NA,"Amazônia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"7","2020-08-31 08:51:37-03","INPA","INPA","234508","S","Plantae","Dicotyledon","Fabales","Leguminosae-Caes","Dicymbe","heteroxylon","Dicymbe heteroxylon","Ducke",NA,"Ducke, A","1497","1940","05","27","Southern America","Brasil","Amazonas","Mata do tipo sílico-humoso.","-68.935084","-3.471174",NA,NA,"INPA0234508","INPA0234508 INPA0234508_e","São Paulo de Olivença",NA,NA,NA,"-68.935084","-3.471174",NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","USw23492","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Dicymbe","heteroxylon","Dicymbe heteroxylon","Ducke","Isosyntype","A. Ducke","339",NA,NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,"Locality data (Minas Gerais) on this wood collection is probably incorrect",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA,NA
"9","2020-09-12 05:00:02-03","US","US","2250365","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Dicymbe","heteroxylon","Dicymbe heteroxylon","Ducke","Isosyntype","A. Ducke","1497","1940","5","27","South America - Neotropics","Brazil","Amazonas","Estado do Amazonas. São Paulo de Olivença","-68.8724975585938","-3.37832999229431",NA,NA,"US00405756","US00405756_01","São Paulo de Olivença","362329","auto","Dicotyledonae",NA,NA,"1",NA,NA
"10","2020-09-12 05:00:02-03","US","US","1907234","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Dicymbe","heteroxylon","Dicymbe heteroxylon","Ducke","Isosyntype","A. Ducke","1497","1940","5","27","South America - Neotropics","Brazil","Amazonas","Estado do Amazonas. São Paulo de Olivença","-68.8724975585938","-3.37832999229431",NA,NA,"US00002698","US00002698_01","São Paulo de Olivença","362329","auto","Dicotyledonae",NA,NA,"1",NA,NA
"11","2020-09-12 05:00:02-03","US","US","2250365","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Dicymbe","heteroxylon","Dicymbe heteroxylon","Ducke","Isosyntype","A. Ducke","1497","1940","5","27","South America - Neotropics","Brazil","Amazonas","Estado do Amazonas. São Paulo de Olivença","-68.8724975585938","-3.37832999229431",NA,"Specimen ex herb. United States National Arboretum, transferred to U.S. National Herbarium, 1953 See separate fruit collection 1265","US00405756","US00405756_01","São Paulo de Olivença","362329","auto","Dicotyledonae",NA,NA,"1",NA,NA
"12","2020-09-12 05:00:02-03","US","US","2250366","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Dicymbe","heteroxylon","Dicymbe heteroxylon","Ducke","Isosyntype","A. Ducke","1497","1940","5","27","South America - Neotropics","Brazil","Amazonas","Estado do Amazonas. São Paulo de Olivença","-68.8724975585938","-3.37832999229431",NA,"Specimen ex herb. United States National Arboretum, transferred to U.S. National Herbarium, 1953","US00405757","US00405757_01","São Paulo de Olivença","362329","auto","Dicotyledonae",NA,NA,"1",NA,NA
"13","2019-01-23 13:06:32-02","F","FMNH-SEEDPLANTS","V0361400F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Dicymbe","heteroxylon","Dicymbe heteroxylon",NA,"Syntype","A. Ducke","1497","1940","5","27","South America","Brazil","Amazonas","São Paulo de Olivença",NA,NA,NA,NA,"V0361400F","V0361400F_01",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"14","2010-09-23 14:07:59-03","A","HU-HERB","A 00053855","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dicymbe","heteroxylon","Dicymbe heteroxylon","Ducke","Isotype","A. Ducke","1497",NA,NA,NA,"South America","Brazil","Amazonas","Sao Paulo de Olivenca",NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1497","undetermined"
