"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","dayIdentified","class","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","230668","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Moquinia","argyrea","Moquinia argyrea","Dusén ex Malme","isotype","P. K. H. Dusén","7211","1908","11","27","South America","Brazil","Paraná","Villa Velha","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577708' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230668","NY00230668_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","797668","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusén ex Malme) G.Sancho",NA,"L. B. Smith","14466","1965","01","14","South America","Brazil","Paraná","Vila Velha","-50.03","-25.22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=722475' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797668","NY00797668_01","Ponta Grossa","890","920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1114049","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusén ex Malme) G.Sancho",NA,"G. G. Hatschbach","47338","1984","01","11","South America","Brazil","Paraná","Rod. BR-277, 2 km N do Rio Capivara","-50.0064","-25.4294","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1257061' target='other'> <mi>dwc_moreinfo</mi></a>","NY01114049","NY01114049_01","Palmeira",NA,NA,"K. A. Freitas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","797667","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusén ex Malme) G.Sancho",NA,"O. dos S. Ribas","72","1989","03","01","South America","Brazil","Paraná","BR-277, descida para rio Capivara","-50.0064","-25.4294","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=722474' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797667","NY00797667_01","Palmeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:28:49-03","UNESP-IBB","BOTU","26514","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","(Dusén ex Malme) Cabrera",NA,"Hatschbach, G.","47338","1984","01","11",NA,"Brasil","Paraná","Rodovia BR- 277,2 km N do rio Capivari",NA,NA,NA,"Arbusto até 1 m;capítulo creme, campo limpo, junto á borda de paredões de arenito","BOTU026514","BOTU026514","Palmeira",NA,NA,"Monge, M.","2011","10","9999","9999",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:34:59-03","EAO","IAN","60575","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Moquinia","argyrea","Moquinia argyrea","Dusén ex Malme",NA,"Dusén, PKH","7211","1908","11","27","Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN060575","IAN060575 IAN060575_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:10:30-03","UFBA","ALCB","90061","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","Malme",NA,"Barbosa, E; Santos, MRM; Moletta, EMS","868","2004","02","10","Southern America","Brasil","Paraná","Rio Lajeado","-50.0064010620117","-25.4293994903564",NA,"ca. 1,20m. Flor alvacenta.; Região do Capão; beira do rio encachoeirdo.",NA,NA,"Palmeira",NA,NA,"Hatschbach, G","2004",NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA
"8","2019-10-09 11:10:30-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","Malme",NA,"Hatschbach, G","47338","1984","01","11","Southern America","Brasil","Paraná","Rod. BR-277, 2 km N do Rio Capivara","-50.0064010620117","-25.4293994903564",NA,"até 1 m. Capítulo creme.; junto à borda de paredões de arenito.",NA,NA,"Palmeira",NA,NA,"Rob., H",NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA
"9","2020-11-04 11:01:40-03","ESALQ","ESA","77243","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","Malme",NA,"Hatschbach, G.","47338.0","1984","01","11",NA,"Brasil","Paraná",NA,"-50.0064010620117","-25.4293994903564",NA,NA,"ESA077243","ESA077243","Palmeira",NA,NA,"Robinson, H.",NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA
"10","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0018143","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","(Dusén ex Malme) Cabrera ex Malme",NA,"G. Hatschbach","47338","1984","1","11",NA,"Brazil","Paraná","Rod. BR-277, 2 km N do Rio Capivara (Mun. Palmeira).","-50.0033","-25.4261",NA,NA,NA,NA,NA,NA,NA,"H. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0018144","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","(Dusén ex Malme) Cabrera ex Malme",NA,"E. Barbosa; M. R. M. Santos, E. M. S. Moletta","868","2004","2","10",NA,"Brazil","Paraná","Rio Lajeado (Mun. Palmeira).","-50.0033","-25.4261",NA,NA,NA,NA,NA,NA,NA,"G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-16 17:50:58-03","UCS","HUCS","15934","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusén ex Malme) G. Sancho",NA,"Hatschbach, G.","47338","1984","01","11",NA,"Brasil","Paraná","Rod. BR 277 s km N do Rio Capivara","-50.0064010620117","-25.4293994903564",NA,"Herbario MBM; CAmpo limpo - junto aos paredões de arenito",NA,NA,"Palmeira",NA,NA,"Robinson, H.",NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA
"13","2019-08-16 08:38:36-03","UTFPR","HCF","1575","S","Plantae",NA,NA,"Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusén ex Malme) G. Sancho",NA,"M.G. Caxambu","639","2004","11","07",NA,"Brasil","PR","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,"Arbusto ramificado, com folhas lanceoladas, discolores. Botões florais amarelos.",NA,NA,"Palmeira",NA,NA,"J. Cordeiro & E. Barboza","2005","05",NA,NA,"35166","auto",NA,NA,NA,NA,NA
"14","2019-08-16 08:38:36-03","UTFPR","HCF","15914","S","Plantae",NA,NA,"Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusén ex Malme) G. Sancho",NA,"G. Hatschbach","47338","1984","01","11",NA,"Brasil","PR","Rod. BR-277, 2 Km N do Rio Capivara","-50.0064010620117","-25.4293994903564",NA,"arbusto até 1 m, capítulo creme; campo limpo, junto à borda de paredões de arenito.",NA,NA,"Palmeira",NA,NA,"H. Robinson",NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA
"15","2020-12-21 16:15:58-03","MBM","MBM","245229","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","(Dusén ex Malme) Cabrera",NA,"Ziller, S.R.","1963","1999","05","02","Southern America","Brazil","Paraná","Próximo ao 1º posto policial CWB-P.G.","-49.6356010437012","-25.5839004516602",NA,NA,"MBM245229","MBM245229","Balsa Nova",NA,NA,"Hatschbach, G.",NA,NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA
