"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","386847","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Herissantia","nemoralis","Herissantia nemoralis","(A.St.-Hil., Juss. & Cambess.) Brizicky","A. Krapovickas","G. G. Hatschbach","23736","1970","02","17","South America","Brazil","Mato Grosso do Sul","Dois Irmaos do Buriti","Palmeiras (Mun. Anastácio)","-55.2958","-20.6797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441678' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386847","NY00386847_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","386849","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Herissantia","nemoralis","Herissantia nemoralis","(A.St.-Hil., Juss. & Cambess.) Brizicky",NA,"A. Krapovickas","36167","1980","04","17","South America","Bolivia","Santa Cruz",NA,"Prov. Sandoval; San Matías","-58.43","-16.35","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386849",NA,"170","170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00942197","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Herissantia","nemoralis","Herissantia nemoralis","(A.St.-Hil., Juss. & Cambess.) Brizicky",NA,"A. Krapovickas","40116","1985","05","18","South America","Brazil","Mato Grosso","Cáceres","9 km ENE de Porto Esperidiao, BR-174.","-57.6789","-16.0708","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027097' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942197","NY00942197_01","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00942198","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Herissantia","nemoralis","Herissantia nemoralis","(A.St.-Hil., Juss. & Cambess.) Brizicky",NA,"A. Krapovickas","40188","1985","05","28","South America","Brazil","Mato Grosso","Cáceres","12 km W de BR-174 (camino de Porto Esperidiao a Santa Rita y Cassalvasco).","-57.6789","-16.0708","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027239' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942198","NY00942198_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","386846","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Herissantia","nemoralis","Herissantia nemoralis","(A.St.-Hil., Juss. & Cambess.) Brizicky",NA,"A. Krapovickas","37714","1982","01","12","South America","Brazil","Rio Grande do Sul","Torres","En calle próxima canal río Mampituba","-49.7267","-29.3356","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386846","NY00386846_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","386848","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Herissantia","nemoralis","Herissantia nemoralis","(A.St.-Hil., Juss. & Cambess.) Brizicky",NA,"A. Krapovickas","43596","1990","02","24","South America","Argentina","Corrientes",NA,"Dep. San Miguel; Ea. Toro-i",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441680' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00942200","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Herissantia","nemoralis","Herissantia nemoralis","(A.St.-Hil., Juss. & Cambess.) Brizicky",NA,"W. Gregory","9913","1959","03","02","South America","Brazil","Mato Grosso",NA,"65 km N de Cuiabá.","-56.043867","-15.0253423","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942200","NY00942200_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1550947","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Herissantia","nemoralis","Herissantia nemoralis","(A.St.-Hil., Juss. & Cambess.) Brizicky","S. R. Hill","L. M. M. Carreira","972","1983","05","08","South America","Brazil","Mato Grosso","Vila Bela de Santíssima Trindade","Vila Bela da SS Trinidade, estrada para Fazenda Formosa, km 12",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1838413' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550947","NY01550947_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00942199","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Herissantia","nemoralis","Herissantia nemoralis","(A.St.-Hil., Juss. & Cambess.) Brizicky","A. Krapovickas","G. G. Hatschbach","24606","1970","08","12","South America","Brazil","Mato Grosso do Sul","Anastácio","Rio Aquidauana.","-55.8067","-20.4836","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027623' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942199","NY00942199_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:20:10-03","UFRJ","RFA","9828","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Herissantia","nemoralis","Herissantia nemoralis","(A.St.-Hil.) Brizicky","A. Krapovickas","G.G. Hatschbach","23736","1970","02","17",NA,"Brasil","Mato Grosso do Sul","Anastácio","Palmeiras","-55.8069000244141","-20.4836006164551",NA,"Arbusto 1,70 m, flor amarela, ruderal","RFA28506",NA,NA,NA,"80799","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
