"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","103765","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Aegiphila","duckei","Aegiphila duckei","Moldenke","H. N. Moldenke","type","W. A. Ducke","35662","1935","09","20","South America","Brazil","Igarapé Macacuny prope Cucuhy Rio Negro (Amazonas) silva non inundabili","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00103765","NY00103765_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:01-03","UFRJ","RFA","25540","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Aegiphila","duckei","Aegiphila duckei","Moldenke","C. M. Vieira",NA,"F. M. de B. Pereira","58/53","2000","11","20",NA,"Brasil","1º distrito, Bocaina Funda",NA,"Arbusto, 3m de altura, 20cm de DAP, comum no local","RFA29815",NA,"2000","12","15","Minas Gerais","Itamonte","-44.685","-22.264444","44º41'6''W","22º15'52''S","1767","1767",NA
"3","2019-10-07 09:15:53-03","UEFS","HUEFS","32649","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Aegiphila","duckei","Aegiphila duckei","Moldenke",NA,NA,"Ducke, A.","35662","1935","09","20",NA,"Brasil","Rio Negro, Cucuhy, Igarapé, Nacacuny.",NA,NA,"HUEFS0032649",NA,NA,NA,NA,"Amazonas",NA,NA,NA,NA,NA,NA,NA,"Asteranae"
"4","2019-10-07 09:15:53-03","UEFS","HUEFS","32650","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Aegiphila","duckei","Aegiphila duckei","Moldenke",NA,NA,"Ducke, A.","35662","1935","09","20",NA,NA,"Iguarapé Macacuny, Cucuhy, Rio Negro, silva non inundabili.",NA,NA,"HUEFS0032650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asteranae"
