"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount"
"1","2021-04-05 14:25:26-03","UNESC","CRI","9466","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo-Gil","A. Quinet","2010","09","15","A. Korte; A. Kniess","1571","2010","01","28","Brasil","Santa Catarina","Taió","Barragem Oeste.","-50.038056","-27.092222","50º2'17''W","27º5'32''S","400","400","Floresta Ombrófila Densa Habitat: interior de fragmento Habito: arbórea","CRI003754","CRI003754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:26-03","UNESC","CRI","9564","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo-Gil","A. Quinet","2010","09","15","J.L. Schmitt; E. Caglioni, S. Andrade & C. Cristofolini","2850","2010","04","24","Brasil","Santa Catarina","Praia Grande","Trilha do Rio do Boi.","-50.074444","-29.205","50º4'28''W","29º12'18''S","330","330","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003749","CRI003749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:26-03","UNESC","CRI","9451","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo-Gil","A. Quinet","2010","09","15","A. Stival-Santos; E. Legal & S. Silveira","1809","2010","02","20","Brasil","Santa Catarina","Águas Mornas","Canto do Schutch.","-48.87","-27.63","48º52'12''W","27º37'48''S","413","413","Floresta Ombrófila Densa Habito: arbórea","CRI003753","CRI003753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:26-03","UNESC","CRI","9526","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo-Gil","A. Quinet","2010","09","15","A. Stival-Santos; S. Silveira","3256","2010","07","08","Brasil","Santa Catarina","Antônio Carlos","RPPN Caraguatá.","-48.87","-27.45","48º52'12''W","27º27'0''S","710","710","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003752","CRI003752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:37-03","UNESC","CRI","8765","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo-Gil","Ronaldo dos Santos Júnior","2010","10","27","Ronaldo dos Santos Júnior",NA,"2010","08","01","Brasil","Santa Catarina","Criciúma",NA,"-49.370278","-28.678333","49º22'13''W","28º40'42''S",NA,NA,NA,"CRI003750","CRI003750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:26-03","UNESC","CRI","8601","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo-Gil","Vanilde Citadini-Zanette",NA,NA,NA,"Alecsandro Shardosim Klein",NA,"2006","06",NA,"Brasil","Santa Catarina","Urussanga","Rio Carvão Alto","-49.3175","-28.522778","49º19'3''W","28º31'22''S","300","300","Habito: Arbóreo","CRI013673","CRI013673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:26-03","UNESC","CRI","9458","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo-Gil","A. Quinet",NA,NA,NA,"A. Korte; A. Kniess","5149","2010","04","14","Brasil","Santa Catarina","José Boiteux","Rio Laeisz.","-49.588611","-26.911944","49º35'19''W","26º54'43''S","823","823","Floresta Ombrófila Densa Habito: árvore","CRI003751","CRI003751",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:26-03","UNESC","CRI","8866","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo-Gil","Vanilde Citadini- Zanette",NA,NA,NA,"Marcelo Romagna Pasetto",NA,"2007","07","30","Brasil","Santa Catarina","Criciúma","Horto Florestal UNESC.","-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46",NA,"CRI003619","CRI003619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:26-03","UNESC","CRI","9452","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo-Gil","A. Quinet","2010","09","15","J. Schmitt; E. Caglioni, S. Andrade & C. Cristofolini","1594","2010","03","10","Brasil","Santa Catarina","Florianópolis","Parque Municipal da Lagoa do Peri.","-48.535","-27.724167","48º32'6''W","27º43'27''S","317","317","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003756","CRI003756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:37-03","UNESC","CRI","8476","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo-Gil","Vanilde Citadini-Zanette","2008",NA,NA,"Kleber Hailee Emerich",NA,"2008",NA,NA,"Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S",NA,NA,NA,"CRI003747","CRI003747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1239364","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo",NA,NA,NA,NA,"Pessoal do Horto Florestal","RB103220","1927","06","03","Brazil","Rio de Janeiro",NA,"Mattas do Horto Florestal",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459913' target='other'> <mi>dwc_moreinfo</mi></a>","NY01239364","NY01239364_01","Magnoliophyta","Laurales","paratype","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","539445","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo","J. G. Rohwer",NA,NA,NA,"R. M. Klein","1168","1955","02","10","Brazil","Santa Catarina","Itajaí","Morro da Fazenda, Itajaí","-48.6617","-26.9081",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539445","NY00539445_01","Magnoliophyta","Laurales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","539442","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo","I. de Vattimo",NA,NA,NA,"R. Reitz","2765","1956","02","24","Brazil","Santa Catarina","Palhoça","Piloes, Palhoça","-48.694057","-27.77489",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588583' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539442","NY00539442_01","Magnoliophyta","Laurales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","539444","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo","I. de Vattimo",NA,NA,NA,"R. Reitz","6864","1958","08","01","Brazil","Santa Catarina","Rio do Sul","Serra do Matador, Rio do Sul","-49.6431","-27.2144",NA,NA,"500","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588585' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539444","NY00539444_01","Magnoliophyta","Laurales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"15","2016-09-27 18:08:00-03","NY","NYBG","539449","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris",NA,"J. G. Rohwer",NA,NA,NA,"A. L. Bernardi","19420","1979","01","09","Paraguay","Canindeyú",NA,"In silva procera relicta Salto del Guaira per viam versus Colonia Guadalupe",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539449",NA,"Magnoliophyta","Laurales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1551659","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo","M. Borgo",NA,NA,NA,"S. B. Mikich","s.n.","1997","01","09","Brazil","Paraná","Fênix","Parque Estadual de Vila Rica do Espírito Santo","-51.97","-23.92",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1274774' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551659","NY01551659_01","Magnoliophyta","Laurales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","539439","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo",NA,NA,NA,NA,"H. C. de Lima","3820","1990","06","03","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Estrada p/ Sitio Sophronites","-42.05","-22",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539439","NY00539439_01","Magnoliophyta","Laurales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","539436","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo","J. G. Rohwer",NA,NA,NA,"G. G. Hatschbach","16554","1967","06","17","Brazil","Paraná","Guaraniaçu","Rod. BR 277","-52.8781","-25.1008",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588586' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539436","NY00539436_01","Magnoliophyta","Laurales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","539447","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo","J. B. Baitello",NA,NA,NA,"M. Sugiyama","1033","1992","09","24","Brazil","São Paulo","Sao Miguel Arcanjo","Sao Miguel Arcanjo, Pq. E. C. Botelho. Coletada na trilha do Mirante","-47.99","-23.8703",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588579' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539447","NY00539447_01","Magnoliophyta","Laurales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","539438","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo","I. de Vattimo",NA,NA,NA,"Victorio","s.n.","1930","05","09","Brazil","Rio de Janeiro",NA,"Silvestre",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539438","NY00539438_01","Magnoliophyta","Laurales","paratype","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","539448","PreservedSpecimen","Plantae","Lauraceae","Ocotea","silvestris","Ocotea silvestris","Vattimo","B. Coe-Teixeira",NA,NA,NA,"O. Handro","s.n.",NA,NA,NA,"Brazil","São Paulo","Sao Paulo","Sao Paulo, nativa no Jardim Botânico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539448","NY00539448_01","Magnoliophyta","Laurales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
