"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","fieldNumber","individualCount","class","typeStatus"
"1","2016-10-28 14:08:00-02","NY","NYBG","1017568","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rustia","angustifolia","Rustia angustifolia","A. F. M. Glaziou","18306","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216452' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017568","NY01017568_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:54-03","UFRJ","RFA","26751","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rustia","angustifolia","Rustia angustifolia","A. Quinet","13",NA,"Brasil","Rio de Janeiro",NA,"Folha verde discolor, fruto imaturo verde Habito: Árvore","RFA29288",NA,"K.Schum.","M.Gomes","2001","03","23","2001","02","11","Magé","Estrada do Matão","-43.040599822998","-22.6527996063232","43º7'73''W","22º34'80''S","20531","250","250","auto",NA,NA,NA,NA
"3","2020-06-29 11:32:26-03","UFRJ","RFA","32572","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rustia","angustifolia","Rustia angustifolia","C.C. Chamas","460",NA,"Brasil","Espírito Santo",NA,"Altura 2,5m, folha verde, face interior mais clara, flor branca e perfumada","RFA21285",NA,"K.Schum.",NA,NA,NA,NA,"1997","06","06","Santa Teresa","Estação Biológica de Santa Lúcia. Trilha Bonita, altitude aproximada 680m","-40.6002998352051","-19.9356002807617",NA,NA,"23813","680","680","auto",NA,NA,NA,NA
"4","2020-11-04 11:18:58-03","ESALQ","ESA","118732","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Rustia","angustifolia","Rustia angustifolia","Chamas, C.C.","460.0",NA,"Brasil","Espírito Santo",NA,NA,"ESA118732","ESA118732",NA,"Gomes, M.","2006",NA,NA,"1997","06","01","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617","-40,530,278","-19,971,389","23813",NA,NA,"auto",NA,NA,NA,NA
"5","2020-11-04 11:18:58-03","ESALQ","ESA","71625","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Rustia","angustifolia","Rustia angustifolia","Moraes, P.L.R.","2460.0",NA,"Brasil","Rio de Janeiro",NA,NA,"ESA071625","ESA071625","K. Schum.","Delprete, P.","2007","01","01","2001","06","12","Magé",NA,"-43.040599822998","-22.6527996063232",NA,NA,"20531",NA,NA,"auto",NA,NA,NA,NA
"6","2020-06-29 09:32:02-03","UFRRJ","RBR","46182","S","Plantae",NA,NA,"Rubiaceae","Rustia","angustifolia","Rustia angustifolia","H.C. Lima; P.F.F.P. Rodrigues, A.Q. Lobão, F.F. Negreiros, L.B. Nascimento, A.F.N. Brand, M. Iguatemy, R.P.N. Albuquerque, B.F. Borja","8709",NA,"Brasil","Rio de Janeiro",NA,NA,"RBR00046182",NA,"K.Schum.","M. Gomes","2018","08",NA,"2018","08","07","Nova Iguaçu","Tinguá, Boa Esperança, ORBEL II, Módulo PPBio Mata Atlântica, Parcela 1. Floresta de encosta. Tinguá, Boa Esperança, ORBEL II, Módulo PPBio Mata Atlântica, Parcela 1. Floresta de encosta. Reserva Biológica do Tinguá","-43.3975","-22.568056","43º23'51''W","22º34'5''S",NA,"266","266",NA,NA,NA,NA,NA
"7","2020-06-29 09:32:02-03","UFRRJ","RBR","8408","S","Plantae",NA,NA,"Rubiaceae","Rustia","angustifolia","Rustia angustifolia","M.M.S. Conde","469",NA,"Brasil","Rio de Janeiro",NA,NA,"RBR00008408",NA,"K.Schum.","M. Gomes","2006","10","09","1996","05","14","Nova Iguaçu","Reserva Biológica do Tinguá, Estrada Barrelão-Reunião. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,"25743",NA,NA,"auto",NA,NA,NA,NA
"8","2020-06-29 09:32:02-03","UFRRJ","RBR","46183","S","Plantae",NA,NA,"Rubiaceae","Rustia","angustifolia","Rustia angustifolia","H.C. Lima; P.F.F.P. Rodrigues, A.Q. Lobão, F.F. Negreiros, L.B. Nascimento, A.F.N. Brand, M. Iguatemy, R.P.N. Albuquerque, B.F. Borja","8714",NA,"Brasil","Rio de Janeiro",NA,NA,"RBR00046183",NA,"K.Schum.","M. Gomes","2018","08",NA,"2018","08","07","Nova Iguaçu","Tinguá, Boa Esperança, ORBEL II, Módulo PPBio Mata Atlântica, Parcela 1. Floresta de encosta. Tinguá, Boa Esperança, ORBEL II, Módulo PPBio Mata Atlântica, Parcela 1. Floresta de encosta. Reserva Biológica do Tinguá","-43.3975","-22.568056","43º23'51''W","22º34'5''S",NA,"266","266",NA,NA,NA,NA,NA
"9","2020-06-29 09:32:02-03","UFRRJ","RBR","39075","S","Plantae",NA,NA,"Rubiaceae","Rustia","angustifolia","Rustia angustifolia","B.L. Tiellet","16",NA,"Brasil","Rio de Janeiro",NA,NA,"RBR00039075","RBR00039075","K.Schum.","T.A. Amorim, B.L. Tiellet","2016","10",NA,"2016","09","29","Nova Iguaçu","REBIO do Tinguá, Parcela 1 PPBIO, Segmento 200-210, ORBEL 2 Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,"25743",NA,NA,"auto",NA,NA,NA,NA
"10","2019-11-13 10:12:08-03","PUC-RIO","FCAB","8281","PreservedSpecimen","Plantae",NA,"Angiospermae","Rubiaceae","Rustia","angustifolia","Rustia angustifolia","H.C. de Lima; P.F.F.P. Rodrigues; A.Q. Lobão; F.F. Negreiros; L.B. do Nasciment","8714",NA,"Brasil","Rio de Janeiro",NA,"Módulo PPBIO - Parc. I, ind 637.; Árvore com 5 m alt. DAP 10,5 cm. Inflorescência pêndula; flores vermelhas e frutos verde-avermelhados. Ocasional no sub-bosque.; Floresta de encosta.","FCAB008281",NA,"K.Schum.","M. Gomes","2018","08",NA,"2018","08","07","Nova Iguaçu","Reserva Biológica do Tinguá, Tinguá, Boa Esperança, ORBEL II, Módulo PPBio Mata Atlântica, Parcela 1.","-43.3975","-22.568056","-43.3975","-22.568056",NA,"266","266",NA,NA,NA,NA,NA
"11","2016-03-09 17:11:55-03","MNHN","RECOLNAT_MNHN_P","P01036770","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rustia","angustifolia","Rustia angustifolia","Indriunas, A.|Almeida-Scabbia, R.J.|Oliveira, T.R.|Galvão, T.P.S.",NA,NA,"Brasil","São Paulo","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01036770' target='other'> <mi>dwc_moreinfo</mi></a>","P01036770","P01036770_01","K.Schum.",NA,NA,NA,NA,"2008","5","20","Santo André","Subprefeitura de Paranapiacaba e Parque Andreense, Estrada de Paranapiacaba - Beira de Estrada","-46.305","-23.77472",NA,NA,NA,NA,NA,NA,"41",NA,NA,NA
"12","2017-08-17 11:43:00-03","MO","MOBOT","3238724","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rustia","angustifolia","Rustia angustifolia","Ludwig Riedel|B. Luschnath","Riedel 1062","South America","Brazil",NA,NA,NA,NA,NA,"K. Schum.","S. Will (WU)",NA,NA,NA,"1831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
