"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00957802","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","paucifolia","scoparia","Mimosa paucifolia scoparia","Barneby","L. S. B. Jordão","H. S. Irwin","23843","1969","02","24","South America","Brazil","Minas Gerais","Montes Claros","Serra do Espinhaço, Serra dos Três Irmãos, ca. 20 km west of Montes Claros, road to Agua Boa.","-43.6895","-16.78715","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1017893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957802","NY00957802_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2964","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","paucifolia","scoparia","Mimosa paucifolia scoparia","Barneby",NA,"H. S. Irwin","27143","1970","03","07","South America","Brazil","Minas Gerais",NA,"Serra do Cabral. Ca 7 km W of Joaquim Felício.",NA,NA,"1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698457' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002964","NY00002964_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00934325","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","paucifolia","scoparia","Mimosa paucifolia scoparia","Barneby","R. C. Barneby","A. M. Giulietti","CFCR6392","1984","11","23","South America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral. Bocaina","-44.1719","-17.7575",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934325","NY00934325_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00934324","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","paucifolia","scoparia","Mimosa paucifolia scoparia","Barneby","R. C. Barneby","G. G. Hatschbach","64186","1996","01","16","South America","Brazil","Minas Gerais","Várzea da Palma","Estrada Várzea de Palma a Serra do Cabral, subida da serra","-44.7306","-17.5983",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934324","NY00934324_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00957803","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","paucifolia","scoparia","Mimosa paucifolia scoparia","Barneby","L. S. B. Jordão","H. S. Irwin","23843","1969","02","24","South America","Brazil","Minas Gerais","Montes Claros","Serra do Espinhaço, Serra dos Três Irmãos, ca. 20 km west of Montes Claros, road to Agua Boa.","-43.6895","-16.78715","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1017897' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957803","NY00957803_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00934323","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","paucifolia","scoparia","Mimosa paucifolia scoparia","Barneby","R. C. Barneby","H. S. Irwin","27143","1970","03","07","South America","Brazil","Minas Gerais","Joaquim Felício","Summit of Serra do Cabral, ca. 7 km W. of Joaquim Felício","-44.1708333","-17.7588","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933940' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934323","NY00934323_01 NY00934323_02","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00934432","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","paucifolia","scoparia","Mimosa paucifolia scoparia","Barneby","L. S. B. Jordão","G. G. Hatschbach","64885","1996","04","16","South America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral, Agroindustrial Serra do Cabral.","-44.1719","-17.7575","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934432","NY00934432_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:40:07-03","EAO","IAN","19673","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Mimosa","paucifolia",NA,"Mimosa paucifolia","Benth.",NA,"Lundell, CL","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN019673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:40:07-03","EAO","IAN","25362","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Mimosa","paucifolia",NA,"Mimosa paucifolia","Benth.",NA,"Pohl, RW","424",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN025362","IAN025362_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:40:07-03","EAO","IAN","93139","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Mimosa","paucifolia",NA,"Mimosa paucifolia","Benth.",NA,"sc","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN093139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
