"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00960493","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","choriophylla","rossicorum","Chamaecrista choriophylla rossicorum","H.S.Irwin & Barneby","H. S. Irwin","21881a","1969","01","13","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 27 km S.W. of Diamantina on road to Gouveia","-43.69275","-18.4205","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1046280' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960493","NY00960493_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","515002","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","choriophylla","rossicorum","Chamaecrista choriophylla rossicorum","H.S.Irwin & Barneby","E. Pereira","9937",NA,NA,NA,"South America","Brazil","Bahia",NA,"-41.1558","-11.5503",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290868' target='other'> <mi>dwc_moreinfo</mi></a>","NY00515002",NA,"Morro do Chapéu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00959932","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","choriophylla","latifolia","Chamaecrista choriophylla latifolia","(Benth.) H.S.Irwin & Barneby","B. Maguire","49056","1960","08","07","South America","Brazil","Minas Gerais","Summit of Serra do Cipó, km 112-128 on road from Hotel Chapeu do Sol.",NA,NA,"1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959932","NY00959932_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00959937","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","choriophylla","latifolia","Chamaecrista choriophylla latifolia","(Benth.) H.S.Irwin & Barneby","H. S. Irwin","2447","1959","01","13","South America","Brazil","Minas Gerais","Serra do Cipó, 60 km. W of Morro do Pilar. on road to S. José do Almeido",NA,NA,"1219","1219","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032912' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959937","NY00959937_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00960540","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","choriophylla","rossicorum","Chamaecrista choriophylla rossicorum","H.S.Irwin & Barneby","S. Splett","994","1995","03","21","South America","Brazil","Minas Gerais","Estrada Diamantina-Mendanha, 5,5 km ao norte de Diamantina","-44.6","-18.18","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1046290' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960540","NY00960540_01",NA,"R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00959934","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","choriophylla","latifolia","Chamaecrista choriophylla latifolia","(Benth.) H.S.Irwin & Barneby","A. P. Duarte","6501","1962","03","15","South America","Brazil","Minas Gerais","Serra do Cipó- km 137",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959934","NY00959934_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00959938","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","choriophylla","latifolia","Chamaecrista choriophylla latifolia","(Benth.) H.S.Irwin & Barneby","G. W. Fernandes","6","1994","09","17","South America","Brazil","Minas Gerais","Serra do Cipó","-43.539757","-19.388386",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032915' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959938","NY00959938_01",NA,"R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00960562","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","choriophylla","choriophylla","Chamaecrista choriophylla choriophylla","(Vogel) H.S.Irwin & Barneby","S. Splett","660","1994","09","24","South America","Brazil","Minas Gerais","Estrada Guindá- Sao Joao da Chapada, 15,5 km depois do asfalto","-43.83","-18.17","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048640' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960562","NY00960562_01","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00960517","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","choriophylla","rossicorum","Chamaecrista choriophylla rossicorum","H.S.Irwin & Barneby","G. G. Hatschbach","27919","1971","11","14","South America","Brazil","Minas Gerais","Rib. das Pedras","-43.6003","-18.2494","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1046320' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960517","NY00960517_01","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","515003","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","choriophylla","rossicorum","Chamaecrista choriophylla rossicorum","H.S.Irwin & Barneby","L. Riedel","1207",NA,NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290869' target='other'> <mi>dwc_moreinfo</mi></a>","NY00515003","NY00515003_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00960561","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","choriophylla","choriophylla","Chamaecrista choriophylla choriophylla","(Vogel) H.S.Irwin & Barneby","W. R. Anderson","11539","1975","02","23","South America","Brazil","Minas Gerais","Serra do Espinhaço, 40-50 km SW of Diamantina on BR-259","-43.75","-18.52","1130","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960561","NY00960561_01","Gouveia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00960586","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","choriophylla","choriophylla","Chamaecrista choriophylla choriophylla","(Vogel) H.S.Irwin & Barneby","G. G. Hatschbach","49591","1985","09","12","South America","Brazil","Minas Gerais","Serra do Espinhaço","-43.7406","-18.4544",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960586","NY00960586_01","Gouveia","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00960610","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","choriophylla","choriophylla","Chamaecrista choriophylla choriophylla","(Vogel) H.S.Irwin & Barneby","G. G. Hatschbach","26994","1971","09","05","South America","Brazil","Minas Gerais","Rod. BR 259","-43.7406","-18.4544","1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960610","NY00960610_01","Gouveia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00959931","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","choriophylla","latifolia","Chamaecrista choriophylla latifolia","(Benth.) H.S.Irwin & Barneby","W. R. Anderson","35811","1972","02","11","South America","Brazil","Minas Gerais","Serra do Espinhaço, eastern slope of Pico do Itambé, first large sandstone outcrop below the summit","-43.3919444","-18.43185","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959931","NY00959931_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00959935","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","choriophylla","latifolia","Chamaecrista choriophylla latifolia","(Benth.) H.S.Irwin & Barneby","H. S. Irwin","20500","1968","02","19","South America","Brazil","Minas Gerais","Serra do Cipó, km. 135 (ca. 150km N. of Belo Horizonte).","-43.38","-18.82","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032910' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959935","NY00959935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
