"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:29-03","UNESC","CRI","234","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","celtidifolius","Croton celtidifolius","Baill.","V. C. Zanette","V. Citadini-Zanette; V. P. Boff","642","1983","11","10","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI002352","CRI002352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:29-03","UNESC","CRI","135","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","celtidifolius","Croton celtidifolius","Baill.","V. C. Zanette","V. Citadini-Zanette; A. Bortot","573","1982","03","10","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI002365","CRI002365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:29-03","UNESC","CRI","7924","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","celtidifolius","Croton celtidifolius","Baill.","Vanilde Citadini- Zanette","Birgit Harter Marques; Jaqueline Bonazza Rodrigues",NA,"2007","11","23","Brasil","Santa Catarina","Siderópolis","Sítio Sete Lombas.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI002360","CRI002360","2007","12","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:14-03","UNESC","CRI","9212","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","celtidifolius","Croton celtidifolius","Baill.",NA,"Birgit Harter Marques",NA,"2007","06","20","Brasil","Santa Catarina","Siderópolis","Sítio Sete Lombas.","-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,"CRI002358","CRI002358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:14-03","UNESC","CRI","9217","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","celtidifolius","Croton celtidifolius","Baill.",NA,"Birgit Harter Marques",NA,"2006","11","16","Brasil","Santa Catarina","Siderópolis","Mina do Trevo.","-49.485556","-28.590278","49º29'8''W","28º35'25''S",NA,NA,"CRI000850","CRI000850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:29-03","UNESC","CRI","9203","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","celtidifolius","Croton celtidifolius","Baill.","Vanilde Citadini- Zanette","Birgit Harter Marques",NA,"2007","04","05","Brasil","Santa Catarina","Siderópolis","Sítio Sete Lombas.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI002356","CRI002356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:29-03","UNESC","CRI","287","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","celtidifolius","Croton celtidifolius","Baill.","Vanilde Citadini- Zanette","V. Citadini-Zanette; S. Caznok",NA,"1982","01","14","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI002367","CRI002367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:29-03","UNESC","CRI","453","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","celtidifolius","Croton celtidifolius","Baill.","Robson dos Santos","R. dos Santos; E. Nosse & N. Zim","281","1995","06","02","Brasil","Santa Catarina","Siderópolis","Parque Ecológico.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI002362","CRI002362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:14-03","UNESC","CRI","4309","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","celtidifolius","Croton celtidifolius","Baill.","Marcos Sobral","Valdemar Boff","281","1995","11","20","Brasil","Santa Catarina","Siderópolis","Jordão.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","3","3","CRI002351","CRI002351","1997","04","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:14-03","UNESC","CRI","14665","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","celtidifolius","Croton celtidifolius","Baill.","Vanilde Citadini-Zanette","Edilane, Marcelo, Jean e Vanilde Citadini-Zanette",NA,"2008","09","20","Brasil","Santa Catarina","Siderópolis","Lote 42","-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,"CRI013972","CRI013972","2008","09","20","Com botoes florais; casca com látex avermelhado. Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
