"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","county","class","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","infraspecificEpithet","individualCount","typeStatus"
"1","2016-09-29 23:37:00-03","NY","NYBG","01401031","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","lanceolata","Alternanthera lanceolata","M. Montesdeoca; A. Ortiz","C. F. Limbach","123","1990","02","17","South America","Ecuador","Morona-Santiago","Basin of Rio Morona, Rio Mangosiza. Nayumbime, 45 km SE of Sucua (by air)","-77.63","-2.72","300","300","sheet","Medicinal plants of Ecuador; Medicinal plants of the Shuar <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1149542' target='other'> <mi>dwc_moreinfo</mi></a>","NY01401031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","309599","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","lanceolata","Alternanthera lanceolata","M. H. Nee","M. H. Nee","49654","1998","06","06","South America","Bolivia","Santa Cruz","5.5 km by road N of Campamento La Yunga of Parque Nacional Amboró, 8.5 km (by air) NE of Mairana.","-63.9","-18.07","2270","2270","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309599","(Benth.) Schinz","Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","309605","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","lanceolata","Alternanthera lanceolata","M. H. Nee","M. H. Nee","49688","1998","06","07","South America","Bolivia","Santa Cruz","8 km NE of crossing of Río Paredones (N of Achiras Camping resort), along trail to Barrientos.","-63.7917","-18.12","1900","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309605","(Benth.) Schinz","Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 14:38:00-03","NY","NYBG","85123","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","lanceolata","Alternanthera lanceolata","J. A. Kallunki","K. S. Lowell","356","1985","08","21","South America","Ecuador","Morona-Santiago","Bomboiza","-78.551909","-3.45665","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00085123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 14:38:00-03","NY","NYBG","195109","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","lanceolata","Alternanthera lanceolata",NA,"K. S. Lowell","338","1985","08","19","South America","Ecuador","Morona-Santiago","Bomboiza River between Bomboiza Bridge and Gualaquiza","-78.53","-3.43","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530729' target='other'> <mi>dwc_moreinfo</mi></a>","NY00195109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-12-15 15:02:00-02","NY","NYBG","01132948","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","lanceolata","Alternanthera lanceolata","T. M. Pedersen","B. C. Bennett","4007","1989","08","07","South America","Ecuador","Napo","Jatun Sacha Biological Station","-77.6","-1.07","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530723' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01159111","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","lanceolata","Alternanthera lanceolata","T. M. Pedersen","B. C. Bennett","1971","1986","01","24","South America","Peru","Puno","Slopes on south side of Rio Awi-Awi, north of Ura-ayllu","-69.53","-14.13","3100","3100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136147' target='other'> <mi>dwc_moreinfo</mi></a>","NY01159111","(Benth.) Schinz","Sandia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:54:06-03","NBC","NL-BOTANY","U.1054608","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","lanceolata","Alternanthera lanceolata",NA,"Steinbach RF",NA,"1966","05","07","Southern America","Bolivia",NA,"Valle de Cochabamba, prov. Cercado.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1054608 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1054608","(Benth.) Schinz",NA,"Magnoliopsidae","NL-U1054608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:54:06-03","NBC","NL-BOTANY","U.1054609","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","lanceolata","Alternanthera lanceolata",NA,"Schunke Vigo J",NA,"1977","07","03","Southern America","Peru",NA,"San Martín. Prov.: Lamas; Dtto.: Alonso de Alvarado. Camino, a Roque, 3-4 km de San Juán de Pacaizapa.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1054609 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1054609","(Benth.) Schinz",NA,"Magnoliopsidae","NL-U1054609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:54:06-03","NBC","NL-BOTANY","U.1054610","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","lanceolata","Alternanthera lanceolata",NA,"Cuatrecasas J",NA,"1946","04","13","Southern America","Colombia",NA,"Departamento del Valle. Cordillera Central, vertiente occidental; Hoya del río Bugalagrande: Loma de Barragán, desde La Parrilla a La Machuca.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1054610 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1054610","(Benth.) Schinz",NA,"Magnoliopsidae","NL-U1054610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
