"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"1","2021-04-05 14:26:04-03","UNESC","CRI","12011","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","grandiflora","Esenbeckia grandiflora","Mart.","Korte, A","2010","04","09","Korte, A; Kniess, A","2629","2010","04","09","Brasil","Santa Catarina","Presidente Getúlio","Santa Rita","-49.770556","-27.090278","49º46'14''W","27º5'25''S","516","516","Doação Herbário FURB (24524) Habito: Arvoreta","CRI010157","CRI010157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:04-03","UNESC","CRI","13124","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","grandiflora","Esenbeckia grandiflora","Mart.","Seubert, RC","2014","08","14","Seubert, R.C.; Sampaio, D.K.; Hofschneider, E.; Rezini, J.A. & Gebien, W.","40","2014","08","14","Brasil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí. Faxinal do Bepe - Parque Nacional da Serra do Itajaí.","-49.203056","-27.118611","49º12'11''W","27º7'7''S","701","701","Projeto Restaurar Habitat: Floresta Ombrófila Densa Montana; encosta Habito: arvoreta;","CRI011749","CRI011749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:04-03","UNESC","CRI","1119","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","grandiflora","Esenbeckia grandiflora","Mart.","Vanilde Citadini- Zanette",NA,NA,NA,"Clair Maria Martinello; Aurélio José de Aguiar",NA,"1992","01","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI009517","CRI009517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:04-03","UNESC","CRI","552","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","grandiflora","Esenbeckia grandiflora","Mart.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","903","1990","05","16","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI009514","CRI009514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:08-03","UNESC","CRI","11313","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","grandiflora","Esenbeckia grandiflora","Mart.","M. Verdi","2010","06","08","M. Verdi; N. L. de Souza, G. Klemz e D. H. Klettenberg","4879","2010","06","08","Brasil","Santa Catarina","Paulo Lopes","Espraiado/Parque Estadual da Serra do Tabuleiro.","-48.78","-27.99","48º46'48''W","27º59'24''S","329","329","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arvoreta","CRI009509","CRI009509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:26:04-03","UNESC","CRI","674","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","grandiflora","Esenbeckia grandiflora","Mart.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Alcides da Silveira","1024","1991","04","11","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI009513","CRI009513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:08-03","UNESC","CRI","413","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","grandiflora","Esenbeckia grandiflora","Mart.","V. Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Alberto Avila, Luiz R. M. Baptista e B. E. Irgang","830","1990","03","20","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S",NA,NA,NA,"CRI009511","CRI009511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:26:04-03","UNESC","CRI","14756","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","grandiflora","Esenbeckia grandiflora","Mart.","Vanilde Citadini-Zanette","2000","10","26","Andreia; Elisângela; Rubia & Simone",NA,"2000","10","21","Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S",NA,NA,"Habito: Arbóreo","CRI014081","CRI014081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:34:08-03","UNESC","CRI","4269","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","grandiflora","Esenbeckia grandiflora","Mart.","Vanilde Citadini-Zanette",NA,NA,NA,"Valdemar Boff","335","1995","11","29","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S",NA,NA,NA,"CRI009508","CRI009508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:08-03","UNESC","CRI","1725","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","grandiflora","Esenbeckia grandiflora","Mart.","Daniel B. Falkenberg",NA,NA,NA,"Vanilde Citadini-Zanette; A. J. Aguiar e J.J. Soares","1704","1992","10","21","Brasil","Santa Catarina","Orleans",NA,"-49.288056","-28.358611","49º17'17''W","28º21'31''S",NA,NA,NA,"CRI009686","CRI009686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:26:04-03","UNESC","CRI","14515","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","grandiflora","Esenbeckia grandiflora","Mart.","Verdi, M","2009","10","13","Verdi, M.; Klettenberg, D.H. & Klemz, G.","1257","2009","10","13","Brasil","Santa Catarina","Jacinto Machado","Morro São Cristovão. Morro São Cristovão.","-49.86","-28.89","49º51'36''W","28º53'24''S","380","380","Florística IFFSC 21 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbustiva;","CRI013643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:34:08-03","UNESC","CRI","5109","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","grandiflora","Esenbeckia grandiflora","Mart.","Vanilde Citadini-Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; V. Boff","2262","1996","09","20","Brasil","Santa Catarina","Urussanga",NA,"-49.321111","-28.518333","49º19'16''W","28º31'6''S",NA,NA,NA,"CRI009512","CRI009512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:34:08-03","UNESC","CRI","6554","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","grandiflora","Esenbeckia grandiflora","Mart.","Dolores Bosa","1999","10","17","Dolores Bosa; Magali Romagna, Vanilde Citadini-Zanette",NA,"1999","10","17","Brasil","Santa Catarina","Morro Grande",NA,"-49.721111","-28.801111","49º43'16''W","28º48'4''S",NA,NA,NA,"CRI009610","CRI009610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:26:04-03","UNESC","CRI","15203","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","grandiflora","Esenbeckia grandiflora","Mart.","Aline Votri Guislon","2019","10","11","Aline V. Guislon; Bruna Ghislandi; Lucas Oliveira & Peterseon T. Padilha",NA,"2018","10","11","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves. Área L7. Bairro Morro Estevão.","-49.351389","-28.740833","49º21'5''W","28º44'27''S","85","85","Habito: Arbóreo","CRI014618","CRI014618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:34:08-03","UNESC","CRI","841","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","grandiflora","Esenbeckia grandiflora","Mart.","Vanilde Citadini-Zanette",NA,NA,NA,"Paulo Brack",NA,"1991","10","24","Brasil","Santa Catarina","Maracajá",NA,"-49.453056","-28.847222","49º27'11''W","28º50'50''S",NA,NA,NA,"CRI009515","CRI009515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
