"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","67721","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C.E.Anderson","isotype","A. Macedo","5486","1989","01","27","South America","Brazil","Minas Gerais","Capinópolis","Capinópolis, Fazenda Santa Terezinha, às margens do Rio Paranaiba na divisa dos estados de Goiás e Minas Gerais.","-49.5694","-18.6819","sheet","[Col. Dr. Cassio Macedo & Amaro Macedo] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332211' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067721","NY00067721_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-02-01 14:57:00-02","NY","NYBG","803657","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum",NA,"Isotype","Cássio Macedo","[A. Macedo No.]5486","1989","01","27","South America","Brazil","Minas Gerais",NA,"Fazenda Santa Terezinha, Capinópolis. As margens do Rio Paranaiba divisa de Goiás e Minas Gerais.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=809262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803657","NY00803657_01","W. R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","67722","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C.E.Anderson","isotype","A. Macedo","5486","1989","01","27","South America","Brazil","Minas Gerais","Capinópolis","Capinópolis, Fazenda Santa Terezinha, às margens do Rio Paranaiba na divisa dos estados de Goiás e Minas Gerais.","-49.5694","-18.6819","sheet","[Col. Dr. Cassio Macedo & Amaro Macedo] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067722","NY00067722_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-19 10:24:09-03","CPAP","CPAP","7767","PreserverdSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C.E. Anderson",NA,"Pott, A.","5617","1990","05","03",NA,"Brasil","MS","Corumbá","Fazenda Primavera (Ruivaldo Albaneze), Jacadigo","-57.666667","-19.416667",NA,"Trepadeira. FLOR: amarela. Com formigas (Cephalotis) nas flores. FRUTO: não visto. INTERESSE: Levantamento florístico. FREQUÊNCIA: Ocasional. AMBIENTE: Mata calcária. SUBSTRATO: solo argiloso (vertissolo) calcário. RELEVO: plano.",NA,NA,"A. Francener","2012","07","04","57°40' W","19°25' S","190","190",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:32:55-03","MBM","MBM","216912","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C.E. Anderson","ISOTYPE","Macedo, A.; Macedo, C.; Macedo, C.","5486","1989","01","27","Southern America","Brazil","Minas Gerais","Capinópolis","Fazenda Santa Terezinha, às margens do Rio Paranaiba na divisa dos estados de Goiás e Minas Gerais","-49.5696983337402","-18.6819000244141",NA,"Volúvel em mata em solo fertilíssimo. Folhas dimorfas. Flores amarelas.; Volúvel. Dimorfismo foliar. Folhas com carúnculas na base. Flores amarelas.; Mata em solo fertilíssimo.","MBM216912","MBM216912",NA,NA,NA,NA,NA,NA,NA,NA,"20483","auto",NA,NA,NA,NA,NA
"6","2020-12-21 16:32:55-03","MBM","MBM","28066","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C.E. Anderson","PARATYPE","Macedo, A.","5057","1971","11","22","Southern America","Brazil","Minas Gerais","Ituiutaba","Capinópolis, Fazenda Santa Terezinha","-49.4650001525879","-18.968900680542",NA,"=30046; Volúvel, ramosa. Folhas apresentando dimorfismo. Flores amarelas. Fruto escasso. Muitas folhas e poucas flores.","MBM028066","MBM028066","Anderson, C.","1993",NA,NA,NA,NA,NA,NA,"50022","auto",NA,NA,NA,NA,NA
"7","2020-12-21 16:32:55-03","MBM","MBM","30046","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C.E. Anderson",NA,"Macedo, A.","5057",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Ituiutaba","Fazenda Santa Terezinha","-49.4650001525879","-18.968900680542",NA,"=28066","MBM030046","MBM030046",NA,NA,NA,NA,NA,NA,NA,NA,"50022","auto",NA,NA,NA,NA,NA
"8","2015-11-07 00:15:21-02","MNHN","RECOLNAT_MNHN_P","P02428880","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C.E.Anderson","isotype","Macedo, C.|Macedo, A.",NA,"1989","1","27",NA,"Brésil",NA,NA,"Minas Gerais: Fazenda Santa Terezinha, Capinopolis",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02428880' target='other'> <mi>dwc_moreinfo</mi></a>","P02428880","P02428880_01","Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5486",NA,NA,NA,NA
"9","2015-08-10 05:49:00-03","MO","MOBOT","1537561","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C.E. Anderson","Isotype","Cássio Macedo|Amaro Macedo","Macedo 5486","1989","1","27","South America","Brazil","Minas Gerais",NA,"Capinópolis, Fazenda Santa Terezinha, As margens do Rio Paranaiba e M.G.",NA,NA,NA,NA,NA,NA,"W.R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","3146215","PreservedSpecimen","Plantae",NA,"Polygalales","Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C.E. Anderson","Isotype","C. Macedo & A. Macedo","5486","1989","1","27","South America - Neotropics","Brazil","Minas Gerais",NA,"Margins do Rio Paranaibo divisa de Goias e Minas Gerais.",NA,NA,NA,NA,"US00432512","US00432512_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
