"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","typeStatus","infraspecificEpithet","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","1822","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Heteropsis","cf. flexuosa","Heteropsis cf. flexuosa","(Kunth) G.S.Bunting","Juliana Ordones","2010","04","20","Fernando Campos;","2010","03","07","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG435","-43.6697006225586","-19.8799991607666","43°39.484'","19°48.907'","22051","1246","1246","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01073854","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Heteropsis","flexuosa","Heteropsis flexuosa","(Kunth) G.S.Bunting","M. de L. da C. Soares",NA,NA,NA,"M. Silva","1969","08","17","Brazil","Pará",NA,"Santarém, km 35 da estrada do Palhão, Acampamento do Igarapé Curupira",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1490527' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"2291","South America","sheet","NY01073854","NY01073854_01 NY01073854_02",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3780736","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Heteropsis","flexuosa","Heteropsis flexuosa","(Kunth) G.S.Bunting",NA,NA,NA,NA,"J. Salick","1985","04","06","Peru","Pasco","Oxapampa","Central Selva, Palcazu Valley: Iscozacin; Bosque Reserva, above PEPP Project Camp","-75.2","-10.15",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4072056' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"7256","South America","sheet","NY03780736","NY03780736_01",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3780735","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Heteropsis","flexuosa","Heteropsis flexuosa","(Kunth) G.S.Bunting",NA,NA,NA,NA,"J. Salick","1984","05","29","Peru","Pasco","Oxapampa","Central Selva, Palcazu Valley: Iscozacin; Bosque Reserva, above PEPP Project Camp","-75.2","-10.15",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4072055' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"7064","South America","sheet","NY03780735","NY03780735_01",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3780734","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Heteropsis","flexuosa","Heteropsis flexuosa","(Kunth) G.S.Bunting",NA,NA,NA,NA,"J. Salick","1984","07","02","Peru","Pasco","Oxapampa","Central Selva, Palcazu Valley: Iscozacin","-75.2","-10.15",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4072054' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"7176a","South America","sheet","NY03780734","NY03780734_01",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3780705","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Heteropsis","flexuosa","Heteropsis flexuosa","(Kunth) G.S.Bunting",NA,NA,NA,NA,"M. J. Jansen-Jacobs","1991","02","05","Guyana","Upper Takutu-Upper Essequibo",NA,"Rupununi. Kuyuwini Landing, Kuyuwini River","-59.25","2.17",NA,NA,NA,"200",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4072025' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"2381","South America","sheet","NY03780705","NY03780705_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01073837","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Heteropsis","flexuosa","Heteropsis flexuosa","(Kunth) G.S.Bunting","L. Pereira",NA,NA,NA,"F. E. Miranda","1983","08","09","Brazil","Pará","Tucuruí","Desmatamento II, variante à direita da PA-149.","-49.6735668","-3.764569",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488923' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"487","South America","sheet","NY01073837","NY01073837_01 NY01073837_02",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","873061","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Heteropsis","flexuosa","Heteropsis flexuosa","(Kunth) G.S.Bunting","T. B. Croat",NA,NA,NA,"W. L. Balée","1987","06","29","Brazil","Maranhão","Monção","P.I. Guajá, Rio Turiaçu. Guajá Indians.","-46.08","-3.12",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951480' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"3504","South America","sheet","NY00873061","NY00873061_01",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3780748","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Heteropsis","flexuosa","Heteropsis flexuosa","(Kunth) G.S.Bunting",NA,NA,NA,NA,"G. S. Bunting","1968","02","22","Venezuela","Bolívar",NA,"Carretera El Dorado- Lal Gran Sabana, alrededores del km 87",NA,NA,NA,NA,NA,"200","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4072068' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"3098B","South America","sheet","NY03780748","NY03780748_01",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","495378","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Heteropsis","flexuosa","Heteropsis flexuosa","(Kunth) G.S.Bunting",NA,NA,NA,NA,"W. W. Thomas","1993","10","23","Brazil","Bahia","Prado","Reserva Florestal da Brasil Holanda de Industrias S.A.; 16 km from entrance to reserve.","-39.33","-17.18",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46817' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"10156","South America","sheet","NY00495378","NY00495378_01",NA,NA,NA,NA,NA,NA,NA
