"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","continentOcean","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","individualCount","fieldNumber","infraspecificEpithet","typeStatus","relatedCatalogItem"
"1","2021-04-05 14:25:52-03","UNESC","CRI","13799","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir.","Christian Silva","2018","04","15","Alexandre Medeiros","1070","2018","04","15","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro APA Costa Brava","-48.585","-27.023333","48º35'6''W","27º1'24''S","Espiguetas vermelhas Habitat: Terrestre Habito: Herbácea","CRI012410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1148000","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir.","G. Davidse",NA,NA,NA,"M. J. G. Hopkins","575","1986","06","07","Brazil","Roraima","Alto Alegre","Ilha de Maracá. SEMA Estação.-Ilha de Maracá. SEMA Estação. Open savanna close to Estação. Partly dry, and partly damp marsh.","-61.333333","3.366667",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401557' target='other'> <mi>dwc_moreinfo</mi></a>","NY01148000","Magnoliophyta","Poales","South America","sheet","NY01148000_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1148003","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir.","G. Davidse",NA,NA,NA,"M. J. G. Hopkins","863","1986","06","19","Brazil","Roraima","Alto Alegre","Ilha de Maracá. SEMA Estação.-ILha de Maracá. SEMA Estação. Damp open marsh in front of Estação.","-61.333333","3.366667",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401558' target='other'> <mi>dwc_moreinfo</mi></a>","NY01148003","Magnoliophyta","Poales","South America","sheet","NY01148003_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","662932","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir.","G. Davidse",NA,NA,NA,"M. H. Nee","40237","1990","12","08","Bolivia","Santa Cruz","Ichilo","2.5 km. SW of Buena Vista on road to Rio Surutu","-63.675","-17.47",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662932","Magnoliophyta","Poales","South America","sheet",NA,"330","330",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1148001","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir.",NA,NA,NA,NA,"E. A. Goeldi","1",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400881' target='other'> <mi>dwc_moreinfo</mi></a>","NY01148001","Magnoliophyta","Poales","South America","sheet","NY01148001_01 NY01148001_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","662930","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir.","S. A. Mori",NA,NA,NA,"S. A. Mori","11889","1979","05","31","Brazil","Bahia","Ilhéus","CEPEC, km 22 da Rodovia Ilhéus/Itabuna. Quadra E'","-39.2273659","-14.771874",NA,NA,"Testemunha para um estudo de plantas invasoras <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662930","Magnoliophyta","Poales","South America","sheet","NY00662930_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1148002","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir.",NA,NA,NA,NA,"J. F. Lima","785",NA,NA,NA,"Brazil","Roraima",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401006' target='other'> <mi>dwc_moreinfo</mi></a>","NY01148002","Magnoliophyta","Poales","South America","sheet","NY01148002_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","662928","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir.",NA,NA,NA,NA,"Martii Herbar. Florae Brasil.","537","1839",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"p. 292 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662928","Magnoliophyta","Poales","South America","sheet","NY00662928_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1147999","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir.",NA,NA,NA,NA,"P. B. Cavalcante","2602","1970","03","09","Brazil","Pará",NA,"Parque Indigena do Tumucumaque, Rio Parú de Oeste, Missao Tiriyo. Arredores da Missao.","-55.75","2.33",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400901' target='other'> <mi>dwc_moreinfo</mi></a>","NY01147999","Magnoliophyta","Poales","South America","sheet","NY01147999_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","662931","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir.",NA,NA,NA,NA,"M. A. Chase","8148","1925","01","03","Brazil","Bahia",NA,"Matta de Sao Joao","-38.299147","-12.530499",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662931","Magnoliophyta","Poales","South America","sheet","NY00662931_01","22","22",NA,NA,NA,NA,NA,NA,NA,NA
