"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","class","typeStatus","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-04-05 14:25:12-03","UNESC","CRI","10743","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","petrophila","Escallonia petrophila","Rambo & Sleumer","Robson dos Santos; Alecsandro S. Klein & Vanilde C. Zanete","2001","11","19","Brasil","Santa Catarina","Praia Grande","Aparados da Serra.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI002251","CRI002251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:12-03","UNESC","CRI","6159","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","petrophila","Escallonia petrophila","Rambo & Sleumer","Vanilde C. Zanette","1996","11","30","Brasil","Santa Catarina","Lauro Muller","Coletada na Serra do Rio do Rastro.","-49.396944","-28.393333","49º23'49''W","28º23'36''S","CRI003836","CRI003836","Daniel B. Falkenberg","1997","09","12","2494","220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:09-03","E","E","82977","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","petrophila","Escallonia petrophila",NA,"Hatschbach, G. & Ribas, O.S.","1994","11","23","BR",NA,NA,NA,NA,NA,NA,NA,"E00082977",NA,NA,NA,NA,NA,"61252",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:91390","<a href=http://data.rbge.org.uk/herb/E00082977 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","498464","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","petrophila","Escallonia petrophila","B.Rambo & Sleumer","G. G. Hatschbach","1994","11","23","Brazil","Santa Catarina","Praia Grande","Rod. SC-450, Serra do Faxinal","-49.9503","-29.1969",NA,NA,"NY00498464","NY00498464_01","G. G. Hatschbach",NA,NA,NA,"61252","800","800","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346093' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Escalloniales",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:13:55-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","petrophila","Escallonia petrophila","Rambo & Sleumer","Barbosa, E; Cunha, EM","2004","12","14","Brasil","Santa Catarina","Uribici","Morro da Igreja",NA,NA,NA,NA,NA,NA,"Hatschbach, G","2005",NA,NA,"1009",NA,NA,"Southern America",NA,NA,"2 m. Flor vermelha.","Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:05:27-03","NBC","NL-BOTANY","L 0035034","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","petrophila","Escallonia petrophila","Rambo & Sleumer","Rambo B","1950","12","18","Brazil","Sao Francisco",NA,"Brasiliae, Taimbesinho prope Sao Francisco de Paula",NA,NA,NA,NA,"NL-L0035034","NL-L0035034","Zapata F",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"In rupestribus ad barathrum<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200035034 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Escalloniales","Magnoliopsidae","holotype","9233",NA,NA,NA,NA
"7","2020-02-08 09:05:27-03","NBC","NL-BOTANY","L.1870311","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","petrophila","Escallonia petrophila","Rambo & Sleumer","Rambo B","1951","02","21","Brazil",NA,NA,"RGS, Taimbesinho p. São Francisco de Paula, Ad barathrum in rupestribus.",NA,NA,NA,NA,"NL-L1870311","NL-L1870311",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1870311 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Escalloniales","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:05:27-03","NBC","NL-BOTANY","L.1870312","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","petrophila","Escallonia petrophila","Rambo & Sleumer","Ule EHG","1891","01","01","Brazil",NA,NA,"Sta. Catarina, Strauch am Rande der Serra Geral.",NA,NA,NA,NA,"NL-L1870312","NL-L1870312",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1870312 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Escalloniales","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:05:27-03","NBC","NL-BOTANY","WAG.1930352","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","petrophila","Escallonia petrophila","Rambo & Sleumer","Hatschbach GG; Ribas OS","1994","11","23","Brazil",NA,NA,"Rod. SC-450, Serra do Faxinal (mun. Praia Grande) Santa Catarina.",NA,NA,NA,NA,"NL-WAG1930352","NL-WAG1930352",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1930352 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Escalloniales","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"10","2016-02-02 14:39:09-02","BGBM","B","B 10 0248013","S","Plantae","Saxifragaceae","Escallonia","petrophila","Escallonia petrophila","Rambo & Sleumer","B. Rambo","1950","12","18","Brazil",NA,NA,"Brazil: Rio Grande do Sul: Taimbesinho prope S. Francisco de Paula.",NA,NA,NA,NA,"B100248013","B100248013","H. Sleumer",NA,NA,NA,"49389",NA,NA,"Middle and South America",NA,NA,"Habitat: in rupestribus ad barathrum. B. Rambo S. J. - Colégio Anchieta, Pôrto Alegre <a href=http://herbarium.bgbm.org/object/B100248013 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,"isotype",NA,NA,NA,NA,NA
