"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","typeStatus","class","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","884752","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Danthonia","cirrata","Danthonia cirrata","Hack. & Arechav.","J. R. Swallen","7379","1945","11","15","South America","Brazil","Rio Grande do Sul","Santa Victoria do Palmar","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965985' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884752","NY00884752_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","884750","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Danthonia","cirrata","Danthonia cirrata","Hack. & Arechav.","J. R. Swallen","7521","1945","11","29","South America","Brazil","Rio Grande do Sul","Fazenda Experimental de crião Bagé","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884750","NY00884750_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","884751","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Danthonia","cirrata","Danthonia cirrata","Hack. & Arechav.","J. R. Swallen","7210","1945","10","27","South America","Brazil","Rio Grande do Sul","Instituto Agronomico do Sul.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965983' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884751","NY00884751_01","Pelotas","-52.3422","-31.7719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","380515","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Danthonia","tandilensis","Danthonia tandilensis","Kuntze","C. E. O. Kuntze","s.n.","1892","11",NA,"South America","Argentina",NA,"Tandil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00380515","NY00380515_01",NA,NA,NA,"type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","380516","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Danthonia","tandilensis","Danthonia tandilensis","Kuntze","C. E. O. Kuntze","s.n.","1892","11",NA,"South America","Argentina",NA,"Tandil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00380516","NY00380516_01",NA,NA,NA,"type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:16:56-03","NBC","NL-BOTANY","L.1238440","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Danthonia","cirrata","Danthonia cirrata","Hack. & Arechav.","Herzog T",NA,NA,NA,NA,"Southern America","Bolivia",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1238440 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1238440","NL-L1238440",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:16:56-03","NBC","NL-BOTANY","L.1238441","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Danthonia","cirrata","Danthonia cirrata","Hack. & Arechav.","Unknown",NA,"1911","03","01","Southern America","Uruguay",NA,"Montevideo, ARECHAVALETA.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1238441 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1238441","NL-L1238441",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:16:56-03","NBC","NL-BOTANY","L.1238442","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Danthonia","cirrata","Danthonia cirrata","Hack. & Arechav.","Herzog T",NA,NA,NA,NA,"Southern America","Bolivia",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1238442 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1238442","NL-L1238442",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:16:56-03","NBC","NL-BOTANY","L.1238445","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Danthonia","cirrata","Danthonia cirrata","Hack. & Arechav.","Herter",NA,"1926","11","01","Southern America","Uruguay",NA,"Independencia.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1238445 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1238445","NL-L1238445",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:16:56-03","NBC","NL-BOTANY","L.1238447","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Danthonia","cirrata","Danthonia cirrata","Hack. & Arechav.","Herb Arechavaleta J",NA,"1874","11","01","Southern America","Uruguay",NA,"Montevideo.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1238447 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1238447","NL-L1238447",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
