"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","typeStatus","individualCount","fieldNumber","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01459833","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","neolanceolata","Eugenia neolanceolata","Sobral","C. E. B. Proença","C. A. Cid Ferreira","5002","1984","07","03","South America","Brazil","Rondônia","Jaru","BR 364, estrada Cuiabá-Porto Velho, Km 428, linha 621, estrada da Pedra Branca, Km 40. Mata de terra firme, solo argiloso.","-62.4533057","-10.4635258","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1335856' target='other'> <mi>dwc_moreinfo</mi></a>","NY01459833","NY01459833_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","558061","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","neolanceolata","Eugenia neolanceolata","Sobral","M. Sobral","P. E. Gibbs","3481","1976","11","09","South America","Brazil","São Paulo","Ubatuba","Ao redor do Hotel das Flores","-45.0697","-23.4303","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479636' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558061","NY00558061_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01806183","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","neolanceolata","Eugenia neolanceolata","Sobral","C. E. B. Proença","A. M. V. de Carvalho","4496","1994","04","06","South America","Brazil","Bahia","Porto Seguro","Reserva da Brasil Holanda de Ind. S/A. Entrada no km 22 da Rod. Eunapólis/P. Seguro. Ca. 9.5 km na entrada","-39.3253","-16.4625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2140244' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806183","NY01806183_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","557886","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","neolanceolata","Eugenia neolanceolata","Sobral","M. Sobral","P. E. Gibbs","3481","1976","11","09","South America","Brazil","São Paulo","Ubatuba","Ubatuba, ao redor do Hotel das Flores","-45.0697","-23.4303","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557886","NY00557886_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:23-03","UFRJ","RFA","25510","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","lanceolata","Eugenia lanceolata","O.Berg",NA,"F. M. de B. Pereira","28/53","2000","11","18",NA,"Brasil","Minas Gerais","Itamonte","Bocaina funda.","-44.6975","-22.263611",NA,"Arvore, 7m de altura, 9cm de DAP, folha verde, caule cinza, raís branca, fruto verde e flor branca.","RFA42039",NA,"44º41'51''W","22º15'49''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:23-03","UFRJ","RFA","29887","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","lanceolata","Eugenia lanceolata","O.Berg",NA,"A. Quinet","46/138","2001","12","30",NA,"Brasil","Rio de Janeiro","Magé","Distrito de Piabetá","-43.133889","-22.596111",NA,"Arvore, 7m de altura, 42cm de DAP, folha discolor verde, cálice verde e corola branca.","RFA42031",NA,"43º8'2''W","22º35'46''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:45:50-03","EAO","IAN","137382","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Eugenia","fusca","Eugenia fusca","Berg","Barroso, GM","Lanna Sobrinho, JP","1781","1968","10","02","Southern America","Brasil","Rio de Janeiro","Rio de Janeiro","Guanabara, Floresta da Tijuca, próximo ao Açude da Solidão.","-43.2075004577637","-22.9027996063232",NA,"Planta arbórea, 5m. de altura, frutos amarelos, suculentos quando maduros.","IAN137382",NA,NA,NA,"1970","04","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:21:12-03","UFBA","ALCB","124716","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","fusca","Eugenia fusca","O.Berg","Mazine, FF","Lobão, AQ; Fiaschi, P","517","2001","01","20","Southern America","Brasil","São Paulo","Picinguaba","Parque Estadual da Serra do Mar, Núcleo de Picinguaba. Trilha Brava da Almada.",NA,NA,NA,"ca. 12m alt. CAP 1,05m. Folhas discolores. Frutos Verdes.","ALCB057880",NA,NA,NA,"2011","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:14:33-03","ESALQ","ESA","52564","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","fusca","Eugenia fusca","O. Berg","Fernandes, T.M.","Marquete, R. et al.","2148.0","1995","05","16",NA,"Brasil","Rio de Janeiro","Parati",NA,"-44.7131004333496","-23.2178001403809",NA,NA,"ESA052564","ESA052564",NA,NA,"2011",NA,"34470","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:14:33-03","ESALQ","ESA","61944","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","fusca","Eugenia fusca","O. Berg","Fernandes, T.M.","Gorenstein, M.R. et al.","119.0","1999","01","11",NA,"Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,"ESA061944","ESA061944",NA,NA,"2011",NA,"55628","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
