"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","158627","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Aspilia","espinhacensis","Aspilia espinhacensis","J.U.Santos","isotype","H. S. Irwin","23136","1969","02","12","South America","Brazil","Minas Gerais","Serra do Espinhaço: ca. 10 km. northeast of Francisco Sá, road to Salinas","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531111' target='other'> <mi>dwc_moreinfo</mi></a>","NY00158627","NY00158627_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-01 14:53:09-03","UnB","UB","8855","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Aspilia","espinhacensis","Aspilia espinhacensis","Santos","holotype","Irwin, HS; Santos, RR; Souza, R; Fonsêca, SF","23136","1969","02","12","Southern America","Brasil","Minas Gerais","10 km NE of Francisco Sá, road to Salinas","1100","1100",NA,"Raio amarelo; disco marrom amarelado.; Erva ereta 1m; Cerrado.","UB0036809","UB0036809","Santos, JUM",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 09:59:47-03","IBt","SP","16785","S","Plantae",NA,NA,"Asteraceae","Aspilia","espinhacensis","Aspilia espinhacensis","J.U.Santos",NA,"Loefgren, A; Edwall, G","CGG2147","1893","01","15",NA,"Brasil","São Paulo","Sapucai",NA,NA,NA,NA,"SP023480","SP023480","Santos, JUM","1991","06","26","Patrocínio Paulista","-47.2799987792969","-20.6299991607666","26066","auto"
"4","2019-11-21 09:59:47-03","IBt","SP","1326","S","Plantae",NA,NA,"Asteraceae","Aspilia","espinhacensis","Aspilia espinhacensis","J.U.Santos",NA,"Hoehne, FC","s.n.","1918","01","15",NA,"Brasil","São Paulo","Butantã.",NA,NA,NA,NA,"SP030682","SP030682","Santos, JUM","1991","06","23","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto"
