"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","class","fieldNumber","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","1239506","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Macradenia","paraensis","Macradenia paraensis","Barb.Rodr.","E. Hassler","8521","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1471678' target='other'> <mi>dwc_moreinfo</mi></a>","NY01239506","NY01239506_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1031996","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Macradenia","paraensis","Macradenia paraensis","Barb.Rodr.","W. R. Anderson","7803","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189923' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031996","NY01031996_01","1973","03","23","Goiás","São João d'Aliança","3 km by road S of São João da Aliança. Serra Geral do Paraná.","-47.5","-14.73","1040","1040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-18 16:27:06-02","UNEMAT","TANG","1768","S","Plantae",NA,NA,"Orchidaceae","Macradenia","multiflora","Macradenia multiflora","(Kraenzl.) Cogn.","Silva, CA","501",NA,"Brasil",NA,"Epífita, flores castanhas, lóbulo mediano do labelo linear.","TANG000001768",NA,"2012","04","23","Mato Grosso","Tangará da Serra","Epifitário Catasetum UNEMAT.","-57.4858016967773","-14.6194000244141",NA,NA,"Koch, AK","2012","05","11","175746","auto",NA,NA,NA,NA,NA
"4","2021-03-30 12:52:48-03","EAO","IAN","111489","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Macradenia","multiflora","Macradenia multiflora","(Kraenzl.) Cogn.","Oliveira, E","1647","Southern America","Brasil",NA,"Planta epífita; frutos um pouco compridos, em cachos.","IAN111489",NA,"1961","04","29","Goiás",NA,"Rio Piranha, braço do Araguáia; região de Araguatins. Campina.",NA,NA,NA,NA,"Pessoa, ME","2012","08","03",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:52:48-03","EAO","IAN","111527","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Macradenia","multiflora","Macradenia multiflora","(Kraenzl.) Cogn.","Oliveira, E","1685","Southern America","Brasil",NA,"Planta epífita; flores em forma de uma rosa, pétalas vermelha-clara, bordadura clara, estame branco em cacho pendente.","IAN111527",NA,"1961","05","08","Goiás",NA,"Rio piranha; braço do Araguáia; região de Araguatins. Mata baixa, terreno baixo.",NA,NA,NA,NA,"Pabst, GFJ","1962","05",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:41:08-03","MN","R","3118","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Macradenia","multiflora","Macradenia multiflora","(Kraenzl.) Cogn.","Hoehne, F.C.","1437",NA,"Brasil",NA,NA,NA,NA,"1909","03",NA,NA,NA,NA,NA,NA,NA,NA,"Hoehne, F.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:41:08-03","MN","R","44771","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Macradenia","multiflora","Macradenia multiflora","(Kraenzl.) Cogn.","Hoehne, F.C.","1436",NA,"Brasil",NA,"Comissão Rondon",NA,NA,"1909","03",NA,"Mato Grosso","Barra do Bugres","Tapirapoan","-57.1810989379883","-15.0725002288818",NA,NA,"Hoehne, F.C.",NA,NA,NA,"173387","auto",NA,NA,NA,NA,NA
"8","2016-07-05 11:14:18-03","FFCLRP","LBMBP","376","S","Plantae",NA,NA,"Orchidaceae","Macradenia","multiflora","Macradenia multiflora","(Kraenzl.) Cogn.","L.M. Pansarin",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:40:53-03","UFJF","CESJ","51010","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Macradenia","multiflora","Macradenia multiflora","(Kraenzl.) Cogn.","R.M. Castro","1671","América do Sul","Brasil",NA,"Epífita, interior de mata ciliar sujeita a inundação, flores cor de rosa tonalidade pastel com máculas vináceas.","CESJ051010",NA,"2008","05",NA,"Mato Grosso","Nossa Sra do Livramento","Mineração Morrinho e adjacências",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:00:54-03","UNICAMP","UEC","139091","S","Plantae","Liliopsida",NA,"Orchidaceae","Macradenia","paraensis","Macradenia paraensis","Barb.Rodr.","Singer, RB","200411",NA,"Brazil",NA,NA,"UEC034306",NA,"2004","02","10","Mato Grosso do Sul","Sidrolândia",NA,"-54.9613990783691","-20.9319000244141",NA,NA,"Koch, AK","2013","10","21","73119","auto",NA,NA,NA,NA,NA
