"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","149500","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Acrostichum","insigne","Acrostichum insigne","Baker","isotype","A. L. Sodiro","s.n.","South America","Ecuador","Pichincha","Quito","Quito-Nono-Pto. Quito road, 18-20 km NW of Nono; Rio Alambi valley.","1951","2012","sheet","This Type Fragment came from K. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=399050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00149500","NY00149500_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1039018","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","prestonii","Elaphoglossum prestonii","J.Sm.",NA,"P. C. Porto","2244","South America","Brazil","Rio de Janeiro","Itatiaia","Lago Azul",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1479259' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039018","NY01039018_01","F. B. Matos; J. T. Mickel","1932","04","22","-44.612252","-22.447817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1039002","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","prestonii","Elaphoglossum prestonii","J.Sm.",NA,"A. C. Brade","19244","South America","Brazil","Espírito Santo","Castelo","Forno Grande",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1479216' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039002","NY01039002_01","F. B. Matos; J. T. Mickel","1948","03","12","-41.1","-20.51667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01402634","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","prestonii","Elaphoglossum prestonii","J.Sm.",NA,"A. C. Brade","6555","South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaya","2000","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2965716' target='other'> <mi>dwc_moreinfo</mi></a>","NY01402634","NY01402634_01","F. B. Matos; J. T. Mickel","1913","09",NA,"-44.5631","-22.4961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02642215","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","prestonii","Elaphoglossum prestonii","J.Sm.",NA,"C. Mynssen","1335","South America","Brazil","Rio de Janeiro","Santa Maria Madalena","Trilha para o Pico do Desengano a partir da Estalagem Morumbeca. Parque Estadual do Desengano",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2964314' target='other'> <mi>dwc_moreinfo</mi></a>","NY02642215","NY02642215_01","F. B. Matos","2012","07","25","-41.912222","-21.891667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1184784","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","prestonii","Elaphoglossum prestonii","J.Sm.",NA,"A. C. Brade","15514","South America","Brazil","Rio de Janeiro","Itatiaia",NA,"2100",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1478579' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184784","NY01184784_01","F. B. Matos; J. T. Mickel","1937","03",NA,"-44.5631","-22.4961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01402633","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","prestonii","Elaphoglossum prestonii","J.Sm.",NA,"P. H. Labiak E.","4581a","South America","Brazil","Espírito Santo","Castelo","Localidade de Bateias. Floresta Ombrófila Densa Altomontana. Parque Estadual do Forno Grande",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2972202' target='other'> <mi>dwc_moreinfo</mi></a>","NY01402633","NY01402633_01",NA,"2008","02","13","-41.101667","-20.526944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01402635","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","prestonii","Elaphoglossum prestonii","J.Sm.",NA,"E. Pereira","352","South America","Brazil","Rio de Janeiro","Itatiaia","Rio Campo Belo.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2961510' target='other'> <mi>dwc_moreinfo</mi></a>","NY01402635","NY01402635_01","F. B. Matos; J. T. Mickel","1943","03","09","-44.61807","-22.433227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01402637","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","prestonii","Elaphoglossum prestonii","J.Sm.",NA,"A. C. Brade","15514","South America","Brazil","Rio de Janeiro","Itatiaia",NA,"2100",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2961527' target='other'> <mi>dwc_moreinfo</mi></a>","NY01402637","NY01402637_01","F. B. Matos; J. T. Mickel","1937","03",NA,"-44.5631","-22.4961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01402638","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","prestonii","Elaphoglossum prestonii","J.Sm.",NA,"A. C. Brade","8486","South America","Brazil","São Paulo","Iguape","Rio Peroupava, Pocinhos",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2961516' target='other'> <mi>dwc_moreinfo</mi></a>","NY01402638","NY01402638_01","F. B. Matos","1927","07",NA,"-47.555","-24.7078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","886083","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","prestonii","Elaphoglossum prestonii","J.Sm.",NA,"J. Prado","1117","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, trilha para 3 Picos.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980309' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886083","NY00886083_01","F. B. Matos; J. T. Mickel","2000","06","20","-44.5631","-22.4961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
