"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","county","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","typeStatus","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","797215","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","biformis","Mikania biformis","DC.","A. C. Brade","16535","1940","08","07","South America","Brazil","Rio de Janeiro","Flora da Serra dos Orgaos. Toca dos Caçadores","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=716294' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797215","NY00797215_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","797214","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","biformis","Mikania biformis","DC.","A. F. M. Glaziou","s.n.",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,"sheet","Reçu le 4 Octobre 1876 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=716293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797214","NY00797214_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01090453","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","biformis","Mikania biformis","DC.","J. B. E. Pohl","77",NA,NA,NA,"South America","Brazil",NA,"Alcaide Mor. da Fora",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222455' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090453","NY01090453_01","-43.448386","-22.913514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","797216","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","biformis","Mikania biformis","DC.","F. Oliveira","s.n.","1978","09","08","South America","Brazil","São Paulo","Bertioga",NA,NA,"sheet","Material referência de estudo Quimico <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=716295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797216","NY00797216_01","-46.017404","-23.798221","Bertioga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 02:26:00-03","NY","NYBG","797217","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","biformis","Mikania biformis",NA,"E. Hassler","11750","1913","05",NA,"South America","Paraguay","Central","Ypacaray",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=716296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","811604","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","diversifolia","Mikania diversifolia","DC.","P. K. H. Dusén","8877a","1908","08","31","South America","Brazil","Paraná","Paramaguá.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803301' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811604","NY00811604_01",NA,NA,NA,"M. R. Ritter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","811733","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","diversifolia","Mikania diversifolia","DC.","R. Reitz","1042","1953","09","24","South America","Brazil","Santa Catarina","Campo do Massiambú, Palhoça.","3","3","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=804017' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811733","NY00811733_01","-48.62515","-27.834087",NA,"Á. L. Cabrera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-21 18:24:00-02","NY","NYBG","797259","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","diversifolia","Mikania diversifolia",NA,"P. G. Lorentz","s.n.","1878","04",NA,"South America","Argentina","Entre Ríos","Concepcion del Uruguay",NA,NA,"sheet","Prof. Dr. P. Lorentz. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797259","NY00797259_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","811605","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","diversifolia","Mikania diversifolia","DC.","S. M. Silva","s.n.","1985","05","15","South America","Brazil","Paraná","Planície da Praia Grande, Ilha do Mel.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803303' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811605","NY00811605_01","-48.3","-25.5","Paranaguá","S. M. Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","797258","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","diversifolia","Mikania diversifolia","DC.","F. Oliveira","55","1981","04","07","South America","Brazil","São Paulo","Praia Grande",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797258","NY00797258_01","-46.502069","-24.003914","Praia Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
