"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","individualCount","occurrenceRemarks","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","barcode","imagecode","continentOcean","decimalLongitude","decimalLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","typeStatus","preparationType"
"1","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","1671","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Amaryllidaceae","Hippeastrum","santacatarina","Hippeastrum santacatarina","(Traub) Dutilh","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:28:35-03","UNESP-IBB","BOTU","10448","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","santacatarina","Hippeastrum santacatarina","(Traub) Dutilh",NA,"Flor vermelha zarcão, base interna esverdeada. Capoeira, solo úmido.","Ravenna, P.","1983","Hatschbach, G.","40209","1977","10","04","Brasil","Paraná","Bocaiúva do Sul","Tunas","9999","9999","BOTU010448","BOTU010448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-24 18:14:23-03","UFBA","ALCB","034189","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Amaryllidaceae","Amaryllis","santacatarinae","Amaryllis santacatarinae","Traub.",NA,"flor vermelha. Do brejo recém queimado.","Hatschbach, G","1997","Silva, JM; Cordeiro, J; Cruz, JM","2027","1997","10","01","Brasil","Paraná","Piraquara","Jardim HolandÆs","-49.05","-25.433333","ALCB006607","ALCB006607","Southern America","-49.05","-25.433333",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:45:37-03","NBC","NL-BOTANY","L.1454660","PreservedSpecimen","Plantae",NA,"Magnoliopsidae","Asparagales","Amaryllidaceae","Amaryllis","santacatarina","Amaryllis santacatarina","Traub",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1454660 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Hatschbach GG",NA,"1966","10","19","Brazil",NA,NA,"Sta. Bárbara(Mun. Palmas) Paraná.",NA,NA,"NL-L1454660","NL-L1454660","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:45:37-03","NBC","NL-BOTANY","L.1454661","PreservedSpecimen","Plantae",NA,"Magnoliopsidae","Asparagales","Amaryllidaceae","Amaryllis","santacatarina","Amaryllis santacatarina","Traub",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1454661 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Hatschbach GG",NA,"1969","10","26","Brazil",NA,NA,"Clevelândia - Paraná.",NA,NA,"NL-L1454661","NL-L1454661","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 10:59:02-03","ESALQ","ESA","102304","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Amaryllidaceae","Hippeastrum","santacatarina","Hippeastrum santacatarina",NA,NA,NA,"Lorenzi, H.","2005","Lorenzi, H.","5751.0","2005","10","15","Brasil","Paraná","Santa Cecília",NA,NA,NA,"ESA102304","ESA102304",NA,NA,NA,"10","15",NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:00:13-03","JBP","HPL","6131","S","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","santacatarina","Hippeastrum santacatarina","(Traub) Dutilh",NA,NA,"H. Lorenzi","2005","H. Lorenzi, L.C. Bernacci & E. Franco","5751","2005","10","15","Brasil","PR","Santa Cecília","Coletado em local brejoso a beira da BR-116, caminho para Curitiba, 27°02'39,4''S, 50°25'34,1''W, 108m.s.m.",NA,NA,NA,NA,NA,NA,NA,"10","15",NA,NA,NA,NA,NA,NA
"8","2015-07-02 14:00:13-03","JBP","HPL","316","S","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","santacatarina","Hippeastrum santacatarina","(Traub) JHA.Dutilh",NA,NA,"H. Lorenzi","2000","H. Lorenzi","2462","2000","11","16","Brasil","RS","Bom Jesus","Estrada para Araranguá a 500m da cidade, em várzea.",NA,NA,NA,NA,NA,"-50.4167","-28.6678","11","16","55856","auto",NA,NA,NA,NA
"9","2015-07-02 14:00:08-03","JBP","HPL","317","S","Plantae",NA,NA,NA,"Alliaceae","Hippeastrum","santacatarina","Hippeastrum santacatarina","(Traub) JHA.Dutilh",NA,NA,"H. Lorenzi","1997","H. Lorenzi","1137","1997","09","30","Brasil","SC","Irani","Entroncamento da Transbrasiliana com a rodovia São Miguel do Oeste - Florianópolis.",NA,NA,NA,NA,NA,"-51.9017","-27.0247","09","30","13629","auto",NA,NA,NA,NA
"10","2019-08-27 13:26:19-03","IAP","PACA-AGP","114135","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Liliales","Amaryllidaceae","Hippeastrum","santacatarina","Hippeastrum santacatarina","(Traub) Dutilh",NA,"Herbário CEN. Habitat: banhado","Andrielle C. Amaral","2011","E.S.G. Guarino et al.","1155","2006","10","19","Brasil","SC","Capão Alto","Margem direita da BR 116, sentido Lages(SC)-Vacaria(RS). ca. 1 km após o posto dos Porongos.",NA,NA,"PACA114135",NA,NA,"-50.5119018554688","-27.9368991851807","05",NA,"41668","auto",NA,NA,NA,NA
