"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","scientificNameAuthorship","recordedBy","country","stateProvince","recordNumber","year","month","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","day","locality","relatedCatalogItem"
"1","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4403","S","Plantae","Orchidaceae","Cattleya","alaori","Cattleya alaori","Carlos Alberto Ferreira Júnior","2018","08","21","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-07-05 11:14:18-03","FFCLRP","LBMBP","567","S","Plantae","Orchidaceae","Hadrolaelia","alaori","Hadrolaelia alaori","E.R. Pansarin",NA,NA,NA,NA,NA,"(Brieger & Bicalho) Chiron & V.P.Castro","E.R. Pansarin","Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-04 10:29:36-03","UFRPE","HST","8468","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","alaorii","Cattleya alaorii",NA,NA,NA,NA,NA,"Epifíta; flores lilases. Planta com habito reptante. No topo das árvores. Cedida por M.Silva.","(Brieger & Bicalho)Van den Berg","L.P.Félix","Brasil","Bahia","8930","1998","11","Una","-39.0752983093262","-15.2932996749878","36070","HST008468","auto",NA,NA,NA
"4","2020-07-23 12:17:23-03","CEPLAC","CEPEC","83043","PreservedSpecimen","Plantae","Orchidaceae","Laelia","alaori","Laelia alaori","J. G. Jardim",NA,NA,NA,NA,NA,NA,"J. G. Jardim","Brasil","Bahia","1997","1985","11","santa luzia","-39.3342018127441","-15.4294004440308","33804",NA,"auto","22","Planta cultivada no orquidário da CEPLAC/CEPEC.","30/12/1997"
