"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","stateProvince","locality","imagecode","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount"
"1","2020-09-23 10:40:04-03","E","E","161289","PreservedSpecimen","Plantae","Labiatae","Hyptidendron","canum","Hyptidendron canum","Bridgewater, S. & Filho, J.F.","1996","09","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:168667","<a href=http://data.rbge.org.uk/herb/E00161289 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:04-03","E","E","40247","PreservedSpecimen","Plantae","Labiatae","Hyptidendron","canum","Hyptidendron canum","Bridgewater, S. & Filho, J.F.","1996","10","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:48623","<a href=http://data.rbge.org.uk/herb/E00040247 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00040247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00857310","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","canum","Hyptidendron canum","N. L. de Menezes","1977","07","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937730' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857310","Magnoliophyta","Lamiales","(Pohl ex Benth.) Harley","704","Minas Gerais","Km 112 on the road from Lagoa Santa Santa to Conceição do Mato Dentro.","NY00857310_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00857309","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","canum","Hyptidendron canum","R. Goodland","1965","10","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937729' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857309","Magnoliophyta","Lamiales","(Pohl ex Benth.) Harley","100","Minas Gerais",NA,"NY00857309_01","Lagoa Santa","-43.8894","-19.6272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 20:56:00-03","NY","NYBG","00857302","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","canum","Hyptidendron canum","J. A. Ratter","1976","08","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857302","Magnoliophyta","Lamiales",NA,"3426","Distrito Federal","Fazenda Água Limpa (University of Brasília field station) near Vargem Bonita. c. 18 km . SSW of Brasilia TV tower. On the margin of the gallery forest along the Córrego Capitinga.","NY00857302_01","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00857311","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","canum","Hyptidendron canum","B. Maguire","1963","08","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857311","Magnoliophyta","Lamiales","(Pohl ex Benth.) Harley","56374","Mato Grosso","En route to Cuiaba from Rondonopolis. Brasilia - Acre highway.","NY00857311_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00857222","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","canum","Hyptidendron canum","R. S. Santos","1963","09","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937689' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857222","Magnoliophyta","Lamiales","(Pohl ex Benth.) Harley","24037","Minas Gerais","Entre Matozinho e prudente de Morais.","NY00857222_01",NA,"-44.1199689","-19.5184939","R. M. Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00857314","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","canum","Hyptidendron canum","E. P. Heringer","1979","08","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937742' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857314","Magnoliophyta","Lamiales","(Pohl ex Benth.) Harley","1922","Distrito Federal","Bacia do Rio São Bartolomeu.","NY00857314_01","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00857307","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","canum","Hyptidendron canum","S. A. Mori","1984","07","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857307","Magnoliophyta","Lamiales","(Pohl ex Benth.) Harley","16897","Distrito Federal","Municipio [Região Administrativa] de Planaltina, 22 km W of Planaltina. Cerrado Reserve of CPAC (Centro de Pesquisas Agropecuario Cerrados)","NY00857307_01","Brasília","-47.9294","-15.7797",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00857305","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","canum","Hyptidendron canum","G. T. Prance","1964","09","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857305","Magnoliophyta","Lamiales","(Pohl ex Benth.) Harley","59054","Distrito Federal","Cia Fercal, 30 km. east of Brasilia.","NY00857305_01","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
