"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:25:09-03","UNESC","CRI","14249","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","humilis","Weinmannia humilis","Engl.","Verdi, M","2009","04","03","Verdi, M.; Hasckel, R.P. & Klemz, G.","2003","2009","04","23","Brasil","Santa Catarina","Urubici","-49.406667","-28.080278","49º24'24''W","28º4'49''S","1139","1139","Florística IFFSC 167(Arbórea) Habitat: Floresta nebular e campos naturais; Estágio Avançado Habito: árvore;","CRI013353","CRI013353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:09-03","UNESC","CRI","13565","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","humilis","Weinmannia humilis","Engl.","Renato Colares & Aline Votri Guislon","2018","08","01","Lucas Oliveira; Guilherme Elias, Peterson Padilha & Robson dos Santos",NA,"2016","12","15","Brasil","Santa Catarina","Treviso","-49.525","-28.511111","49º31'30''W","28º30'40''S","743","743","Habitat: Terrestre Habito: Arbóreo","CRI012172","CRI012172","Dois dedos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:09-03","UNESC","CRI","973","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","humilis","Weinmannia humilis","Engl.","Vanilde Citadini- Zanette",NA,NA,NA,"V. Citadini-Zanette; P. Brack",NA,"1991","11","30","Brasil","Santa Catarina","Praia Grande","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,"Habito: arbórea","CRI006578","CRI006578","Serra do Faxinal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:09-03","UNESC","CRI","14273","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","humilis","Weinmannia humilis","Engl.","Gasper, AL de","2009","05","12","Verdi, M.; Hasckel, R.P. & Klemz, G.","1981","2009","04","07","Brasil","Santa Catarina","Urubici","-49.491944","-28.013056","49º29'31''W","28º0'47''S","1055","1055","Fito IFFSC 191/L/26 Habitat: Floresta Ombrófila Mista; Estágio Avançado Habito: árvore;","CRI013352",NA,"Santa Terezinha. Santa Terezinha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:09-03","UNESC","CRI","14249","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","humilis","Weinmannia humilis","Engl.","Verdi, M","2009","04","03","Verdi, M.; Hasckel, R.P. & Klemz, G.","2003","2009","04","23","Brasil","Santa Catarina","Urubici","-49.406667","-28.080278","49º24'24''W","28º4'49''S","1139","1139","Florística IFFSC 167(Arbórea) Habitat: Floresta nebular e campos naturais; Estágio Avançado Habito: árvore;","CRI013353","CRI013353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:09-03","UNESC","CRI","13565","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","humilis","Weinmannia humilis","Engl.","Renato Colares & Aline Votri Guislon","2018","08","01","Lucas Oliveira; Guilherme Elias, Peterson Padilha & Robson dos Santos",NA,"2016","12","15","Brasil","Santa Catarina","Treviso","-49.525","-28.511111","49º31'30''W","28º30'40''S","743","743","Habitat: Terrestre Habito: Arbóreo","CRI012172","CRI012172","Dois dedos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:09-03","UNESC","CRI","973","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","humilis","Weinmannia humilis","Engl.","Vanilde Citadini- Zanette",NA,NA,NA,"V. Citadini-Zanette; P. Brack",NA,"1991","11","30","Brasil","Santa Catarina","Praia Grande","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,"Habito: arbórea","CRI006578","CRI006578","Serra do Faxinal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:09-03","UNESC","CRI","14273","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","humilis","Weinmannia humilis","Engl.","Gasper, AL de","2009","05","12","Verdi, M.; Hasckel, R.P. & Klemz, G.","1981","2009","04","07","Brasil","Santa Catarina","Urubici","-49.491944","-28.013056","49º29'31''W","28º0'47''S","1055","1055","Fito IFFSC 191/L/26 Habitat: Floresta Ombrófila Mista; Estágio Avançado Habito: árvore;","CRI013352",NA,"Santa Terezinha. Santa Terezinha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","533141","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","humilis","Weinmannia humilis","Engl.",NA,NA,NA,NA,"C. V. Roderjan","1125","1994","01","26","Brazil","Paraná","Quatro Barras","-49.0767","-25.3658",NA,NA,"1250","1250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707404' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533141","NY00533141_01","Morro Anhangava","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA
"10","2016-09-27 05:27:00-03","NY","NYBG","533150","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","humilis","Weinmannia humilis",NA,"R. L. Liesner",NA,NA,NA,"A. H. Gentry","23150","1978","06","17","Peru","Amazonas",NA,NA,NA,NA,NA,"3200","3200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707402' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533150",NA,"Ca. 38 km SW of Leimebamba on road to Balsas.","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA
