"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:25:38-03","UNESC","CRI","14172","PreservedSpecimen","Plantae","Myrtaceae","Gomidesia","tijucensis","Gomidesia tijucensis","(Kiaersk) D. Legrand","Robson dos Santos & Vanilde Citadini","2001","08","09","Robson dos Santos & Vanilde Citadini","2001","08","09","Brasil","Santa Catarina","Praia Grande","-49.950278","-29.198611","49º57'1''W","29º11'55''S","Habitat: Terrestre Habito: Arbustivo","CRI012824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:41-03","UNESC","CRI","3176","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","tijucensis","Myrcia tijucensis","Kiaersk.","Vanilde Citadini- Zanette","1994","01","01","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1993","12","29","Brasil","Santa Catarina","Orleans","-49.291667","-28.359444","49º17'30''W","28º21'34''S","Habitat: interior de mata atlântica secundária de encosta Habito: árvore","CRI005324","1827","Rio Novo.","300","300","CRI005324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:47-03","UNESC","CRI","15098","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","tijucensis","Myrcia tijucensis","Kiaersk.","Aline Votri Guislon","2019","09","27","Aline V. Guislon; Altamir R. Antunes; Peterson T. Padilha; Renato Colares & Guilherme A. Elias","2017","07","27","Brasil","Santa Catarina","Orleans","-49.288056","-28.358611","49º17'17''W","28º21'31''S","Habito: Arbóreo","CRI014511",NA,"Mata do Seu Sufinski.",NA,NA,"CRI014511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:41-03","UNESC","CRI","1202","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","tijucensis","Myrcia tijucensis","Kiaersk.","Jorge Luiz Waechter",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1992","08","14","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S",NA,"CRI005322","1449","Rio Novo.","300","300","CRI005322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:41-03","UNESC","CRI","14500","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","tijucensis","Myrcia tijucensis","Kiaersk.","Sobral, M","2010","01","25","Verdi, M.; Tomazi, A.L. & Klemz, G.","2009","11","07","Brasil","Santa Catarina","Nova Veneza","-49.588611","-28.708056","49º35'19''W","28º42'29''S","Florística IFFSC 39 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arbórea; flor botão floral branco","CRI013593","3073","São Bonifácio. São Bonifácio.","124","124","CRI013593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:41-03","UNESC","CRI","11960","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","tijucensis","Myrcia tijucensis","Kiaersk.","Aline Votri Guislon","2013","12","17","Aline Votri Guislon; Altamir Rocha Antunes; Robson dos Santos & Peterson Teodoro Padilha","2013","12","17","Brasil","Santa Catarina","Grão Pará","-49.421389","-28.136944","49º25'17''W","28º8'13''S","Estágio Sucessional Avançado","CRI010106",NA,NA,"450","450","CRI010106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:47-03","UNESC","CRI","5291","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","tijucensis","Myrcia tijucensis","Kiaersk.","Marcos Sobral","1993","01","09","J. A. Jarenkow; D. B. Falkenberg","1993","01","09","Brasil","Rio Grande do Sul","Morrinhos do Sul","-49.935","-29.365556","49º56'6''W","29º21'56''S",NA,"CRI005323",NA,NA,NA,NA,"CRI005323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:41-03","UNESC","CRI","13047","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","tijucensis","Myrcia tijucensis","Kiaersk.","Sobral, M","2015","07","10","Funez, L.A.","2015","01","10","Brasil","Santa Catarina","Rodeio","-49.401667","-26.878056","49º24'6''W","26º52'41''S",NA,"CRI011638","3383","ipiranga, eremitério. ipiranga, eremitério.","829","829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1015074","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","innovans","Myrcia innovans","Kiaersk.","E. M. Nic Lughadha",NA,NA,NA,"S. de V. A. Pessôa","1987","07","17","Brazil","Rio de Janeiro","Nova Friburgo","-42.05","-22",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099557' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015074","222","Reserva Ecológica Municipal de Macaé de Cima, Sítio Sophronites.","1100","1100","NY01015074_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02913120","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","innovans","Myrcia innovans","Kiaersk.",NA,NA,NA,NA,"J. Braga","1999","03","04","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3228081' target='other'> <mi>dwc_moreinfo</mi></a>","NY02913120","5150","Estrada da Vista Chinesa, proximidades da Vista Chinesa.","400","400","NY02913120_01","Magnoliophyta","Myrtales","South America","sheet","57442","auto",NA,NA,NA,NA,NA
