"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","400480","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra","G. Martinelli","J. P. P. Carauta","3667","1981","03","03","South America","Brazil","Rio de Janeiro","Serra dos Orgaos, Parque Nacional, entre a Pedra da Baleia e a Pedra do Dinosauro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400480","NY00400480_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","400481","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"A. F. M. Glaziou","16470","1887","01","22","South America","Brazil","Rio de Janeiro","Haute dos Orgaos, par Petropolis","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749640' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400481","NY00400481_01","Petrópolis","-43.1783","-22.505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:42-03","UFRJ","RFA","4879","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra","E. Pereira","P. Occhioni","1312","1952","04","27",NA,"Brasil","Rio de Janeiro","Base das Agulhas",NA,"Rupestre, toda inflorescência púrpura","RFA51311",NA,"Itatiaia","-44.5633010864258","-22.4960994720459","1978","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:29:42-03","UFRJ","RFA","22816","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra","L.B. Smith","F. Segadas-Vianna","824","1945","03","07",NA,"Brasil","Rio de Janeiro","Prateleiras",NA,"Rupícola","RFA51345",NA,"Itatiaia","-44.5633010864258","-22.4960994720459",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:12:34-03","NBC","NL-BOTANY","U.1174584","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Lindeman JC; Haas JH de",NA,"1967","04","16","Southern America","Brazil",NA,"Est. Rio de Janeiro, Parque nacional do itatiaia; !ell near broadcasting station.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1174584 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1174584","NL-U1174584",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:03:57-03","ESALQ","ESA","64479","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae",NA,"Versieux, L.","Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","23322.0","2000","02","18",NA,"Brasil","Espírito Santo","BLOQUEADO",NA,"Folhas com metade apical arroxeada; brácteas vermelho-vináceas, flores amarelas","ESA064479","ESA064479_1 ESA064479_2","Iúna","-41.5358009338379","-20.3458003997803","2013","32198","auto",NA,"11","28",NA,NA,NA,NA,NA,NA
"7","2021-02-07 08:35:20-03","MN","R","104053","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Mello Filho, L.E.","1476","1957","04","20",NA,"Brasil","Itatiaia",NA,NA,NA,"R010017178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-07 08:35:20-03","MN","R","32371","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Foster, M.B.","115","1939","06","29",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"R010017179",NA,"Itatiaia","-44.5633010864258","-22.4960994720459",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-07 08:35:20-03","MN","R","46302","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Ule, E.H.G.","289","1894","03",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,"R010017181",NA,"Itatiaia","-44.5633010864258","-22.4960994720459",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-07 08:35:20-03","MN","R","106772","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Castellanos, A.","22438","1959","04","20",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"R010017183",NA,"Itatiaia","-44.5633010864258","-22.4960994720459",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
