"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","typeStatus","recordNumber","continentOcean","preparationType","occurrenceRemarks","infraspecificEpithet","locality","coordinatePrecision","geoFlag","sex","class","relatedCatalogItem","individualCount","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:25:18-03","UNESC","CRI","548","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz","L. R. M. Batista","1991","05","16","V. Citadini-Zanette; L. Cimolin","1991","03","05","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","9","9","CRI003031","CRI003031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","778653","PreservedSpecimen","Plantae","Fabaceae","Caesalpinia","ferrea","Caesalpinia ferrea","Mart. ex Tul.",NA,NA,NA,NA,"G. Gardner","1836",NA,NA,"Brazil","Alagoas",NA,NA,NA,NA,NA,NA,NA,"NY00778653","NY00778653_01","Magnoliophyta","Fabales","isotype","1277","South America","sheet","Com. amic. Shuttleworth 1839. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796574' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","778655","PreservedSpecimen","Plantae","Fabaceae","Caesalpinia","ferrea","Caesalpinia ferrea parvifolia","Benth.","L. P. de Queiroz",NA,NA,NA,"L. P. de Queiroz","1994","04","27","Brazil","Bahia","Iaçú","-40.21","-12.76",NA,NA,NA,NA,"NY00778655","NY00778655_01","Magnoliophyta","Fabales",NA,"3867","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795104' target='other'> <mi>dwc_moreinfo</mi></a>","parvifolia","Fazenda Laranjo, a ca. 14 km fo entroncamento para Iaçú na estrada para João Amaro. Caatinga arbórea no Morro da Pedreira (Sonéia).",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","22785","PreservedSpecimen","Plantae","Fabaceae","Caesalpinia","ferrea","Caesalpinia ferrea leiostachya","Mart.",NA,NA,NA,NA,"F. C. Hoehne","1933","03","15","Brazil","São Paulo",NA,"-46.618358","-23.646109",NA,NA,NA,NA,"NY00022785","NY00022785_01","Magnoliophyta","Fabales",NA,"28798","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505263' target='other'> <mi>dwc_moreinfo</mi></a>","leiostachya","Jardim Botanico",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01081070","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"G. G. Hatschbach","1971","01","29","Brazil","Paraná","Maringá","-51.9383","-23.4256",NA,NA,NA,NA,"NY01081070","NY01081070_01","Magnoliophyta","Fabales",NA,"26188","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215395' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Orto Florestal.",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00958811","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"F. Chagas e Silva","1979","07","20","Brazil","Piauí","Tamboril do Piauí","-42.9136","-8.4",NA,NA,NA,NA,"NY00958811","NY00958811_01","Magnoliophyta","Fabales",NA,"21","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1025043' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Tamboril",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01081072","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea leiostachya","(Benth.) L.P.Queiroz",NA,NA,NA,NA,"R. P. Belém","1965","01","28","Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,"NY01081072","NY01081072_01","Magnoliophyta","Fabales",NA,"333","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215920' target='other'> <mi>dwc_moreinfo</mi></a>","leiostachya","Rodovia BR-4, a 300 km de Salvador para Jequié",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00958808","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"G. A. Black","1954","09","06","Brazil","Maranhão","Rosário","-44.235","-2.9344",NA,NA,NA,NA,"NY00958808","NY00958808_01","Magnoliophyta","Fabales",NA,"54-16574","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1025021' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Perizes",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2423333","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"H. C. de Lima","2012","09","13","Brazil","Rio de Janeiro","Armação dos Búzios","-41.9544444","-22.8111111",NA,NA,NA,NA,"NY02423333","NY02423333_01","Magnoliophyta","Fabales",NA,"7555","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2693270' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Manguinhos, APA Pau- Brasil. Resort Travel ( Antigo Bauen Clube).",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00958831","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"G. E. Schatz","1983","03","04","Brazil","Maranhão","Barra do Corda","-45.32","-5.72",NA,NA,NA,NA,"NY00958831","NY00958831_01","Magnoliophyta","Fabales",NA,"854","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1025011' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Baixão do Peixe, just S of Funai village of Sardinha along Rio Corda, 40 km SSW of Barra do Corda.",NA,NA,NA,NA,NA,NA,NA,NA
