"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","fieldNumber","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","547603","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","armata","Habenaria armata","Rchb.f.","G. F. J. Pabst","H. S. Irwin","34498","1972","01","18","South America","Brazil","Goiás","Corumbá de Goiás","Serra dos Pireneus, ca. 18 km E of Pirenopolis","-48.8083","-15.9236","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547603","NY00547603_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547606","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","armata","Habenaria armata","Rchb.f.","F. R. R. Schlechter","P. K. H. Dusén","7509","1909","01","20","South America","Brazil","Paraná","Ponta Grossa","Desvio Ribas","-50.1617","-25.095",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547606","NY00547606_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","547602","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","armata","Habenaria armata","Rchb.f.","G. F. J. Pabst","H. S. Irwin","34079","1972","01","14","South America","Brazil","Goiás","Corumbá de Goiás","Serra dos Pireneus, ca. 20 km E of Pirenopolis","-48.8083","-15.9236","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547602","NY00547602_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1721217","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","armata","Habenaria armata","Rchb.f.",NA,"F. C. Lehmann","s.n.",NA,NA,NA,"South America","Colombia",NA,NA,"Baños am Tungurana",NA,NA,"1700","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1043013' target='other'> <mi>dwc_moreinfo</mi></a>","NY01721217","NY01721217_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","547604","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","armata","Habenaria armata","Rchb.f.","G. F. J. Pabst","H. S. Irwin","34964","1972","01","24","South America","Brazil","Goiás","Niquelândia","Ca. 25 km of Niquelândia","-48.4594","-14.4742","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547604","NY00547604_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","547600","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","armata","Habenaria armata","Rchb.f.","G. F. J. Pabst","H. S. Irwin","24869","1969","03","21","South America","Brazil","Goiás","Alto Paraíso de Goiás","Ca. 10 km south of Alto Paraiso (formerly Veadeiros)","-47.5099983215332","-14.1324996948242","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329407' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547600","NY00547600_01","44724","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","04094378","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","armata","Habenaria armata","Rchb.f.",NA,"J. A. Steyermark","88794","1961","01","23","South America","Venezuela","Bolívar",NA,"Wet savanna by morichal, between Hato de Nuria and Cerro de Rancho Carata, south of camp, towards Cerro Guarancito, E. of Miamo. Altiplanicie de Nuria",NA,NA,"400",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4413219' target='other'> <mi>dwc_moreinfo</mi></a>","NY04094378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1721216","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","armata","Habenaria armata","Rchb.f.",NA,"N. A. Rosa","4316","1982","05","05","South America","Brazil","Amapá",NA,"próximo à Santana",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1043012' target='other'> <mi>dwc_moreinfo</mi></a>","NY01721216","NY01721216_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","547605","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","armata","Habenaria armata","Rchb.f.","G. F. J. Pabst","H. S. Irwin","20982","1968","02","27","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaco, ca. 17 km N of Serro on road (MG 2) to Diamantina","-43.52","-18.6","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329406' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547605","NY00547605_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","547601","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","armata","Habenaria armata","Rchb.f.","G. F. J. Pabst","H. S. Irwin","34079","1972","01","14","South America","Brazil","Goiás","Corumbá de Goiás","Serra dos Pireneus, ca. 20 km E of Pirenopolis","-48.8083","-15.9236","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547601","NY00547601_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
