"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","imagecode","yearIdentified","county","coordinatePrecision","geoFlag","infraspecificEpithet","class","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02736611","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","cordata","Lavoisiera cordata","Cogn. ex Glaz.","F. Almeda","9720","2009","03","05","South America","Brazil","Minas Gerais","Serra do Cipo; Santana do Riacho","-43.69936","-19.115","1149","1149","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3244442' target='other'> <mi>dwc_moreinfo</mi></a>","NY02736611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00909976","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","cordata","Lavoisiera cordata","Cogn. ex Glaz.","G. L. Esteves","CFCR15492","1990","09","22","South America","Brazil","Minas Gerais","Serra do Espinhaço, Serra do Cipó: camping area directly north of Pensão Chapeu-de-Sol (NNE Cardeal Mota), 37,5 km E-ESE Baldim.","-43.6","-19.3","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909976","F. Almeda","NY00909976_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:31:22-03","UFRJ","RFA","12754","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lavoisiera","cordata","Lavoisiera cordata","Cogn.","P. Occhioni","4977",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,"-43.7449989318848","-19.513599395752","1100","1100",NA,"Subarbusto Habitat: Campo in loco seco Habito: Subarbusto","RFA11839","J.J. Wurdack",NA,"1975","Jaboticatubas","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:13-03","UFRJ","RFA","6904","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lavoisiera","cordata","Lavoisiera cordata","Cogn.","A.P. Duarte","4555","1958","12","00",NA,"Brasil","Minas Gerais",NA,"-43.7449989318848","-19.513599395752",NA,NA,NA,"Plan","RFA26641","J.J.Wurdack",NA,"1975","Jaboticatubas","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:13-03","UFRJ","RFA","12245","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lavoisiera","cordata","Lavoisiera cordata","Cogn.","C.T. Rizzini",NA,"1971","07","20",NA,"Brasil","Minas Gerais",NA,"-43.7449989318848","-19.513599395752",NA,NA,NA,"Suba Habitat: Campo Habito: Subarbusto","RFA11549",NA,NA,NA,"Jaboticatubas","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:44:23-03","EAO","IAN","130649","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Lavoisiera","cordata","Lavoisiera cordata","Cogn.","Irwin, HS; Maxwell, HS","20140","1968","02","15","Southern America","Brasil","Minas Gerais","Steep dandy slopes with sandstone outcrops at summit, Serra do Cipó, ca. 120 km (ca. 145km N of Belo H.)",NA,NA,"1300","1300",NA,NA,"IAN130649","Wurdack, JJ",NA,"1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:44:23-03","EAO","IAN","130687","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Lavoisiera","cordata","Lavoisiera cordata","Cogn.","Irwin, HS; Maxwell, HS","20404","1968","02","18","Southern America","Brasil","Minas Gerais","Locally common. Western slopes, cerrado with exposed sandstone cliffs and outcrops, Serra do Cipó, ca. km 109 (ca. 134km N of Belo H.).",NA,NA,"1150","1150",NA,NA,"IAN130687","Wurdack, JJ",NA,"1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:44:23-03","EAO","IAN","92968","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Lavoisiera","cordata","Lavoisiera cordata alba","Cogn.","Andrade-Lima, D de","833","1951","01","16","Southern America","Brasil","Minas Gerais","Campos alpinos da Serra do Cipó.",NA,NA,NA,NA,NA,NA,"IAN092968",NA,NA,NA,NA,NA,NA,"alba",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:02:56-03","NBC","NL-BOTANY","U.1394827","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Lavoisiera","cordata","Lavoisiera cordata","Cogn. ex Glaz.","Duarte AP",NA,"1949","12","04","Southern America","Brazil",NA,"Minas Gerais, Serra do Cipó km 151 e 132 Paláccio, a 1100m. sm.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1394827 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1394827",NA,"NL-U1394827",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:13:21-03","ESALQ","ESA","7859","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Lavoisiera","cordata","Lavoisiera cordata","Cogn.","Sakuragui, C.M. ; Souza, V.C.","41.0","1990","08","02",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA007859",NA,NA,NA,"Santana do Riacho","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
