"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","class","order","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","individualCount","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified"
"1","2016-02-02 14:38:58-02","BGBM","B","B 20 0037160","S","Plantae","Polypodiaceae","Cheilanthes","incisa","Cheilanthes incisa","Kunze ex Mett.","isosyntype","A. F. M. Glaziou","2336","Middle and South America","Brazil","Rio Janeiro.","<a href=http://herbarium.bgbm.org/object/B200037160 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200037160","B200037160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:36:15-03","IAP","PACA-AGP","90900","PreservedSpecimen","Plantae","Pteridaceae","Cheilanthes","incisa","Cheilanthes incisa","Kunze ex Mett.",NA,"J. M. A. Braga","4427",NA,"Brasil","Reserva Ecológica Rio das Pedras, trilha para a Lagoa Seca.","HASU 16581&nf;Soros castanhos. Habitat: Rupícola, ciófila. Local úmido na mata densa de encosta.","PACA090900",NA,"Pteridophyta","Filicopsida","Polypodiales","1997","11","04","RJ","Mangaratiba","-44.040599822998","-22.9596996307373","17272","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-08-06 19:03:09-03","UFJF","CESJ","3259","PreservedSpecimen","Plantae","Pteridaceae","Cheilanthes","incisa","Cheilanthes incisa","Kze.",NA,"A.C. Brade","16288","América do Sul","Brasil","Garrafão","Nas pedras.","CESJ003259",NA,"Polypodiopsida",NA,NA,"1940","06","13","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-04 17:59:03-03","MNHN","RECOLNAT_MNHN_P","P00271010","PreservedSpecimen",NA,"Pteridophyta","Hypolepis","incisa","Hypolepis incisa","(Kunze) C.Chr.",NA,"Glaziou, A.",NA,NA,"Brésil","Tijuca","Sur la même planche d'herbier que P00271011 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00271010' target='other'> <mi>dwc_moreinfo</mi></a>","P00271010","P00271010_01",NA,NA,NA,"1868","6","27",NA,NA,NA,NA,NA,NA,NA,NA,"2336","hb",NA,NA,NA,NA,NA,NA,NA
"5","2004-08-09 17:40:52-03","MNHN","RECOLNAT_MNHN_P","P00271011","PreservedSpecimen",NA,"Pteridophyta","Hypolepis","incisa","Hypolepis incisa","(Kunze) C.Chr.",NA,"Glaziou, A.",NA,NA,"Brésil","Rio-Janeiro","Sur la même planche d'herbier que P00271010 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00271011' target='other'> <mi>dwc_moreinfo</mi></a>","P00271011","P00271011_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"929","hb",NA,NA,NA,NA,NA,NA,NA
"6","2015-09-25 06:39:56-03","MNHN","RECOLNAT_MNHN_P","P00271012","PreservedSpecimen",NA,"Pteridophyta","Hypolepis","incisa","Hypolepis incisa","(Kunze) C.Chr.",NA,"Glaziou, A.",NA,NA,"Brésil","Tijuca","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00271012' target='other'> <mi>dwc_moreinfo</mi></a>","P00271012","P00271012_01",NA,NA,NA,"1868","6","27",NA,NA,NA,NA,NA,NA,NA,NA,"2336","hb",NA,NA,NA,NA,NA,NA,NA
"7","2019-06-13 17:21:02-03","MNHN","RECOLNAT_MNHN_P","P00868477","PreservedSpecimen",NA,"Pteridophyta","Hypolepis","incisa","Hypolepis incisa","(Kunze) C.Chr.",NA,"Glaziou, A.",NA,NA,"Brésil","Tijuca","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00868477' target='other'> <mi>dwc_moreinfo</mi></a>","P00868477","P00868477_01",NA,NA,NA,"1868","6","27",NA,NA,NA,NA,NA,NA,NA,NA,"2336","hb",NA,NA,NA,NA,NA,NA,NA
"8","2017-02-16 11:18:56-02","MNHN","RECOLNAT_MNHN_P","P01530566","PreservedSpecimen",NA,"Pteridophyta","Hypolepis","incisa","Hypolepis incisa","(Kunze) C.Chr.",NA,"Beyrich, H.C.",NA,NA,"Brasilia","Serra d'Estrella, in rupibus umbrosissimus sylvarum pr. Joze Diaz","1ere feuille <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01530566' target='other'> <mi>dwc_moreinfo</mi></a>","P01530566","P01530566_01",NA,NA,NA,"1823","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA
"9","2017-02-16 11:18:56-02","MNHN","RECOLNAT_MNHN_P","P01530567","PreservedSpecimen",NA,"Pteridophyta","Hypolepis","incisa","Hypolepis incisa","(Kunze) C.Chr.",NA,"Beyrich, H.C.",NA,NA,"Brasilia","Serra d'Estrella, in rupibus umbrosissimus sylvarum pr. Joze Diaz","2eme feuille <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01530567' target='other'> <mi>dwc_moreinfo</mi></a>","P01530567","P01530567_01",NA,NA,NA,"1823","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA
"10","2017-02-16 11:18:56-02","MNHN","RECOLNAT_MNHN_P","P01530568","PreservedSpecimen",NA,"Pteridophyta","Hypolepis","incisa","Hypolepis incisa","(Kunze) C.Chr.",NA,"Glaziou, A.",NA,NA,"Brésil","Serra dos Orgâos, sur les rochers, chez H.J. Dias","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01530568' target='other'> <mi>dwc_moreinfo</mi></a>","P01530568","P01530568_01",NA,NA,NA,"1880","3","24",NA,NA,NA,NA,NA,NA,NA,NA,"12289","hb",NA,NA,NA,NA,NA,NA,NA
"11","2017-02-16 11:18:56-02","MNHN","RECOLNAT_MNHN_P","P01530569","PreservedSpecimen",NA,"Pteridophyta","Hypolepis","incisa","Hypolepis incisa","(Kunze) C.Chr.",NA,"Glaziou, A.",NA,NA,"Brésil","Serra dos Orgâos, sur les rochers, chez H.J. Dias","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01530569' target='other'> <mi>dwc_moreinfo</mi></a>","P01530569","P01530569_01",NA,NA,NA,"1880","3","24",NA,NA,NA,NA,NA,NA,NA,NA,"12289","hb",NA,NA,NA,NA,NA,NA,NA
"12","2017-02-16 11:18:56-02","MNHN","RECOLNAT_MNHN_P","P01530570","PreservedSpecimen",NA,"Pteridophyta","Hypolepis","incisa","Hypolepis incisa","(Kunze) C.Chr.",NA,"Riedel, L.",NA,NA,"Brasilia","s.l.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01530570' target='other'> <mi>dwc_moreinfo</mi></a>","P01530570","P01530570_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA
"13","2017-02-16 11:18:56-02","MNHN","RECOLNAT_MNHN_P","P01530571","PreservedSpecimen",NA,"Pteridophyta","Hypolepis","incisa","Hypolepis incisa","(Kunze) C.Chr.",NA,"Riedel",NA,NA,"Brasilia","s.l.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01530571' target='other'> <mi>dwc_moreinfo</mi></a>","P01530571","P01530571_01",NA,NA,NA,"1822","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA
"14","2015-09-03 18:06:42-03","MNHN","RECOLNAT_MNHN_P","P01530572","PreservedSpecimen",NA,"Pteridophyta","Hypolepis","incisa","Hypolepis incisa","(Kunze) C.Chr.",NA,"Ule, E.",NA,NA,"Brésil","No mato da Serra dos Orgaos","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01530572' target='other'> <mi>dwc_moreinfo</mi></a>","P01530572","P01530572_01",NA,NA,NA,"1891","12","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA
"15","2009-07-27 09:32:00-03","MO","MOBOT","3327759","PreservedSpecimen","Plantae","Dennstaedtiaceae","Hypolepis","incisa","Hypolepis incisa","(Kunze ex Mett.) C. Chr.",NA,"Auguste F.M. Glaziou","Glaziou 2336","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"1861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","2728520","PreservedSpecimen","Plantae","Pteridaceae","Cheilanthes","incisa","Cheilanthes incisa","(Kunze) Mett.",NA,"A. F. M. Glaziou","12289","South America","Brazil","Serra da Orgãos, entre rochers. Province de ZJ. [interpreted]",NA,"US01499143","US01499143_01",NA,"Pteridophyte","Polypodiales","1880","3","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","532184","PreservedSpecimen","Plantae","Pteridaceae","Cheilanthes","incisa","Cheilanthes incisa","(Kunze) Mett.",NA,"Glaziou, --","12289","South America","Brazil","Brasilia.",NA,"US01499144","US01499144_01",NA,"Pteridophyte","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
