"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00906996","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","amblyphylla","Myrcia amblyphylla","Kiaersk.","S. F. Smith","A. Macedo","5478","1988","02","15","South America","Brazil","Minas Gerais","Faz. Arantes","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906996","NY00906996_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00907023","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","coelosepala","Myrcia coelosepala","Kiaersk.","D. F. Lima","H. S. Irwin","28856","1971","01","22","South America","Brazil","Minas Gerais","Serra do Espinhaço, lower cut over slopes of Serra da Caraça, sandy slopes near riacho, ca. 10 km W. of Barão de Cocais.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983933' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907023","NY00907023_01","-43.4927778","-20.1263","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","405401","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","coelosepala","Myrcia coelosepala","Kiaersk.",NA,"A. F. M. Glaziou","13893",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414817' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405401","NY00405401_01",NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:45:59-03","EAO","IAN","94261","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Myrcia","coelosepala","Myrcia coelosepala","Kiaersk.",NA,"sc","13893","1907",NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN094261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:14:50-03","ESALQ","ESA","52568","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","coelosepala","Myrcia coelosepala","Kiaersk.","Sobral, M.","Forzza, R.C. et al.","3681.0","2004","11","24",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA052568",NA,"-43.793098449707","-21.8425006866455",NA,NA,NA,"2006","01","01","Lima Duarte","30417","auto",NA,NA,NA,NA,NA,NA
"6","2020-11-04 10:56:24-03","ESALQ","ESA","56113","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","coelosepala","Myrcia coelosepala","Kiaersk.","Lima, D.F.","Stehmann, J.R.","3672.0","2004","12","02",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA056113",NA,"-41.875301361084","-17.4680995941162",NA,NA,NA,"2016",NA,NA,"Novo Cruzeiro","44539","auto",NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:31:30-03","IAP","PACA-AGP","77821","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","coelosepala","Myrcia coelosepala","Kiaersk.",NA,"C. M. B. Correia et al.","216","1990","09","13",NA,"Brasil","RJ","Reserva Ecol. Municipal de Macaé de Cima, Sítio Hum New Baccus",NA,"15m de altura, folhas discolores, botões com cálice verde e corola alva. &nf;RB 307371. Hábito: árvore","PACA077821",NA,"-42.5","-22.55",NA,NA,NA,NA,NA,NA,"Nova Friburgo",NA,NA,"Magnoliatae","42°30'W","22°33'S",NA,NA,NA
"8","2019-11-21 14:40:11-03","UFJF","CESJ","50723","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Myrcia","amblyphylla","Myrcia amblyphylla","Kiaersk.","M. Sobral","F.S. Souza; O.J. Bastos Neto","481","2008","06","26","América do Sul","Brasil","Minas Gerais","Serra Negra, Cachoeira da Água Vermelha",NA,"Arbusto em interior de mata, frutos amadurecendo vináceos. Folhas discolores.","CESJ050723",NA,"-43.8278007507324","-22.0891990661621",NA,NA,NA,"2011",NA,NA,"Rio Preto","20815","auto",NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:40:19-03","UFJF","CESJ","61915","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Myrcia","coelosepala","Myrcia coelosepala","Kiaersk.","K. Antunes","K. Antunes; J.H.C. Ribeiro; F.R.G. Salimena","373","2012","12","01","América do Sul","Brasil","Minas Gerais","Serra Negra, Degredo",NA,"Arbusto 1,5 m alt. Campo quartizítico. Botões jovens","CESJ061915",NA,"-43.937198638916","-21.8607997894287",NA,NA,NA,"2019",NA,NA,"Olaria","15222","auto",NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:40:19-03","UFJF","CESJ","54223","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Myrcia","coelosepala","Myrcia coelosepala","Kiaersk.","M. Sobral","C.N. Matozinhos; N.L. Abreu; J.H.C. Ribeiro; M. Malafaia Filho","449","2009","07","31","América do Sul","Brasil","Minas Gerais","Serra Negra, Ninho da égua",NA,"Arbusto ca. 3m alt. Frutos amarelos a vermelhos.","CESJ054223",NA,"-43.8278007507324","-22.0891990661621",NA,NA,NA,"2010","07",NA,"Rio Preto","20815","auto",NA,NA,NA,NA,NA,NA
