"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","individualCount"
"1","2020-09-23 10:39:26-03","E","E","162580","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","monanthos","Nematanthus monanthos","Davis, P.H., Shepherd, G.J., Makino, H., Silvestre, M.S. & Jung, S.L.","1976","08","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:170497","<a href=http://data.rbge.org.uk/herb/E00162580 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","442020","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","monanthos","Nematanthus monanthos","J. H. Kirkbride Jr.","1972","04","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442020","Magnoliophyta","Lamiales","(Vell.) Chautems","A. Chautems","1733","Rio de Janeiro","Paratí","500 m N of the road in montane rain forest, 17 km from praça da Parati on road from Parati to Cunha","-44.7131","-23.2181","NY00442020_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:30:48-03","UFRJ","RFA","23650","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","monanthos","Nematanthus monanthos","Alexandra Penedo","1993","06","20",NA,"Brasil",NA,NA,"Planta arbórea, heliófila de cor vinosa. Corola gamopétala","RFA51848",NA,NA,"(Vell.) Chautems",NA,"20","Rio de Janeiro","Paraty","Rio do Corisco, APA Cairuçu","-44.7131004333496","-23.2178001403809",NA,"34470","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:02:14-03","JBP","HPL","3091","S","Plantae","Gesneriaceae","Nematanthus","monanthos","Nematanthus monanthos","H. Lorenzi","2001","09","10",NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Vellozo) A. Chautems","H. Lorenzi","2903","RJ","Parati","Coletada na mata atlântica.","-44.7131","-23.2178",NA,"34470","auto","2001","09","10",NA,NA,NA,NA,NA,NA
"5","2020-02-10 17:53:25-03","UNICAMP","UEC","204872","S","Plantae","Gesneriaceae","Nematanthus","monanthos","Nematanthus monanthos","Davis, PH; Shepherd, GJ; Makino, H; Silvestre, MSF; Jung, SL","1976","08","20",NA,"Brazil",NA,NA,"flor, Climbing on tree trunk in rain forest. Flowers rosy red, the corolla humped above the 5-lobed opening (only 1 fl. - pressed separately). Leaves red beneath.","UEC135066","Magnoliopsida",NA,"(Vell.) Chautems","Chautems, A","59749","São Paulo","Ubatuba","Serra do Mar","-45.0699996948242","-23.4300003051758","UEC135066","34265","auto","1983","08","02","20","40",NA,NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","3063855","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","monanthos","Nematanthus monanthos","Joseph H. Kirkbride, Jr.","1972","4","26","South America","Brazil",NA,NA,NA,NA,NA,NA,"(Vell.) Chautems","A.Chautems","Kirkbride, Jr. 1733","Rio de Janeiro",NA,"17 km from praça da Parati on road from Parati to Cunha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2018-09-12 14:48:13-03","UNIOESTE","UNOP","7138","S","Plantae","Gesneriaceae","Nematanthus","monanthos","Nematanthus monanthos","Saka, M.N.; Franco, B.; Franco, B.","2010","06","14",NA,"Brasil",NA,NA,"Interior de mata altântica secundária. Epífita. Pecíolos suculentos, vináceos. Flores sésseis vináceas, com tricomas esbranquiçados. Fruto globoso roxo, com cálice persistente. Prensado em álcool.",NA,NA,NA,"(Vell.) Chautems","Saka, M.N.","57","São Paulo","São Lourenço da Serra","Reserva Particular do Patrimônio Natural Paiol Maria, início da Trilha das Águas até a clareira. Base.","-46.939528","-23.659111",NA,NA,NA,"2011","01",NA,"707","707","-46.939528","-23.659111",NA,NA
"8","2020-07-10 09:46:12-03","MBML","MBML-HERBARIO","43954",NA,"Plantae","Gesneriaceae","Nematanthus","monanthos","Nematanthus monanthos","M.N. Saka; B. Franco","2010","06","14",NA,"Brasil",NA,NA,"Interior de mata atlântica secundária. Epífita. Pecíolos suculentos, vináceos. Flores sésseis, vináceas, com tricomas esbranquiçados. Fruto globoso roxo, com cálice persistente","MBML043954",NA,NA,"(Vell.) Chautems","M.N. Saka/Jan.2011","57","São Paulo","São Lourenço da Serra","Reserva Particular do Patrimônio Natural Paiol Maria, início da Trilha das Águas - clareira - Base.","-46.939722","-23.659167","MBML043954",NA,NA,NA,NA,NA,"707","707","46W56'23","23S39'33",NA,NA
"9","2020-06-17 15:25:12-03","UNESP-RC","HRCB","9156","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","monanthos","Nematanthus monanthos","Ribeiro, J. E. L. S.",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Vell.) Chautems","Alain Chautems (carta)",NA,"São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-15 15:30:46-03","UNESP-RC","HRCB","53416","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","monanthos","Nematanthus monanthos","Saka, M.N.","2010","06","14",NA,"Brasil",NA,NA,"Epífita, pecíolos suculentos, vináceos, flores sésseis, vináceas, com tricomas esbranquiçados. Fruto floboso roxo com cálice persistente.",NA,NA,NA,"(Vell.) Chautems","Saka, M.N.","57","São Paulo","São Lourenço da Serra",NA,"-46.939528","-23.659111",NA,NA,NA,"2011","01",NA,"707","707","46°56'22.3W","23°39'32.8S",NA,NA
"11","2020-06-17 15:25:12-03","UNESP-RC","HRCB","8790","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","monanthos","Nematanthus monanthos","Ribeiro, J. E. L. S.",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Vell.) Chautems","A. Furlan (por comparação)",NA,"São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-17 15:25:12-03","UNESP-RC","HRCB","10627","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","monanthos","Nematanthus monanthos","Ribeiro, J. E. L. S.",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Vell.) Chautems","A. Furlan (por comparação)",NA,"São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-19 11:19:00-03","UFG","UFG","18444","S","Plantae","Gesneriaceae","Nematanthus","monanthos","Nematanthus monanthos","César, R.; Gomes-Klein, V.L.","1996","05","22",NA,"Brasil",NA,NA,"Herbácea sobre restos de um tronco em decomposição. Folhas verdes na face adaxial e com manchas vinosas na face abaxial. Flores com cálice vinoso e corola rósea.","UFG0018444",NA,NA,"(Vell.) Chautems","Chautems, A.","527","Rio de Janeiro","Paraty",NA,"-44.7131004333496","-23.2178001403809","UFG0018444","34470","auto","2000","07","30",NA,NA,NA,NA,NA,NA
