"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","class","identifiedBy","fieldNumber","minimumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","428136","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","reflexa","Couepia reflexa","Ducke","isotype","W. A. Ducke","19757","1927","07","29","South America","Brazil","Pará","Juruty velho","-56.309494","-2.414102","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428136","NY00428136_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:36:47-03","EAO","IAN",NA,"PreservedSpecimen","Plantae","Dicotiledônea",NA,"Chrysobalanaceae","Couepia","reflexa","Couepia reflexa","Ducke",NA,"sc","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:36:47-03","EAO","IAN","50612","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Chrysobalanaceae","Couepia","reflexa","Couepia reflexa","Ducke","isotipo","Ducke, A","s.n.","1927","07","27","Southern America","Brasil","Pará","Juruti Velho,cabeceira Jauari,mata do Planalto argiloso.","-56.0922012329102","-2.15222001075745",NA,"PRANCE (1972: 247) citou: Type. Ducke RB 19757, Brazil, Pará, fl (holotype, RB. Isotypes, IAN, K, NY, P, U).&nf;Ducke, A., 1930 - Plantes nouvelles ou peuconnues de la region amazonienne (IV série). Arch. Jard. Bot. Rio de Janeiro 5: 9","IAN050612",NA,"Jurutí","149924","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:45:23-03","NBC","NL-BOTANY","L 0707025","PreservedSpecimen","Plantae",NA,"Malpighiales","Chrysobalanaceae","Couepia","reflexa","Couepia reflexa","Ducke",NA,"Forest Department (Guyana)",NA,NA,NA,NA,"Southern America","Guyana",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200707025 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0707025",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:45:23-03","NBC","NL-BOTANY","U 0001081","PreservedSpecimen","Plantae",NA,"Malpighiales","Chrysobalanaceae","Couepia","reflexa","Couepia reflexa","Ducke","isotype","Ducke A",NA,"1927","07","29","Southern America","Brazil","Pará","Juruty Velho (civ. Pará)",NA,NA,NA,"terris elevatis silva primaria<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200001081 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0001081","NL-U0001081",NA,NA,NA,"Magnoliopsidae","Ducke A",NA,NA,NA,NA,NA
"6","2011-10-10 16:22:31-03","MNHN","RECOLNAT_MNHN_P","P00741106","PreservedSpecimen",NA,NA,NA,"Chrysobalanaceae","Couepia","reflexa","Couepia reflexa","Ducke","isotype","Ducke, A.",NA,"1927","7","29",NA,"Brésil",NA,"Juruty Velko (circ. Para) silva terris altis ultra lacum.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00741106' target='other'> <mi>dwc_moreinfo</mi></a>","P00741106","P00741106_01",NA,NA,NA,NA,"Ducke","19757",NA,NA,NA,NA
"7","2015-10-06 18:16:22-03","MNHN","RECOLNAT_MNHN_P","P00741107","PreservedSpecimen",NA,NA,NA,"Chrysobalanaceae","Couepia","reflexa","Couepia reflexa","Ducke","isotype","Ducke, A.",NA,"1927","7","29",NA,"Brésil",NA,"Juruty Velko (circ. Para) silva terris altis ultra lacum.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00741107' target='other'> <mi>dwc_moreinfo</mi></a>","P00741107","P00741107_01",NA,NA,NA,NA,"Ducke","19757",NA,NA,NA,NA
"8","2011-08-15 11:04:00-03","MO","MOBOT","3045644","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","reflexa","Couepia reflexa","Ducke",NA,"Pierre A. Loizeau","Loizeau 409","1985","10","17","South America","Peru","Loreto","Spécimen récolté dans le cadre de la convention CJBG - IC - IIAP au Centre de Recherche de Jenaro Herrera.","-73.75","-4.91666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120.00000000",NA,NA,NA
"9","2011-08-15 11:04:00-03","MO","MOBOT","3045646","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","reflexa","Couepia reflexa","Ducke",NA,"Pierre A. Loizeau","Loizeau 391","1985","10","15","South America","Peru","Loreto","Spécimen récolté dans le cadre de la convention CJBG - IC - IIAP au Centre de Recherche de Jenaro Herrera.","-73.75","-4.91666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120.00000000",NA,NA,NA
"10","2011-08-15 11:04:00-03","MO","MOBOT","3045647","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","reflexa","Couepia reflexa","Ducke",NA,"Pierre A. Loizeau","Loizeau 387","1985","10","15","South America","Peru","Loreto","Spécimen récolté dans le cadre de la convention CJBG - IC - IIAP au Centre de Recherche de Jenaro Herrera.","-73.75","-4.91666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120.00000000",NA,NA,NA
"11","2009-07-17 09:47:00-03","MO","MOBOT","3156733","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","reflexa","Couepia reflexa","Ducke",NA,"A. Ducke","Ducke 19757",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2009-07-17 09:47:00-03","MO","MOBOT","3157130","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","reflexa","Couepia reflexa","Ducke",NA,"A. Ducke","Ducke 19757","1927",NA,NA,"South America","Brazil",NA,"Juruty Velho ( civ. Parn) terri eleratis silva primaria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A Ducke",NA,NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","1441635","PreservedSpecimen","Plantae",NA,"Rosales","Rosaceae","Couepia","reflexa","Couepia reflexa","Ducke","Isotype","A. Ducke","19757","1927","7","29","South America - Neotropics","Brazil","Pará","Juruty Velho.",NA,NA,NA,NA,"US00130945","US00130945_01",NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA,NA
"14","2019-09-04 19:11:54-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Chrysobalanaceae","Couepia","reflexa","Couepia reflexa",NA,"Isotype","A. Ducke",NA,NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"15","2019-09-04 18:19:20-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Chrysobalanaceae","Couepia","reflexa","Couepia reflexa",NA,"Isotype","A. Ducke",NA,"1927","7","29","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"16","2015-03-07 08:43:13-03","F","FMNH-SEEDPLANTS","V0184554F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Chrysobalanaceae","Couepia","reflexa","Couepia reflexa",NA,NA,NA,NA,NA,NA,NA,"South America","Peru",NA,NA,"-74.14","-9.1839",NA,NA,"V0184554F","V0184554F_01",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"17","2014-09-23 10:57:04-03","G","G","G00359624","S","Plantae",NA,NA,"Chrysobalanaceae","Couepia","reflexa","Couepia reflexa","Ducke","ISOTYPUS of Couepia reflexa Ducke","Ducke, A.","19757","1927","07","29","AMERIQUE DU SUD","Brazil","Pará",NA,"-52.53","-5.64861111",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=263838&base=img&lang=en","G00359624","G00359624",NA,NA,NA,NA,"Ducke, A.",NA,NA,NA,"-52.53","-5.64861111"
