"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","locality","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","23371","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","compactinervium","Aspidosperma compactinervium","Kuhlm.","isotype","P. Occhioni","6853","1922","02","22","South America","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797","sheet","'5' in the collection number is not clear <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00023371","NY00023371_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1546543","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","compactinervium","Aspidosperma compactinervium","Kuhlm.","syntype","Pessoal do Horto Florestal","119","1928","05","16","South America","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1893542' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546543","NY01546543_01","Mattas do Pae Ricardo, perto de sede do Horto Florestal","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1546544","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","compactinervium","Aspidosperma compactinervium","Kuhlm.","syntype","Pessoal do Horto Florestal","119[= herb. RB 61163]","1926","12","02","South America","Brazil","Rio de Janeiro",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1893541' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546544","NY01546544_01","Rio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1546545","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","compactinervium","Aspidosperma compactinervium","Kuhlm.","syntype","Pessoal do Horto Florestal","119[ = herb. RB 116926","1926","11","16","South America","Brazil","Rio de Janeiro",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1893538' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546545","NY01546545_01","Matta do Pae Ricardi, Rio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","970547","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","compactinervium","Aspidosperma compactinervium","Kuhlm.",NA,"Pessoal do Horto Florestal","s.n.","1926","11","16","South America","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970547","NY00970547_01 NY00970547_02","Do Pai Ricardo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","970548","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","compactinervium","Aspidosperma compactinervium","Kuhlm.",NA,"Pessoal do Horto Florestal","s.n.","1928","05","16","South America","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970548","NY00970548_01","Do Pai Ricardo, perto da se [illgible] de do H. Florestal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1546542","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","compactinervium","Aspidosperma compactinervium","Kuhlm.","syntype","P. Occhioni","s.n. [ = herb. RB 6853","1922","02","22","South America","Brazil","Rio de Janeiro",NA,"-43.212076","-22.951842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1893544' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546542","NY01546542_01","Corcovado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:20:37-03","MN","R","26972","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","compactinervium","Aspidosperma compactinervium","Kuhlm.",NA,NA,NA,"1932","12","23",NA,"Brasil","São Paulo",NA,NA,NA,NA,"Inspectoria Florestal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:20:37-03","MN","R","201040","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","compactinervium","Aspidosperma compactinervium","Kuhlm.",NA,"Quinet, C.G.P. 209; Caruso, J.",NA,"2000","12","16",NA,"Brasil","Rio de Janeiro","Mangaratiba","-44.040599822998","-22.9596996307373",NA,NA,NA,NA,NA,"17272","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:21:37-03","UNICAMP","UEC","158465","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Aspidosperma","compactinervium","Aspidosperma compactinervium","Kuhlm.",NA,"Santos, MF; Serafim, H","449","2007","05","20",NA,"Brazil","Minas Gerais","Itambé do Mato Dentro","-43.431333","-19.414444",NA,"Árvore, 6m. Folhas com face adaxial verde-escura, brilhante. Estéril. Material prensado em álcool.","UEC015085","UEC015085","APA do Parque Nacional da Serra do Cipó, Distrito de Santana do Tio Preto (Cabeça de Boi). Margem do córrego Cipó, à meia altura da serra.",NA,NA,"Castello, ACD","2018","06","-43.431333","-19.414444",NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:21:37-03","UNICAMP","UEC","169959","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Aspidosperma","compactinervium","Aspidosperma compactinervium","Kuhlm.",NA,"Rochelle, ALC","J1031",NA,NA,NA,NA,"Brazil","São Paulo","Ubatuba","-45.084167","-23.366667",NA,"Indivíduo J1031 da Parcela J do Projeto Temático BIOTA-Gradiente Funcional.","UEC041735","UEC041735","Fazenda Capricórnio - Bairro Taquaral, Floresta Ombrófila Densa Submontana.",NA,NA,"Castello, ACD","2018","12","-45.084167","-23.366667","450","450",NA,NA,NA,NA
"12","2021-03-01 16:21:37-03","UNICAMP","UEC","205854","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Aspidosperma","compactinervium","Aspidosperma compactinervium","Kuhlm.",NA,"Scudeler, AL; Messias, PA; Castello, ACD","267","2016","10","05",NA,"Brazil","Espírito Santo","Linhares","-40.0685","-19.141694",NA,"Árvore, ca. 22 m, tronco bem enrelaçado, lembrando uma trança, látex nos ramos, cálice seco","UEC191116","UEC191116","Reserva Natural da Vale",NA,NA,"Pereira, AS de S","2019","08","-40.0685","-19.141694",NA,NA,"19",NA,NA,NA
"13","2019-08-20 10:03:00-03","UNICAMP","UEC","75573","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Aspidosperma","compactinervium","Aspidosperma compactinervium","Kuhlm.",NA,"Árbocz, GF","647","1994","08","16",NA,"Brazil","Minas Gerais","Carmo do Parnaíba",NA,NA,NA,"fruto, Árvore, copa piramidal, frutos marrom avermelhados deiscentes. Folhas verdes escuras brilhantes. Sementes marrons escuro. Altura + ou - 15 m, 20 cm DAP. Madeira dura, tronco reto, casca fissurada.","UEC037210","UEC037210","Margem da rodovia",NA,NA,"Castello, ACD","2018","12",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:21:37-03","UNICAMP","UEC","95427","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Aspidosperma","compactinervium","Aspidosperma compactinervium","Kuhlm.",NA,"Souza, SB","1198","1994","08","21",NA,"Brazil","Minas Gerais","Monte Belo","-46.3675003051758","-21.3264007568359",NA,"Árvore, material estéril na trilha 5 - 32 nº 127; Mata da Olaria.","UEC026688","UEC026688","Fazenda Lagoa","16667","auto","Marcondes-Ferreira, W","2016","07",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:21:37-03","UNICAMP","UEC","95612","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Aspidosperma","compactinervium","Aspidosperma compactinervium","Kuhlm.",NA,"Souza, SB","1298","1994","08","24",NA,"Brazil","Minas Gerais","Monte Belo","-46.3675003051758","-21.3264007568359",NA,"Árvore, nome vulgar: brasa-viva.","UEC020428","UEC020428","Mata da Olaria, fazenda Lagoa, na trilha 10.198 nº placa 784.","16667","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-08-20 10:03:00-03","UNICAMP","UEC","150236","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Aspidosperma","compactinervium","Aspidosperma compactinervium","Kuhlm.",NA,"Bertoncello, R; Pansonato, M","850","2007","02","26",NA,"Brazil","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"Parque Estadual Serra do Mar, Morro do Cuscuzeiro","34265","auto","Bertoncello, R","2008",NA,NA,NA,"970","970",NA,NA,NA,NA
