"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","country","county","barcode","imagecode","identifiedBy","yearIdentified","recordedBy","year","month","day","stateProvince","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","locality","preparationType","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:25:58-03","UNESC","CRI","10638","PreservedSpecimen","Plantae","Rosaceae","Acaena","eupatoria","Acaena eupatoria","Cham. & Schltdl.","Brasil","-","CRI008995","CRI008995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:03-03","UNESC","CRI","2139","PreservedSpecimen","Plantae","Rosaceae","Acaena","eupatoria","Acaena eupatoria","Cham. & Schltdl.","Brasil","Curitibanos","CRI008996","CRI008996","S. F. Smith","1992","Reitz e Klein","1962","10","24","Santa Catarina","-50.584722","-27.283056","50º35'5''W","27º16'59''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:03-03","UNESC","CRI","6941","PreservedSpecimen","Plantae","Rosaceae","Acaena","eupatoria","Acaena eupatoria","Cham. & Schltdl.","Brasil","Brasil","CRI008991","CRI008991","Reitz e Klein",NA,"Reitz e Klein","1962","10","24",NA,NA,NA,NA,NA,"13339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:03-03","UNESC","CRI","967","PreservedSpecimen","Plantae","Rosaceae","Acaena","eupatoria","Acaena eupatoria","Cham. & Schltdl.","Brasil","Cambará do Sul","CRI008993","CRI008993",NA,NA,"Vanilde Citadini-Zanette; Pulo Brack","1991","11","30","Rio Grande do Sul","-50.145","-29.048333","50º8'42''W","29º2'54''S","1267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:03-03","UNESC","CRI","6868","PreservedSpecimen","Plantae","Rosaceae","Acaena","eupatoria","Acaena eupatoria","Cham. & Schltdl.","Brasil","Ponte Alta","CRI008994","CRI008994","S. F. Smith","1992","Reitz e Klein","1962","10","24","Santa Catarina","-50.379444","-27.478611","50º22'46''W","27º28'43''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:03-03","UNESC","CRI","4488","PreservedSpecimen","Plantae","Rosaceae","Acaena","eupatoria","Acaena eupatoria","Cham. & Schltdl.","Brasil","Curitibanos","CRI008992","CRI008992","Vanilde Citadini- Zanette",NA,"V. P. Boff","1996","01","18","Santa Catarina","-50.584722","-27.283056","50º35'5''W","27º16'59''S",NA,"1003","1003","Habito: erva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","653470","PreservedSpecimen","Plantae","Rosaceae","Acaena","eupatoria","Acaena eupatoria","Cham. & Schltdl.","Brazil",NA,"NY00653470","NY00653470_01","R. McVaugh",NA,"J. E. Leite","1941","12",NA,"Rio Grande do Sul",NA,NA,NA,NA,"718",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41392' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales","South America","São Salvador","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","653478","PreservedSpecimen","Plantae","Rosaceae","Acaena","eupatoria","Acaena eupatoria","Cham. & Schltdl.","Uruguay",NA,"NY00653478","NY00653478_01","W. G. F. Herter",NA,"W. G. F. Herter","1929","11","02","San José",NA,NA,NA,NA,"916A","30","30","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41393' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales","South America","San José","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","653474","PreservedSpecimen","Plantae","Rosaceae","Acaena","eupatoria","Acaena eupatoria","Cham. & Schltdl.","Brazil",NA,"NY00653474","NY00653474_01","L. B. Smith",NA,"R. Reitz","1958","10","23","Santa Catarina",NA,NA,NA,NA,"7410","1400","1400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41394' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales","South America","Serra do Oratório, Bom Jardim, S. Joaquim","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","653471","PreservedSpecimen","Plantae","Rosaceae","Acaena","eupatoria","Acaena eupatoria","Cham. & Schltdl.","Brazil","Sao Francisco de Paula","NY00653471","NY00653471_01","S. F. Smith",NA,"R. A. Wasum","1999","11","07","Rio Grande do Sul","-50.6642","-29.3461",NA,NA,"257","830","830","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41391' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales","South America","RS 235","sheet",NA,NA,NA,NA,NA,NA,NA,NA
