"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","identifiedBy","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","typeStatus","class","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01873940","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","gardneri","Picramnia gardneri","G.Planch.","E. G. A. Martins","170","2010","04","13","South America","Brazil","São Paulo","Cubatão","Parque Ecológico do Perequê. Margem esquerda ao final da trilha da cachoeira, antes da travessia do rio.","-46.41617","-23.84883","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2958054' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873940","NY01873940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","879081","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","gardneri","Picramnia gardneri gardneri","G.Planch.","F. Búgola-Silva","8124","2008","04","24","South America","Brazil","São Paulo","Santo André","Paranapiacaba, Trilha da Pontinha","-46.297311","-23.769289","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00879081","NY00879081_01","gardneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","571997","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","gardneri","Picramnia gardneri gardneri","G.Planch.","L. M. Nascimento","239","1999","06","16","South America","Brazil","Pernambuco","Brejo da Madre de Deus","Mata do Malhada","-36.3711013793945","-8.14583015441895","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571997","NY00571997_01","gardneri","L. M. Nascimento","34231","565","960","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","571990","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","gardneri","Picramnia gardneri gardneri","G.Planch.","L. M. Nascimento","325","2000","02","29","South America","Brazil","Pernambuco","Brejo da Madre de Deus","Brejo da Madre de Deus-PE. Mata do Malhada","-36.3711013793945","-8.14583015441895","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460510' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571990","NY00571990_01","gardneri",NA,"34231","565","960","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:32:59-03","EAO","IAN","139339","PreservedSpecimen","Plantae",NA,NA,"Picramniaceae","Picramnia","gardneri","Picramnia gardneri","G.Planch.","Heringer, EP","11911","1969","10","22","Southern America","Brasil","Espírito Santo","Iuna","Fazenda da Laranjeira da Terra .","-41.5358009338379","-20.3458003997803",NA,"Arbusto do subtrato da mata virgem.","IAN139339",NA,NA,"Pirani, JR","32198",NA,NA,"auto","1988",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:22:34-03","UFBA","ALCB","34952","PreservedSpecimen","Plantae","Dicotyledon",NA,"Picramniaceae","Picramnia","gardneri","Picramnia gardneri","Planch.","Thomas, W; Carvalho, AM de; Jardim, JG; Silva, LM; Sant'Ana, SC de","s/n","1994","09","16","Southern America","Brasil","Bahia","Ilhéus","Litoral Sul, 3km ao norte da rodoviária, Mata da Esperança, Floresta ao norte do dique reservatório","-39.069167","-14.781944",NA,"2m de altura, folhas subcoriáceas, face adaxial verde lustroso, levemente mais pálida embaixo, racemo arqueado e pedente, pedicelo vermelho.; Substrato argiloso.","ALCB069015",NA,NA,"Pirani, JR",NA,NA,NA,NA,"1995","-39.069167","-14.781944",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:22:34-03","UFBA","ALCB","23839","PreservedSpecimen","Plantae","Dicotyledon",NA,"Picramniaceae","Picramnia","gardneri","Picramnia gardneri septentrionalis","Pirani","Guedes, ML","2179","1989","10","24","Southern America","Brasil","Pernambuco","Recife","Mata de Dois Irmãos","-34.866667","-8.05",NA,"3m de altura. Folhas cartáceas, frutos amarelos.","ALCB069014",NA,"septentrionalis",NA,NA,NA,NA,NA,NA,"-34.866667","-8.05",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 12:18:03-03","ESALQ","ESA","85065","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Picramniaceae","Picramnia","gardneri","Picramnia gardneri","Planch.","Urbanetz, C.; Déstro, G.F.G.; Moreira-Coneglian, I.R.; Harder, I.C.F.; Muniz, M.R.A.; Paula-Souza, J.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.","137.0","2003","04","22",NA,"Brasil","São Paulo","Eldorado","Parque Estadual Intervales, Trilha de acesso à Estação Ecológica Xitué. Vegetação Secundária de Floresta Ombrófila Densa Montana, com intenso histórico de degradação, a partir de extrativismo seletivo de palmito e madeira, com vários trechos dominados por","-48.36",NA,NA,"Árvore de 2,5m, frutos maduros vermelho queimado","ESA085065",NA,NA,"Rodrigues, R.R.",NA,"790","790",NA,NA,"-48.36","-24,284,167",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:18:03-03","ESALQ","ESA","50330","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Picramniaceae","Picramnia","gardneri","Picramnia gardneri",NA,"Carboni, M. et al.","188.0","2005","03","29",NA,"Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,"ESA050330",NA,NA,NA,"37574",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 12:18:03-03","ESALQ","ESA","80759","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Picramniaceae","Picramnia","gardneri","Picramnia gardneri","Planch.","Gomes, S.M.; Antunes, R.M.; Gomes, P.B.; Nakakura, H.C.C.; Melo, M.S.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","425.0","2002","04","21",NA,"Brasil","São Paulo","Sete Barras","Parque Estadual de Carlos Botelho, Núcleo Sete Barras. Estrada Estadual São Miguel Arcanjo-Sete Barras (SP139, Km69), beira do Rio Bonito. Floresta Ombrófila Densa Montana. Borda de mata no entorno do Rio Bonito.","-47.9199981689453","-24.3799991607666",NA,"Arvoreta de 3m. Frutos vermelhos.","ESA080759",NA,NA,"Pirani, J.R.","34059",NA,NA,"auto",NA,"-47,994,167","-24,141,667",NA,NA,NA,NA,NA,NA,NA
