"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","3108367","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Apinagia","riedelii","Apinagia riedelii","(Bong.) Tul.","C. T. Philbrick","H. Medeiros","1726","2015","06","01","South America","Brazil","Rondônia","Machadinho d'Oeste","Distrito de Tabajara, estrada entre a Vila Tabajara e Cachoeira 2 de Novembro.","-62.11233","-8.92583","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3651728' target='other'> <mi>dwc_moreinfo</mi></a>","NY03108367","NY03108367_01 NY03108367_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 21:42:00-03","NY","NYBG","00918680","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Apinagia","riedelii","Apinagia riedelii",NA,"P. van Royen","A. F. M. Glaziou","21987","1895","08","10","South America","Brazil","Goiás",NA,"Brésil, Goyaz, Cachoeira do Rio dos Indios, [illegible] Serra Dourada,",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918680","NY00918680_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","686586","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Apinagia","riedelii","Apinagia riedelii","(Bong.) Tul.","C. T. Philbrick","G. G. Hatschbach","19108","1968","04","23","South America","Brazil","Paraná","Guairá","Sete Quedas","-54.2556","-24.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02688381","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Apinagia","riedelii","Apinagia riedelii","(Bong.) Tul.","C. T. Philbrick","H. Medeiros","1726","2015","06","01","South America","Brazil","Rondônia","Machadinho d'Oeste","Distrito de Tabajara, estrada entre a Vila Tabajara e Cachoeira 2 de Novembro.","-62.11233","-8.92583","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3268954' target='other'> <mi>dwc_moreinfo</mi></a>","NY02688381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00918679","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Apinagia","riedelii","Apinagia riedelii","(Bong.) Tul.","C. T. Philbrick","J. M. Pires","9754","1963","05","10","South America","Brazil","Goiás",NA,"Entre Brasília e Niquelândia.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918679","NY00918679_01 NY00918679_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","527536","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Apinagia","riedelii","Apinagia riedelii","(Bong.) Tul.","C. T. Philbrick","J. C. Lindeman","4423","1967","01","24","South America","Brazil","Paraná","Guairá","Sete Quedes, waterfall system in Rio Paraná near Guaíra","-54.2556","-24.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761146' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 21:42:00-03","NY","NYBG","00918681","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Apinagia","riedelii","Apinagia riedelii",NA,"P. van Royen","A. F. M. Glaziou","21981","1894","08","12","South America","Brazil","Goiás",NA,"Brésil. Rio Babylonia, Goyaz.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990510' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918681","NY00918681_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00918682","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Apinagia","riedelii","Apinagia riedelii","(Bong.) Tul.","C. T. Philbrick","E. C. de Oliveira Filho","s.n.","1988","09","24","South America","Brazil","Mato Grosso do Sul","Coxim","Rio Taquari Cachoeira das Palmeiras.","-54.75","-18.491","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990513' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918682","NY00918682_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-30 14:31:00-03","NY","NYBG","1921548","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Apinagia","riedelii","Apinagia riedelii",NA,"C. T. Philbrick","J. M. Pires","9970","1965","06","28","South America","Brazil","Rondônia",NA,"Rio Jamari, Cachoeira de Santa Cruz.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2285089' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921548","NY01921548_01 NY01921548_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3108366","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Apinagia","riedelii","Apinagia riedelii","(Bong.) Tul.","C. T. Philbrick","H. Medeiros","1834","2015","06","07","South America","Brazil","Rondônia","Ji-Paraná","Reserva Biológica do Jaru. Rio Machado entre a sede do ICMBio e o limite Sul do parque.","-61.98172","-10.19128","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3651726' target='other'> <mi>dwc_moreinfo</mi></a>","NY03108366","NY03108366_01 NY03108366_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
