"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00959452","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","aristata","Chamaecrista aristata","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","R. de Mello-Silva","CFCR10016","1986","09","02","South America","Brazil","Minas Gerais","Grão Mogol","Rib. dos Bois","-42.8894","-16.5594","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959452","NY00959452_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00959453","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","aristata","Chamaecrista aristata","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","R. de Mello-Silva","451","1991","06","12","South America","Brazil","Minas Gerais","Grão Mogol","Extremidade norte da Serra da Bocaina, na rodovia BR 251. Nascente do Rio Ventania","-42.8894","-16.5594",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959453","NY00959453_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00959456","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","aristata","Chamaecrista aristata","(Benth.) H.S.Irwin & Barneby",NA,"H. S. Irwin","23409","1969","02","16","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 7 km west of Grão Mogol","-42.8943","-16.5648","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031352' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959456","NY00959456_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00959450","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","aristata","Chamaecrista aristata","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","M. L. Kawasaki","CFCR8071","1985","08","31","South America","Brazil","Minas Gerais",NA,"Joaquim Felício. Serra do Cabral",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031332' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959450","NY00959450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00959455","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","aristata","Chamaecrista aristata","(Benth.) H.S.Irwin & Barneby",NA,"B. Maguire","49210","1960","08","16","South America","Brazil","Minas Gerais",NA,"Serra Grao Mogul, north base of mountain.",NA,NA,"600","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031351' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959455","NY00959455_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00978863","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","aristata","Chamaecrista aristata","(Benth.) H.S.Irwin & Barneby","J. G. Rando","A. M. V. de Carvalho","6548","1998","08","02","South America","Brazil","Minas Gerais","Grão Mogol","Grao Mogol, atrás da cidade. Trilha do Barão","-42.895","-16.55",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210763' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978863","NY00978863_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00959449","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","aristata","Chamaecrista aristata","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","G. G. Hatschbach","41465","1978","07","22","South America","Brazil","Minas Gerais","Grão Mogol","Grao-Mogol","-42.8894","-16.5594",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031326' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959449","NY00959449_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00959451","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","aristata","Chamaecrista aristata","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","D. C. Zappi","CFCR9858","1986","07","23","South America","Brazil","Minas Gerais","Grão Mogol","Córrego Escurinha","-42.8894","-16.5594","740","740","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959451","NY00959451_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00959454","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","aristata","Chamaecrista aristata","(Benth.) H.S.Irwin & Barneby",NA,"G. Martinelli","11236","1985","07","21","South America","Brazil","Minas Gerais","Grão Mogol","Estrada para Cristália, e a 4-6 km de Grao Mogol, próximo ao rio Itacambirissú","-42.8894","-16.5594","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031350' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959454","NY00959454_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:39:34-03","EAO","IAN","107964","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Cassia","aristata","Cassia aristata","Mart.","Irwin, HS","Magalhães, MG","18093","1960","08",NA,"Southern America","Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"IAN107964",NA,"1966","67219","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:08:51-03","ESALQ","ESA","61986","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Chamaecrista","aristata","Chamaecrista aristata","(Benth.) H.S.Irwin & Barneby",NA,"Hatschbach, G. et al.","67980.0","1998","07","18",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"ESA061986","ESA061986","1998","67219","auto","01","01",NA,NA,NA,NA,NA,NA
