"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","typeStatus","individualCount"
"1","2021-04-05 14:24:59-03","UNESC","CRI","13924","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Gustavo Heiden","2018","08","04","Alexandre Medeiros","941","2018","08","04","Brasil","Santa Catarina","Balneário Camboriú","Estaleirinho APA Costa Brava","-48.592778","-27.0525","48º35'34''W","27º3'9''S","Flores brancas Habitat: Terrestre Habito: subarbustivo","CRI012535","CRI012535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","801356","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini",NA,NA,NA,NA,"R. Reitz","264","1952","06","05","Brazil","Santa Catarina","Laguna","Laguna","-48.781687","-28.480425",NA,NA,"[Collector number: 2 64.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801356","NY00801356_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","801353","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","E. M. Zardini",NA,NA,NA,"G. G. Hatschbach","42230","1973","04","30","Brazil","Santa Catarina",NA,"Garopaba",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521768' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801353","NY00801353_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","801354","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini",NA,NA,NA,NA,"G. G. Hatschbach","41024","1978","02","13","Brazil","Santa Catarina","Imbituba","Nova Esperança","-48.6703","-28.24",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801354","NY00801354_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","801355","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","44907","1982","05","10","Brazil","Santa Catarina",NA,"Rod. BR-101, Guarita",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521769' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801355","NY00801355_01","Magnoliophyta","Asterales","South America","sheet","3","5",NA,NA,NA,NA,NA
"6","2019-10-09 11:11:01-03","UFBA","ALCB","034522","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Haschbach, G","1992",NA,NA,"Hatschbach, G; Silva, JM","57896","1992","08","21","Brasil","Santa Catarina","Imbituba","Praia Boa Esperança","-48.666667","-28.233333","-48.666667","-28.233333","Prostrada, capítulos amarelos, lígulas alvas.",NA,NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:11:01-03","UFBA","ALCB","128931","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Gaio, J","2015","08",NA,"Gaio, J; Demeda, C; Gonzatti, F","433","2015","07","12","Brasil","Rio Grande do Sul","Osório","Rodovia Estrada do Mar","-50.237778","-29.902778","-50.237778","-29.902778","com indumento glanduloso; Margens da via","ALCB046468","ALCB046468","Dicotyledon",NA,"Southern America",NA,"13","13",NA,NA,NA,NA,NA
"8","2019-10-09 11:11:01-03","UFBA","ALCB","128941","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Gaio, J","2015","06",NA,"Gonzatti, F; Valduga, E","1705","2015","04","18","Brasil","Rio Grande do Sul","Osório","Butizal paralelo à Estrada do Mar","-50.223889","-29.889167","-50.223889","-29.889167","sub-ereto com lígulas em sua maioria brancas, algumas rosada. Espécie ameaçada; campo pastejado","ALCB046478","ALCB046478","Dicotyledon",NA,"Southern America",NA,"21","21",NA,NA,NA,NA,NA
"9","2019-10-09 11:11:01-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Haschbach, G","1992",NA,NA,"Hatschbach, G; Silva, JM","57896","1992","08","21","Brasil","Santa Catarina","Imbituba","Praia Boa Esperança","-48.666667","-28.233333","-48.666667","-28.233333","Prostrada, capítulos amarelos, lígulas alvas.",NA,NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-02-15 11:34:23-02","IPA","IPA","77065","S","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Gaio, J.","2015","08","06","Gaio, J.; Demeda, C.; Gonzatti, F.; Demeda, C.; Gonzatti, F.","433","2015","07","12","Brasil","Rio Grande do Sul","Osório","Rodovia Estrada do Mar. Margens da via.","-50.237778","-29.902778","-50.237778","-29.902778","Subarbusto com indumento glanduloso.","IPA0077065","IPA0077065","Plantae",NA,"Southern America",NA,"13","13",NA,NA,NA,NA,NA
