"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","378162","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","angustifolia","Hirtella angustifolia","Schott ex Spreng.","G. T. Prance","G. H. von Langsdorff","s.n.","South America","Brazil","Rio de Janeiro","Magé","Mandiocca","-43.0406","-22.6531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601959' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378162","NY00378162_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","378160","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","angustifolia","Hirtella angustifolia","Schott ex Spreng.","G. T. Prance","P. E. Gibbs","3522","South America","Brazil","São Paulo",NA,"Sao Sebastiao - Bertioga","-45.71323","-23.771129","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601952' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378160","NY00378160_01","1976","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","378164","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","angustifolia","Hirtella angustifolia","Schott ex Spreng.","G. T. Prance","G. H. von Langsdorff","s.n.","South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601957' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378164","NY00378164_01","1817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","822704","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","angustifolia","Hirtella angustifolia","Schott ex Spreng.","G. T. Prance","J. G. Jardim","3078","South America","Brazil","Bahia","Uruçuca","Parque Estadual Serra do Conduru. Rod. Serra Grande/Uruçuca ca. 9.4 km. Serra do COnduru vertente E.","-39.10194444","-14.485","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822704","NY00822704_01","2000","07","27","250","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","378158","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","angustifolia","Hirtella angustifolia","Schott ex Spreng.","G. T. Prance","P. E. Gibbs","3522","South America","Brazil","São Paulo",NA,"Sao Sebastiao-Bertioga","-45.71323","-23.771129","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601951' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378158","NY00378158_01","1976","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","378159","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","angustifolia","Hirtella angustifolia","Schott ex Spreng.","G. T. Prance","A. M. V. de Carvalho","647","South America","Brazil","Bahia","Una","Estrada Olivenca/Vila Brasil, 33 km ao SW de Olivenca. Maruim, fazenda 2 de Julho.","-39.1202492","-15.1148921","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601953' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378159","NY00378159_01","1981","04","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","378161","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","angustifolia","Hirtella angustifolia","Schott ex Spreng.","G. T. Prance","G. H. von Langsdorff","s.n.","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Corcovado","-43.212076","-22.951842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601958' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378161","NY00378161_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","378166","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","angustifolia","Hirtella angustifolia","Schott ex Spreng.","G. T. Prance","Collector unspecified",NA,"South America","Brazil","Rio de Janeiro","Cabo Frio","Cabo Frio","-42.032149","-22.874703","sheet","The label is a NYBG blank on which is typed, Collected by Netto, Glaziou, & Schwacke, probably copied from a label at R, and probably indicating that the species had been collected by each of these three people, but not by the three of them as a team. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601950' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378166","NY00378166_01","1881","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","428168","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","angustifolia","Hirtella angustifolia","Schott ex Spreng.",NA,"H. W. Schott","4970","South America","Brazil",NA,NA,"Porto d'Estrella",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428168","NY00428168_01",NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","685304","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","angustifolia","Hirtella angustifolia","Schott ex Spreng.","G. T. Prance","H. de F. Leitão Filho","1396","South America","Brazil","São Paulo","Sao Paulo","Rod. Parique-açu - Iguape.","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=888472' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685304","NY00685304_01","1972","11","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
