"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","occurrenceRemarks","phylum","order","continentOcean","preparationType","locality","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","infraspecificEpithet","relationshipType","sex"
"1","2021-04-05 14:33:25-03","UNESC","CRI","314","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","tiliacea","Ipomoea tiliacea","(Willd.) Choisy","Vanilde C. Zanette","Vanilde C. Zanette","1986","04","24","Brasil","Santa Catarina","Tubarão","-49.007222","-28.467222","49º0'26''W","28º28'2''S","11","11","CRI006650","CRI006650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:25-03","UNESC","CRI","10097","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","tiliacea","Ipomoea tiliacea","(Willd.) Choisy","P.P.A. Ferreira","P.P.A. Ferreira; S.T.S. Miotto & J.Durigon","2011","02","24","Brasil","Santa Catarina","Morro da Fumaça","-49.210278","-28.651389","49º12'37''W","28º39'5''S","22","22","CRI006621","CRI006621","2011","02","24","671","Habito: trepadeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 20:25:00-03","NY","NYBG","684672","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","tiliacea","Ipomoea tiliacea",NA,"C. A. O'Donell","A. F. M. Glaziou",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"NY00684672","NY00684672_01",NA,NA,NA,"4137","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=897451' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","486336","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","tiliacea","Ipomoea tiliacea","(Willd.) Choisy","P. P. A. Ferreira","G. G. Hatschbach","1966","03","24","Brazil","Paraná","Antonina","-48.746413","-25.311204",NA,NA,NA,NA,"NY00486336",NA,NA,NA,NA,"14130","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=662522' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet","Cacatu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01922831","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","tiliacea","Ipomoea tiliacea","(Willd.) Choisy",NA,"E. P. Killip","1929","10","23","Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,"NY01922831","NY01922831_01",NA,NA,NA,"30211","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2157056' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet","Breves, Amazon estuary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02691928","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","tiliacea","Ipomoea tiliacea","(Willd.) Choisy","D. Cárdenas-López","D. Cárdenas-López","2010","10","17","Colombia","Caquetá","Albania","-75.73694444","1.276111111",NA,NA,"250",NA,"NY02691928","NY02691928_01",NA,NA,NA,"40445","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2352604' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet","vía Morelia-Valparaíso, río Pescado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","486300","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","tiliacea","Ipomoea tiliacea","(Willd.) Choisy","P. P. A. Ferreira","J. Prado","1993","01","19","Brazil","Paraná","Guaraqueçaba","-48.32","-25.27",NA,NA,NA,NA,"NY00486300","NY00486300_01",NA,NA,NA,"411","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=54271' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet","Restinga atrás da vila de Superagui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1430226","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","tiliacea","Ipomoea tiliacea","(Willd.) Choisy",NA,"A. C. Smith","1956","03","10","Trinidad and Tobago",NA,NA,NA,NA,NA,NA,"250","350","NY01430226","NY01430226_01",NA,NA,NA,"10098","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1665407' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet","Trinidad: Arima Valley: Santa Isabella trail, near Simla.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1430278","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","tiliacea","Ipomoea tiliacea","(Willd.) Choisy",NA,"E. G. Britton","1920","03","08","Trinidad and Tobago",NA,NA,NA,NA,NA,NA,NA,NA,"NY01430278","NY01430278_01",NA,NA,NA,"393","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1665461' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet","Trinidad. Balandra Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-30 12:15:00-03","NY","NYBG","01922830","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","tiliacea","Ipomoea tiliacea",NA,NA,"J. A. Ratter","1987","10","27","Brazil","Roraima",NA,"-61.73","3.43",NA,NA,NA,NA,"NY01922830","NY01922830_01",NA,NA,NA,"5900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2157055' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet","Near Igarapé camp. Fumaça Trail, SEMA ecological reserve, Ilha de Maracá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
