"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","imagecode","identifiedBy","recordNumber","day","stateProvince","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2020-09-23 10:39:02-03","E","E","292763","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","rhododendron","Gaylussacia rhododendron","isotype","Sellow, Friedrich","E. Tropical South America","BR","Brasilia","herbarium specimen of unspecif","BGBASE:309495","<a href=http://data.rbge.org.uk/herb/E00292763 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00292763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","390761","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","rhododendron","Gaylussacia rhododendron",NA,"P. W. Lund","South America","Brazil","Serra do Mar. . .[rest is illegible]","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359012' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390761","Magnoliophyta","Ericales","Cham. & Schltdl.","1833","12","NY00390761_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","390760","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","rhododendron","Gaylussacia rhododendron",NA,"N. A. Rosa","South America","Brazil","Sto. André, reserva Biológica do alto da Serra Paranapiacaba","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359013' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390760","Magnoliophyta","Ericales","Cham. & Schltdl.","1980","11","NY00390760_01","J. W. Floyd","3969","27","São Paulo","-46.3","-23.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","390759","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","rhododendron","Gaylussacia rhododendron",NA,"O. Handro","South America","Brazil","Paranapiacaba; Estaçao Biológica","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359014' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390759","Magnoliophyta","Ericales","Cham. & Schltdl.","1962","11","NY00390759_01","J. W. Floyd","1039",NA,"São Paulo","-46.3","-23.77","Bertioga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-01-20 14:40:26-03","UPM","MACK","3311","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","rhododendron","Gaylussacia rhododendron",NA,"T. A. B. Mortale",NA,"Brasil","Colônia de Férias Mackenzie - Umuarama, Trilha For Seasons",NA,NA,NA,"HMACK00003311-T.A.B.Mortale94-16/1/2013,ColôniadeFériasMackenzie-Umuarama,TrilhaForSeasons,CamposdoJordão,SP,Brasil",NA,NA,"Cham. & Schltdl..","2013","01",NA,NA,"94","16","SP","-45.5900001525879","-22.7299995422363","Campos do Jordão","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:01:35-03","NBC","NL-BOTANY","L 0007221","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","rhododendron","Gaylussacia rhododendron","isotype","Sello F","Southern America","Brazil","Brasil: Soa Paulo: Rio des Pedras & Campo de SanBernardo",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200007221 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0007221",NA,"Ericales","Cham. & Schltr.",NA,NA,"NL-L0007221",NA,NA,NA,"Sao Paulo",NA,NA,NA,NA,NA,"Magnoliopsidae","957326166",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:01:35-03","NBC","NL-BOTANY","L.2593855","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","rhododendron","Gaylussacia rhododendron",NA,"Boelcke O","Southern America","Brazil","Camino Nejoa Santos.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2593855 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2593855",NA,"Ericales","Cham. & Schltdl.","1952","12","NL-L2593855","Romao GO",NA,"14","São Paulo","-46.633333","-23.55",NA,NA,NA,"Magnoliopsidae","L 0794666","2009","06","07","-46.633333","-23.55",NA,NA,NA,NA
"8","2020-02-08 09:01:35-03","NBC","NL-BOTANY","L.2593856","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","rhododendron","Gaylussacia rhododendron",NA,"Glaziou AFM","Southern America","Brazil","Minas Gerais: Fazenda do Rio Preto, chez J.Bueno Rangel, dans la broussaille.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2593856 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2593856",NA,"Ericales","Cham. & Schltdl.","1876","11","NL-L2593856",NA,NA,"21",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:06:43-03","ESALQ","ESA","91656","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","rhododendron","Gaylussacia rhododendron",NA,"Brade, A.C.",NA,"Brasil",NA,NA,NA,NA,"ESA091656","Magnoliophyta",NA,NA,"1913","11","ESA091656",NA,"6958.0","01","São Paulo",NA,NA,"Campo Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:06:43-03","ESALQ","ESA","114339","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","rhododendron","Gaylussacia rhododendron",NA,"Braga, J.M.A.",NA,"Brasil",NA,NA,NA,NA,"ESA114339","Magnoliophyta",NA,NA,"1997","12",NA,NA,"4517.0","03","Rio de Janeiro","-44.5633010864258","-22.4960994720459","Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:06:43-03","ESALQ","ESA","69433","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","rhododendron","Gaylussacia rhododendron",NA,"Souza, J.P.; Souza, V.C.; Salino, A.; Paranaguá, P.A.; Oliveira, R.C.; Scarpa, F.M.; Gajardo, I.S.M.; Liesenfeld, M.A.",NA,"Brasil","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba. Estrada intermediária, ca. Km 41. Campo de altitude com dominância de Eremanthus, ca. 1220msm",NA,NA,"Arbusto, 0,5m alt.; flores róseo-claras","ESA069433","Magnoliophyta",NA,NA,"2000","04","ESA069433","Romão, G.O.","3508.0","25","São Paulo","-454.021","-233.844","Caraguatatuba",NA,NA,NA,NA,NA,NA,NA,"-454,021","-233,844","1200","1200",NA,NA
"12","2020-11-04 11:06:43-03","ESALQ","ESA","91655","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","rhododendron","Gaylussacia rhododendron",NA,"Salimena, F.R. et al.",NA,"Brasil",NA,NA,NA,NA,"ESA091655","Magnoliophyta",NA,NA,"2004","02",NA,NA,"1252.0","23","Minas Gerais","-43.8278007507324","-22.0891990661621","Rio Preto","20815","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:06:43-03","ESALQ","ESA","52255","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","rhododendron","Gaylussacia rhododendron",NA,"Arzolla, F.A.R.D.P. et al.",NA,"Brasil",NA,NA,NA,NA,"ESA052255","Magnoliophyta",NA,"Cham. & Schltdl.","2005","09","ESA052255","Romão, G.O.","1007.0","22","São Paulo","-45.4099998474121","-23.6200008392334","Caraguatatuba","30093","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:06:43-03","ESALQ","ESA","52256","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","rhododendron","Gaylussacia rhododendron",NA,"Silveira, M.",NA,"Brasil",NA,NA,NA,NA,"ESA052256","Magnoliophyta",NA,"Cham. & Schltdl.","1991","05","ESA052256","Romão, G.O.","10257.0","12","São Paulo","-46.1883010864258","-23.5228004455566","Mogi das Cruzes","28666","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
