"record_id","modified","institutionCode","collectionCode","catalogNumber","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","basisOfRecord"
"1","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","51827","Plantae","Aristolochiaceae","Aristolochia","hypoglauca","Aristolochia hypoglauca","Kuhlm.","J. Freitas/26-07-2017","A. P. Fontana; L.N. Lima, L. Kollmann & S. Krause","2036","2006","03","23","Brasil","Espírito Santo","Santa Teresa","Goiapaba-açú, propriedade do Sr. Chico Blanch.","-40.6002998352051","-19.9356002807617","23813","Trepadeira. Frutos cremes","MBML051827","MBML051827","auto",NA,NA,NA,NA,NA
"2","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","15099","Plantae","Aristolochiaceae","Aristolochia","hypoglauca","Aristolochia hypoglauca","Kuhlm.","L.Kollmann/25-11-2008","L. Kollmann; et al","4495","2001","09","04","Brasil","Espírito Santo","Santa Teresa","Rio Saltinho","-40.506944","-19.936111",NA,"Trepadeira no sol. Flores externamente brancas, interna marrom.","MBML015099","MBML015099",NA,"40W30'25","19S56'10",NA,NA,NA
"3","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","24431","Plantae","Aristolochiaceae","Aristolochia","hypoglauca","Aristolochia hypoglauca","Kuhlm.","L.Kollmann/25-11-2008","A. P. Fontana; et al","1345","2005","04","20","Brasil","Espírito Santo","Santa Teresa","Bela Vista","-40.604167","-19.780556",NA,"Trepadeira, umbrófila, flores brancas com listras lilás.","MBML024431","MBML024431",NA,"40W36'15","19S46'50",NA,NA,NA
"4","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","25861","Plantae","Aristolochiaceae","Aristolochia","hypoglauca","Aristolochia hypoglauca","Kuhlm.","L.Kollmann/25-11-2008","L. Kollmann; et al","7468","2005","03","18","Brasil","Espírito Santo","Fundão","Goiapaba-Açu","-40.472222","-19.914167",NA,"Liana no sol. Flores rosadas.","MBML025861","MBML025861",NA,"40W28'20","19S54'51",NA,NA,NA
"5","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","28494","Plantae","Aristolochiaceae","Aristolochia","hypoglauca","Aristolochia hypoglauca","Kuhlm.","L.Kollmann/25-11-2008","L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen","1221","2006","08","08","Brasil","Espírito Santo","Santa Leopoldina","Fazenda Caioaba, propr.:Virloni, Mata, trilha do corrego Caioaba.","-40.470556","-20.059167",NA,"Liana. Flor vinácea. Mata fundo de vale.","MBML028494","MBML028494",NA,"40W28'14","20S3'33","150","150",NA
"6","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","32608","Plantae","Aristolochiaceae","Aristolochia","hypoglauca","Aristolochia hypoglauca","Kuhlm.","L.Kollmann/25-11-2008","L. Kollmann; A. P. Fontana & Kaio A. Brahim","10162","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.481944","-19.7475",NA,"Liana no sol. Flores com máculas vináceas.","MBML032608","MBML032608",NA,"40W28'55","19S44'51","35","35",NA
"7","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","47350","Plantae","Aristolochiaceae","Aristolochia","hypoglauca","Aristolochia hypoglauca","Kuhlm.","J. Freitas/17-02-2016","L. Kollmann; A.P. Fontana","12829","2013","09","26","Brasil","Rio de Janeiro","Macaé","Frade de Macaé","-42.088056","-22.215",NA,"Liana na sombra, flores esbranquiçadas com listras marrons.","MBML047350","MBML047350",NA,"42W5'17","22S12'54",NA,NA,NA
"8","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","50286","Plantae","Aristolochiaceae","Aristolochia","hypoglauca","Aristolochia hypoglauca","Kuhlm.",NA,"P.J. Coelho; A.D. Ferreira","38","2014","10","17","Brasil","Espírito Santo","Santa Teresa","RPPN Vale do Sol, Floresta Ombrófila Densa, trilha do córrego, interior da mata","-40.533333","-19.95",NA,"Trepadeira, flores amarronzadas","MBML050286","MBML050286",NA,"40W32'0","19S57'0",NA,NA,NA
"9","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","39658","Plantae","Aristolochiaceae","Aristolochia","hypoglauca","Aristolochia hypoglauca","Kuhlm.","J. Freitas/21-01-2009","J. Freitas","2","2009","01","21","Brasil","Espírito Santo","Santa Maria de Jetibá","São José do Rio Claro. Prop. Alfredo Renok, próximo a nascente, beira de estrada","-40.614883","-20.345783",NA,"Trepadeira ca. 1,5m altura. Corola creme com estrias vináceas externa. Interna verde-clara com pêlos brancos. Sobre vegetação rupícola. Pedra ca. 6m altura. Sombra.","MBML039658","MBML039658",NA,"40W36'53,58","20S20'44,82",NA,NA,NA
"10","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","25880","Plantae","Aristolochiaceae","Aristolochia","hypoglauca","Aristolochia hypoglauca","Kuhlm.","L.Kollmann/25-11-2008","L. Kollmann; et al","8749","2006","03","16","Brasil","Espírito Santo","Fundão",NA,"-40.4067001342773","-19.9325008392334","27186","Liana no sol. Frutos verdes, flores rosadas.","MBML025880","MBML025880 MBML025880_1","auto",NA,NA,NA,NA,NA
