"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","coordinatePrecision","occurrenceRemarks","geoFlag","locality","continentOcean","imagecode","class","order","individualCount","typeStatus","phylum","sex"
"1","2021-01-14 15:25:59-03","MN","R","214630","PreservedSpecimen","Plantae","Bromeliaceae","Orthophytum","magalhaesii","Orthophytum magalhaesii","L.B. Sm.","Louzada, R.B.","2012","05","23","Croat, T.B.","61899","1986","08","01","Brasil","Espírito Santo","Colatina","-40.6","-19.55","40°36'W","19°33'S","160","160","R010006881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-24 17:08:47-03","UFES","SAMES","6275","PreservedSpecimen","Plantae","Bromeliaceae","Orthophytum","magalhaesii","Orthophytum magalhaesii","L.B.Sm.","R.C.Forzza","2019","09","03","Menezes,L.F.T.","2357","2016","11","10","Brasil","Espírito Santo","Águia Branca","-40.7402992248535","-18.9831008911133","-404333334.0","-190066667.0",NA,NA,"SAMES06275","19701","Flores brancas Habitat: Afloramento rochoso Habito: Herbácea","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-24 17:08:47-03","UFES","SAMES","1252","PreservedSpecimen","Plantae","Bromeliaceae","Orthophytum","magalhaesii","Orthophytum magalhaesii","L.B.Sm.",NA,NA,NA,NA,"Pinto Junior, H.V.; Menezes, L.F.T.; Covre, C.","198","2015","09","18","Brasil","Espírito Santo","Vila Pavão","-40.611400604248","-18.6149997711182",NA,NA,NA,NA,"SAMES01252","19647","Herbácea habitando ilha de vegetação em afloramento granítico; folhas verdes aveludadas; inflorescência amarronzada.","auto","Pedra Tri-gêmea. NULL.",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-24 17:08:47-03","UFES","SAMES","8214","PreservedSpecimen","Plantae","Bromeliaceae","Orthophytum","magalhaesii","Orthophytum magalhaesii","L.B.Sm.",NA,NA,NA,NA,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.","392","2018","03","22","Brasil","Espírito Santo","Vila Pavão","-40.611400604248","-18.6149997711182","-405558333.0","-186230556.0",NA,NA,"SAMES08214","19647","Folgas rosáceas, inflorescência verdes, sombra , rara, habitando ilha de vegetação inselberg.","auto","PEDRA DO VIADINHO.",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:19:25-03","MBM","MBM","132885","PreservedSpecimen","Plantae","Bromeliaceae","Orthophytum","magalhaesii","Orthophytum magalhaesii","L.B.Sm.","Leme, E.M.C.",NA,NA,NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","52276","1988","07","20","Brazil","Minas Gerais","Teófilo Otoni","-41.505298614502","-17.8575000762939",NA,NA,NA,NA,"MBM132885","62594",NA,"auto","Rod. BR-418, Rio Quijeme","Southern America","MBM132885",NA,NA,NA,NA,NA,NA
"6","2009-12-05 05:17:00-02","MO","MOBOT","3013544","PreservedSpecimen","Plantae","Bromeliaceae","Orthophytum","magalhaesii","Orthophytum magalhaesii","L.B. Sm.","E.M.C. Leme",NA,NA,NA,"Gert G. Hatschbach|Maria M. Hatschbach|J.M. Silva","Hatschbach 52276","1988","7","20","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rod. BR-418, rio Quijeme (mun. Teofilo Otoni).","South America",NA,NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","37103",NA,"Plantae","Bromeliaceae","Orthophytum","magalhaesii","Orthophytum magalhaesii","L.B. Sm.","P. Louzada/09-09-2010",NA,NA,NA,"A. P. Fontana; L. Kollmann, E. Leme, M. Zanoni & O. Ribeiro","5122","2008","04","29","Brasil","Espírito Santo","Vila Pavão","-40.699306","-18.629444","40W41'57,5","18S37'46","269","269","MBML037103",NA,"Rupícola no sol. Folhas verdes ou vermelhas com tricomas brancos. Bracteas florais verdes. Em cultivo JR.",NA,"Todos os Santos, Córrego Bom Jesus, afloramento rochoso granítico.",NA,"MBML037103_1 MBML037103_2",NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","39328",NA,"Plantae","Bromeliaceae","Orthophytum","magalhaesii","Orthophytum magalhaesii","L.B. Sm.","P. Louzada/09-09-2010",NA,NA,NA,"L. Kollmann; & E. Leme","11803","2009","09","11","Brasil","Espírito Santo","Ecoporanga","-40.748611","-18.292778","40W44'55","18S17'34",NA,NA,"MBML039328",NA,"Erva rupícola ao sol, folhas avermelhadas com indumento branco, brácteas florais verdes, sépalas verdes, pétalas brancas.",NA,"Catoxé, afloramento rochoso na saida da cidade",NA,"MBML039328",NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","39329",NA,"Plantae","Bromeliaceae","Orthophytum","magalhaesii","Orthophytum magalhaesii","L.B. Sm.","P. Louzada/09-09-2010",NA,NA,NA,"L. Kollmann; & E. Leme","11790","2009","09","10","Brasil","Espírito Santo","Barra de São Francisco","-40.816944","-18.539167","40W49'1","18S32'21",NA,NA,"MBML039329",NA,"Rupícola ao sol, folhas avermelhadasd de indumento prateado, bracteas florais verdes, pétalas brancas.",NA,"estrada Ecopóranga/Barra de São Francisco",NA,"MBML039329_1 MBML039329_2",NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","39330",NA,"Plantae","Bromeliaceae","Orthophytum","magalhaesii","Orthophytum magalhaesii","L.B. Sm.","P. Louzada/09-09-2010",NA,NA,NA,"L. Kollmann; & E. Leme","11831","2009","09","11","Brasil","Espírito Santo","Ponto Belo","-40.52725","-18.229167","40W31'38,1","18S13'45",NA,NA,"MBML039330",NA,"Rupícola na meia sombra, folhas verdes, brácteas verdes.",NA,"Itamira",NA,"MBML039330",NA,NA,NA,NA,NA,NA
