"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","verbatimLongitude","verbatimLatitude","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","individualCount","fieldNumber","relatedCatalogItem"
"1","2020-09-23 10:43:04-03","E","E","146787","PreservedSpecimen","Plantae","Rubiaceae","Pentodon","pentandrus","Pentodon pentandrus","Pott, V.J.;","2294","1994","05","18","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:170995","<a href=http://data.rbge.org.uk/herb/E00146787 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146787",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02098203","PreservedSpecimen","Plantae","Rubiaceae","Pentodon","pentandrus","Pentodon pentandrus","P. da C. Gadelha Neto","3088","2011","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2227055' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098203","Magnoliophyta","Gentianales","(Schumach. & Thonn.) Vatke","C. M. Taylor","Paraíba","João Pessoa","Jardim Botânico: Floresta Estacional Semidecidual das Terras Baixas.","-34.8667","-8.02","NY02098203_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-11-01 12:56:00-02","NY","NYBG","397971","PreservedSpecimen","Plantae","Rubiaceae","Pentodon","pentandrus","Pentodon pentandrus","J. P. Lanna Sobrinho","1818","1970","09","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664964' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397971","Magnoliophyta","Gentianales",NA,"L. B. Smith","Rio de Janeiro","Rio de Janeiro","Jacarepaguá, pr. ponte da Via 9","-43.2075","-22.9031","NY00397971_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-01 12:56:00-02","NY","NYBG","397973","PreservedSpecimen","Plantae","Rubiaceae","Pentodon","pentandrus","Pentodon pentandrus","S. Ferreira","89","1966","12","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664965' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397973","Magnoliophyta","Gentianales",NA,"L. B. Smith","Rio de Janeiro","Rio de Janeiro","Entrada dos Bandeirantes, propiedade do Sr. Conrad","-43.2075","-22.9031","NY00397973_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02098532","PreservedSpecimen","Plantae","Rubiaceae","Pentodon","pentandrus","Pentodon pentandrus","P. da C. Gadelha Neto","3176","2012","02","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2227056' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098532","Magnoliophyta","Gentianales","(Schumach. & Thonn.) Vatke","C. M. Taylor","Paraíba","João Pessoa","Jardim Botânico: Trilha da Nascente. Floresta Estacional Semidecidual das Terras Baixas.","-34.87","-7.1","NY02098532_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-11-01 12:55:00-02","NY","NYBG","397972","PreservedSpecimen","Plantae","Rubiaceae","Pentodon","pentandrus","Pentodon pentandrus","Z. A. Trinta","1602","1964","03","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664967' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397972","Magnoliophyta","Gentianales",NA,"L. B. Smith","Rio de Janeiro","Rio de Janeiro","Estrada Litôranea","-43.2075","-22.9031","NY00397972_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-01 12:55:00-02","NY","NYBG","397974","PreservedSpecimen","Plantae","Rubiaceae","Pentodon","pentandrus","Pentodon pentandrus","L. B. Smith","6368","1952","04","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664966' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397974","Magnoliophyta","Gentianales",NA,"L. B. Smith","Rio de Janeiro",NA,"Distrito Federal: Praia de Sernambetibe (Recreio dos Bandeirantes)","-43.3469444","-23.0036111","NY00397974_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-28 15:33:00-02","NY","NYBG","1030637","PreservedSpecimen","Plantae","Rubiaceae","Pentodon","pentandrus","Pentodon pentandrus","F. Segadas-Vianna","3637","1950","10","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1118769' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030637","Magnoliophyta","Gentianales",NA,"L. B. Smith","Distrito Federal","Brasília","Restinga de Itapeba (Recreio dos Bandeirantes)","-43.3469","-23.0036","NY01030637_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:32:22-03","UFRJ","RFA","38571","PreservedSpecimen","Plantae","Rubiaceae","Pentodon","pentandrus","Pentodon pentandrus","N. C. Machado; Konno, T.U.P","168","2010","11","25",NA,"Brasil",NA,NA,"Erva, flores liláses","RFA34101",NA,NA,"(Schumach. & Thonn.) Vatke",NA,"Rio de Janeiro","Quissamã","Parque Nacional da Restinga de Jurubatiba, próximo a lagoa Piri-piri. Poça 29 (fundo da lagoa)","-41.241944","-22.103611",NA,"41º14'31''W","22º6'13''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-19 15:44:59-03","UNEB","HUNEB","13671","PreservedSpecimen","Plantae","Rubiaceae","Pentodon","pentandrus","Pentodon pentandrus","Guedes, M.L.","18138","2011","06","05",NA,"Brasil",NA,NA,NA,"HUNEB0013671","Angiospermae","Florideophycidae","(Schumach. & Thonn.) Vatke",NA,"Bahia","Camaçari","Litoral Norte, Guarajuba, cond. Recanto do Sol.","-38.107778","-14.689444",NA,"38W6'28''","14S41'22''","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
