"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","imagecode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2020-09-23 10:43:27-03","E","E","414305","PreservedSpecimen","Plantae","Sinopteridaceae","Doryopteris","paradoxa","Doryopteris paradoxa","unspecified kind of","Gardner, George","5930","E. Tropical South America","BR","Organ Mts","herbarium specimen of unspecif","BGBASE:453020","<a href=http://data.rbge.org.uk/herb/E00414305 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00414305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:27-03","E","E","414304","PreservedSpecimen","Plantae","Sinopteridaceae","Doryopteris","paradoxa","Doryopteris paradoxa","unspecified kind of","Gardner, G.","5930","E. Tropical South America","BR","Organ Mts","herbarium specimen of unspecif","BGBASE:453011","<a href=http://data.rbge.org.uk/herb/E00414304 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00414304","1829","1829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","144445","PreservedSpecimen","Plantae","Pteridaceae","Cassebeera","paradoxa","Cassebeera paradoxa","isotype fragment","G. Gardner","5930","South America","Brazil","Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00144445",NA,NA,"Pteridophyta","Polypodiales","Fée","NY00144445_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1843707","PreservedSpecimen","Plantae","Pteridaceae","Lytoneuron","paradoxum","Lytoneuron paradoxum",NA,"R. Engelmann","RE767","South America","Brazil","Parque Nacional da Serra dos Orgãos. Trilha do São Pedro à Pedra da Baleia.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2082361' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843707","2160",NA,"Pteridophyta","Polypodiales","(Fée) Yesilyurt","NY01843707_01","2010","07","09","Rio de Janeiro","Teresópolis","-43.0267","-22.4608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","807689","PreservedSpecimen","Plantae","Pteridaceae","Lytoneuron","paradoxum","Lytoneuron paradoxum",NA,"G. Eiten","7153","South America","Brazil","Boundary between Município de Teresópolis and Mun. de Petrópolis: Serra dos Orgãos National Park, ca. 7km SW of city of Teresópolis. Planalto; one quarter way up Pedra do Sino from its base.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=8319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807689","2100","2150","Pteridophyta","Polypodiales","(Fée) Yesilyurt","NY00807689_01","1966","04","22","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1017167","PreservedSpecimen","Plantae","Pteridaceae","Lytoneuron","paradoxum","Lytoneuron paradoxum",NA,"P. H. Labiak E.","4464","South America","Brazil","Parque Nacional do Itatiaia. Subida para o Pico das Agulhas Negras.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1199854' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017167","2650","2650","Pteridophyta","Polypodiales","(Fée) Yesilyurt","NY01017167_01","2008","01","11","Rio de Janeiro","Itatiaia","-44.6631","-22.38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","04199126","PreservedSpecimen","Plantae","Pteridaceae","Lytoneuron","paradoxum","Lytoneuron paradoxum",NA,"A. F. M. Glaziou","4392","South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4527310' target='other'> <mi>dwc_moreinfo</mi></a>","NY04199126",NA,NA,"Pteridophyta","Polypodiales","(Fée) Yesilyurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02696876","PreservedSpecimen","Plantae","Pteridaceae","Lytoneuron","paradoxum","Lytoneuron paradoxum",NA,"F. B. Matos","2208","South America","Brazil","Serra da Mantiqueira, Parque Nacional do Itatiaia, trilha para o Pico das Agulhas Negras.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2974436' target='other'> <mi>dwc_moreinfo</mi></a>","NY02696876","2400",NA,"Pteridophyta","Polypodiales","(Fée) Yesilyurt","NY02696876_01","2013","02","12","Rio de Janeiro","Itatiaia","-44.675","-22.3839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:32:10-03","UFRJ","RFA","40735","PreservedSpecimen","Plantae","Pteridaceae","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Sylvestre, L.S. & Damasceno, E.R.","2185",NA,"Brasil","Trilha para a Pedra do Sino, proximidades do Abrigo 4.",NA,NA,NA,"RFA44037","2108","2108",NA,NA,"(Fée) Christ",NA,"2011","04","08","Rio de Janeiro","Rio de Janeiro","-43.025833","-22.458889","Silvestre, L.S.","2011","43º1'33''W","22º27'32''S",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:20:47-03","UFRJ","RFA","43061","PreservedSpecimen","Plantae","Pteridaceae","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"L.L. Almeida; D.A. Souza","s.n.",NA,"Brasil","Base das Prateleiras, entre a pedra da Maçã e a Pedra da Tartaruga. Parque Nacional do Itatiaia",NA,NA,NA,"RFA42933","2444","2444",NA,NA,"(Fée) Christ",NA,"2018","09","21","Rio de Janeiro","Resende","-44.668611","-22.399167","L.L. Almeida & D.A. Souza","2018","44º40'7''W","22º23'57''S","09","25",NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:42:39-03","NBC","NL-BOTANY","U.1041662","PreservedSpecimen","Plantae","Adiantaceae","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Eiten G; Eiten LT",NA,"Southern America","Brazil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1041662 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1041662",NA,NA,NA,"Polypodiales","(Fée) Christ","NL-U1041662","1966","04","22","Rio de Janeiro",NA,NA,NA,"Cislinsky-Yesilyurt J",NA,NA,NA,NA,NA,"Pteropsida","U 0015931",NA,NA,NA,NA
"12","2020-11-04 11:21:18-03","ESALQ","ESA","37401","PreservedSpecimen","Plantae","Pteridaceae","Doryopteris","cf. paradoxa","Doryopteris cf. paradoxa",NA,"Souza, V.C.; Leoni, L.S.; Souza, J.P.; Mazine, F.F.",NA,NA,"Brasil",NA,NA,NA,NA,"ESA037401",NA,NA,"Pteridophyta",NA,"(Fée) Christ",NA,"1996","09","02","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105","Della, A.P.","2020",NA,NA,"03","10",NA,NA,"21645","auto",NA,NA
"13","2021-01-14 15:33:18-03","MN","R","232852","PreservedSpecimen","Plantae","Pteridaceae","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Damasceno, E.R. 735; Sylvestre, L. S e Costa, T. V",NA,NA,"Brasil","Parque Estadual dos Três Picos",NA,NA,NA,"R010043294",NA,NA,NA,NA,"(Fée) Christ",NA,"2013","08","17","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,NA,NA,NA,NA,"33190","auto",NA,NA
"14","2016-02-02 14:38:58-02","BGBM","B","B 20 0051293","S","Plantae","Polypodiaceae","Doryopteris","paradoxa","Doryopteris paradoxa","type ?","A. C. Brade & F. Tamandaré de Toledo Jr.","6496","Middle and South America","Brazil","Rio, Atatiaya.",NA,NA,"Herbarium Brasiliense, Alexander Curt Brade <a href=http://herbarium.bgbm.org/object/B200051293 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200051293","2300","2400",NA,NA,"H.Christ","B200051293","1913","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
